ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score,gap_tier,stop_source,stop_dist,atr_14,atr_ratio,atr_ok,float_m,float_rotation_pct,borrow_risk
WHLR,LONG,HOLDING-LONG,1.17,1.275,1.49,1.12,1.49,1.12,1.314,25.47,36.73,8935639,254.64,0.9325,1.275,0.8999,2.0252,133,6524.4959,STRETCHED,PM low,0.3751,0.2303,2.71,True,1.04,857.0,N/A
BESS,LONG,ORB-LONG|HOLDING-LONG,4.45,4.6068,4.75,4.05,4.6,4.05,4.3731,7.49,11.28,455442,9.23,4.14,4.6068,4.25,5.3204,140,73.7096,IN_BAND,PM low,0.3568,0.5544,1.07,True,7.07,6.4,N/A
UCAR,LONG,ORB-LONG,1.46,1.5105,1.53,1.39,1.5,1.39,1.4611,7.35,11.07,1054083,33.03,1.36,1.5105,1.37,1.7915,355,23.8177,IN_BAND,PM low,0.1405,0.158,1.48,True,2.13,49.4,N/A
MX,LONG,ORB-LONG,4.83,5.7551,5.87,4.8,5.49,4.8,5.5236,-4.55,13.74,1826865,2.88,5.06,5.7551,4.75,7.7653,49,15.9996,IN_BAND,PM low,1.0051,0.5563,3.01,True,36.44,5.0,N/A
OXSQ,LONG,ORB-LONG,1.31,1.389,1.4,1.31,1.3696,1.31,1.3456,3.15,9.37,1110883,0.61,1.27,1.389,1.2587,1.6496,383,0.8649,IN_BAND,PM low,0.1303,0.0946,2.29,True,93.53,1.2,N/A
AUUD,LONG,ORB-LONG,1.72,1.7502,1.77,1.64,1.74,1.6403,1.6923,22.86,25.01,979841,0.13,1.4,1.7502,1.38,2.4906,135,0.0754,STRETCHED,PM low,0.3702,0.3378,1.83,True,2.12,46.2,N/A
