ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
SPCE,BOUNCED_CLEAN,0,0,3.7,2,-1.8,False,1.7,1d,20,28,True,3m,1,True,361,615,668.5,54,12,1d.28t~ | 1d.10t~ | 1d.5t,2026-05-26T10:30:00.000,3.575,2026-05-26T15:00:00.000,3.59,4.02,3.4581,3.26,0,0,False,0.04,12679205,0,66
EVTV,BOUNCED_CLEAN,0,0,2.5,2,-1.9,False,2.0,1d,20,41,True,15m,4,True,865,176,953.0,20,26,1d.19t | 1d.11t | 4h.13t,2026-05-08T11:00:00.000,2.2,2026-05-26T08:15:00.000,2.5497,2.33,2.1357,,0,0,False,0.02,713667,0,46
ASTI,BOUNCED_CLEAN,0,0,6.6,3,-2.9,False,2.2,1d,20,115,True,1d,28,True,348,0,348.0,28,0,4h.18t | 1h.4t | 15m.12t,2026-05-22T12:45:00.000,5.95,2026-05-26T04:45:00.000,6.6513,6.17,5.3493,,0,0,False,0.06,1403262,0,28
NNBR,BOUNCED_CLEAN,0,0,3.6,1,-0.6,False,2.2,1h,8,20,True,3m,5,False,21,0,21.0,2,0,4h.1t | 15m.1t | 10m.1t,2026-05-07T07:30:00.000,2.9906,2026-05-26T04:00:00.000,3.1006,3.0,2.3952,,0,0,False,0.03,1108966,0,2
AEVA,BOUNCED_CLEAN,0,1,0.9,4,-0.8,False,0.7,1d,20,40,False,3m,13,True,3187,0,3187.0,17,0,1d.95t | 1d.40t | 15m.23t,2026-05-27T07:00:00.000,29.3418,2026-05-27T15:00:00.000,28.95,30.5,27.7993,1.35,0,0,False,0.01,2541147,0,17
NHIC,BOUNCED_WAITING,0,0,3.8,2,0.9,False,1.0,1h,8,59,True,1m,19,True,16,505,268.5,3,5,1h.59t~ | 5m.4t~ | 5m.3t~,2026-05-27T08:00:00.000,11.2,2026-05-27T09:00:00.000,11.1,11.4,10.8692,1.3,3,0,False,0.04,225444,0,8
SMTC,BOUNCED_WAITING,0,4,1.6,6,3.1,False,0.7,15m,5,108,False,1m,297,False,4465,244,4587.0,16,2,1h.100t | 1h.67t | 15m.108t,2026-05-27T09:15:00.000,172.0,2026-05-27T16:45:00.000,161.0,178.18,153.9904,2.45,2,0,False,0.02,2999994,0,18
FJET,BOUNCED_WAITING,0,0,2.7,2,0.8,False,0.7,1d,20,57,False,1m,1,False,4580,285,4722.5,49,34,1d.57t | 1d.38t~ | 1d.28t,2026-05-22T16:30:00.000,8.09,2026-05-27T14:45:00.000,6.7,8.26,6.3922,5.07,40,0,False,0.03,2121935,0,83
VOYG,BOUNCED_CLEAN,0,0,0.7,3,-0.4,False,1.0,1h,8,26,True,1m,12,False,1156,638,1475.0,21,10,4h.52t | 4h.17t | 1h.52t,2026-05-27T06:15:00.000,49.65,2026-05-27T09:30:00.000,47.5,49.98,45.8781,1.53,0,0,False,0.01,2142321,0,31
VNET,BOUNCED_WAITING,0,0,0.2,1,0.0,False,2.1,1d,20,45,False,1m,16,True,3323,536,3591.0,28,3,1d.85t | 1d.45t | 1d.33t,2026-05-13T09:45:00.000,11.705,2026-05-26T06:00:00.000,10.41,12.0,9.1816,1.29,4,0,False,0.0,10377865,0,31
