ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
BYND,Long,PULLBACK,T3-LONG_WATCH,41,1.16,1.065,1.755,,6.3,0.095,1.16,3.5,APPROACH,1,1,1m,1.1199,1.115,HIGHWAY,EXCITED,0.0,3.9,2.8,2.0,78.4,32.0,8.0,447.15,MEGA,0.39,0.8271,0.8226,0.8315,1.1,PREMIUM,PREMIUM,11,7,0,51.3,D,,,,
SLDP,Long,PULLBACK,T2-LONG,100,3.07,2.9003,3.79,3.325,4.2,0.1697,3.4,9.7,WAITING,2,2,"1d,4h",3.07,2.99,HIGHWAY,EXCITED,28262524.0,1.0,2.2,1.0,23.9,34.0,8.0,186.08,HIGH,0.02,3.325,3.37,3.28,-2.7,PREMIUM,DISCOUNT,190,6,13,11.5,B,,,,
OCG,Long,PULLBACK,T1-STRONG_LONG,100,0.7798,0.7042,0.931,,2.0,0.0756,0.8581,9.1,WAITING,7,6,"10m,15m,1h,30m,4h,5m",0.7798,0.7542,OPEN_ROAD,EXCITED,41534.0,1.0,2.8,1.0,40.3,84.0,8.0,0.09,NANO,3.05,0.7635,0.767,0.76,-0.9,PREMIUM,PREMIUM,41,7,13,3.6,C,,,,
EFOI,Long,PULLBACK,T1-STRONG_LONG,100,5.0,0.635,13.73,6.245,2.0,4.365,5.44,8.1,WAITING,6,6,"15m,1d,1h,30m,4h,5m",5.0,2.09,OPEN_ROAD,EXCITED,75981063894.0,0.4,6.7,1.0,407.2,50.0,8.0,2.92,NANO,0.89,6.245,6.49,6.0,-7.6,DISCOUNT,DISCOUNT,2551,8,66,14.0,A,,,,
ORBS,Long,PULLBACK,T2-LONG,35,1.01,0.9212,1.1876,1.045,2.0,0.0888,1.01,3.6,APPROACH,1,1,5m,0.9736,0.9712,OPEN_ROAD,EXCITED,0.0,0.6,0.9,0.0,47.7,31.0,8.0,257.33,MEGA,0.06,1.045,1.06,1.03,-2.8,DISCOUNT,DISCOUNT,0,2,0,2.0,D,,,,
SMR,Long,PULLBACK,T1-STRONG_LONG,100,11.86,11.1356,18.47,12.4625,9.1,0.7244,12.79,7.3,WAITING,3,3,"1h,30m,4h",11.86,11.48,HIGHWAY,EXCITED,1139302436.0,1.2,1.9,2.0,33.5,29.0,8.0,298.32,MEGA,0.09,12.4625,12.65,12.275,-3.0,PREMIUM,DISCOUNT,1040,3,608,44.4,B,,,,
PLUG,Long,PULLBACK,T3-LONG_WATCH,50,3.0399,2.9421,3.38,,3.5,0.0978,3.22,5.6,APPROACH,1,1,10m,3.0399,3.0331,HIGHWAY,EXCITED,1997969.0,1.7,1.2,0.0,19.0,24.0,8.0,1330.45,MEGA,0.08,2.755,2.78,2.73,-1.8,PREMIUM,PREMIUM,136,11,68,5.0,B,,,,
ISPC,Long,BOUNCE,T2-LONG,64,0.1332,0.0665,0.2666,,2.0,0.0667,0.1332,2.1,CLOSE,1,1,1d,0.1304,0.1165,OPEN_ROAD,EXCITED,285790231.0,0.7,4.0,1.0,96.2,26.0,8.0,29.66,MED,0.63,0.1283,0.1365,0.1201,-12.0,PREMIUM,DISCOUNT,1,4,0,57.2,D,,,,
TOVX,Long,BOUNCE,T1-STRONG_LONG,100,0.41,0.1802,0.8696,,2.0,0.2298,0.41,1.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",0.4046,0.255,HIGHWAY,EXCITED,10497899187.0,13.0,4.4,1.0,104.1,19.0,8.0,45.14,MED,8.21,0.3485,0.2572,0.4398,71.0,PREMIUM,MID,100,6,70,14.4,B,,,,
IONQ,Long,PULLBACK,T1-STRONG_LONG,100,44.59,41.9525,65.4,45.715,7.9,2.6375,48.32,7.7,WAITING,2,2,"1d,4h",44.59,43.25,HIGHWAY,EXCITED,11849565695.0,1.7,1.9,3.0,56.4,23.0,8.0,359.97,MEGA,0.09,45.715,46.09,45.34,-1.6,PREMIUM,DISCOUNT,2707,4,1990,35.3,A,,,,
ATAI,Long,BOUNCE,T1-STRONG_LONG,100,4.9,3.675,7.35,,2.0,1.225,4.9,2.0,CLOSE,6,6,"10m,15m,1d,1h,30m,4h",4.8,4.05,HIGHWAY,EXCITED,6521927478.0,7.5,3.9,2.0,45.4,47.0,8.0,302.85,MEGA,0.12,4.53,4.03,5.03,24.8,PREMIUM,MID,513,10,475,20.2,A,,,,
USAR,Long,PULLBACK,T1-STRONG_LONG,100,21.4,19.33,35.58,,6.9,2.07,22.58,5.2,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",21.4,20.02,HIGHWAY,EXCITED,8565254425.0,3.3,1.9,1.0,43.8,36.0,8.0,169.39,HIGH,0.2,20.675,19.95,21.4,7.3,PREMIUM,MID,2532,8,812,57.6,A,,,,
PBM,Long,BOUNCE,T3-LONG_WATCH,100,11.3,10.2141,13.65,,2.2,1.0859,11.3,2.1,CLOSE,1,1,1d,11.06,10.53,HIGHWAY,EXCITED,1043043180.0,5.6,6.6,3.0,544.9,93.0,8.0,0.29,NANO,67.26,10.36,7.6,13.12,72.6,PREMIUM,MID,2089,13,547,20.8,A,,,,
CMPS,Long,PULLBACK,T1-STRONG_LONG,100,8.63,5.765,14.36,,2.0,2.865,9.46,8.8,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",8.63,6.72,HIGHWAY,EXCITED,14880216883.0,9.9,4.3,2.0,80.1,21.0,8.0,102.16,HIGH,0.31,7.65,6.66,8.64,29.7,PREMIUM,MID,1571,8,1571,99.9,A,,,,
RKLB,Long,PULLBACK,T3-LONG_WATCH,87,83.7,80.9853,89.1294,,2.0,2.7147,89.46,6.4,APPROACH,2,2,"1h,30m",83.7,83.49,HIGHWAY,EXCITED,195653976.0,1.2,1.3,0.0,29.8,25.0,8.0,527.8,MEGA,0.04,84.825,84.8,84.85,0.1,FLAT,FLAT,4623,9,2789,99.9,A,,,,
HIVE,Long,BOUNCE,T3-LONG_WATCH,41,2.54,2.4202,2.7797,,2.0,0.1199,2.54,1.6,CLOSE,1,1,1m,2.5,2.495,OPEN_ROAD,EXCITED,0.0,1.6,2.5,2.0,25.2,40.0,8.0,252.01,MEGA,0.08,2.455,2.51,2.4,-4.4,PREMIUM,PREMIUM,108,10,18,2.8,C,,,,
URG,Long,PULLBACK,T2-LONG,100,1.57,1.5,1.84,1.62,3.9,0.07,1.71,8.2,WAITING,2,2,"1d,4h",1.57,1.55,HIGHWAY,EXCITED,10037249.0,3.4,1.8,1.0,12.9,22.0,8.0,370.52,MEGA,0.06,1.62,1.63,1.61,-1.2,PREMIUM,DISCOUNT,53,7,5,7.6,C,,,,
BULL,Long,PULLBACK,T2-LONG,83,7.01,6.2856,8.4588,,2.0,0.7244,7.01,5.0,APPROACH,2,2,"1d,4h",6.66,6.48,OPEN_ROAD,EXCITED,366207248.0,1.4,1.5,1.0,30.2,34.0,8.0,377.73,MEGA,0.04,6.685,6.72,6.65,-1.0,PREMIUM,DISCOUNT,371,4,78,2.9,C,,,,
PTON,Long,PULLBACK,T2-LONG,80,5.18,4.7142,6.24,,2.3,0.4658,5.18,4.1,APPROACH,2,2,"1d,4h",4.97,4.86,MIXED,EXCITED,293680567.0,1.0,0.9,0.0,11.4,20.0,8.0,399.54,MEGA,0.03,5.08,5.1,5.06,-0.8,PREMIUM,DISCOUNT,45,5,19,20.5,C,,,,
