ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
QTEX,Long,BOUNCE,T2-LONG,69,2.01,1.9352,2.1597,2.14,2.0,0.0748,2.01,0.5,CLOSE,1,1,10m,2.0,1.995,OPEN_ROAD,EXCITED,1.28,0.0,0.2,0.3,1108891.0,0.0,80.7,32.0,8.0,36.86,MED,0.36,2.14,2.01,2.27,12.9,DISCOUNT,DISCOUNT,197,10,60,2.5,C,,,,True,0.5057142857142857,0.15,N/A,
NVDA,Long,BOUNCE,T3-LONG_WATCH,48,208.65,198.9373,228.0754,,2.0,9.7127,208.65,1.0,CLOSE,1,1,30m,206.5,205.09,OPEN_ROAD,EXCITED,5.33,4816459781.0,0.7,1.0,1868846.0,0.0,5.4,36.0,8.0,23225.22,MEGA,0.01,211.065,210.69,211.44,0.4,FLAT,FLAT,4528,9,4469,2.1,C,,,,False,7.962299999999999,1.22,N/A,
SRXH,Long,BOUNCE,T2-LONG,60,0.1116,0.0595,0.2158,0.1271,2.0,0.0521,0.1116,1.5,CLOSE,1,1,15m,0.1099,0.1095,OPEN_ROAD,EXCITED,0.54,0.0,1.6,2.8,3982210.0,3.0,131.1,22.0,8.0,858.6,MEGA,0.16,0.1271,0.1245,0.1297,4.2,DISCOUNT,DISCOUNT,0,1,0,3.0,D,,,,False,0.027475000000000003,1.9,N/A,
KEEL,Long,BOUNCE,T1-STRONG_LONG,100,6.66,6.1013,7.7774,,2.0,0.5587,6.66,0.6,CLOSE,5,5,"10m,15m,1d,30m,5m",6.62,6.29,HIGHWAY,EXCITED,6.9,4272545538.0,1.8,1.4,1307142.0,0.0,33.3,38.0,8.0,577.56,MEGA,0.19,6.4725,6.29,6.655,5.8,PREMIUM,MID,485,13,152,99.9,A,,,,True,0.661607142857143,0.84,N/A,
GETY,Long,BREAKOUT,T2-LONG,100,1.3,0.3069,3.2862,,2.0,0.9931,1.15,0.0,INSIDE,3,3,,,,OPEN_ROAD,EXCITED,73.66,,,,,,,,,,HIGH,1.1,1.0025,0.6051,1.4,131.4,PREMIUM,MID,89,3,39,8.7,C,False,16.4,True,True,0.1339,7.42,N/A,
PLUG,Long,BOUNCE,T1-STRONG_LONG,100,2.79,2.585,3.38,2.83,2.9,0.205,2.79,2.0,CLOSE,3,3,"1d,1h,4h",2.735,2.665,HIGHWAY,EXCITED,1.52,374919145.0,0.5,0.9,1982213.0,0.0,12.7,37.0,8.0,1330.73,MEGA,0.03,2.83,2.85,2.81,-1.4,DISCOUNT,DISCOUNT,77,10,42,21.1,C,,,,True,0.25821428571428573,0.79,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,129.12,118.6588,150.0423,136.555,2.0,10.4612,140.94,8.4,WAITING,2,2,"1d,30m",129.12,122.3287,HIGHWAY,EXCITED,4.21,92757294667.0,1.0,1.2,2762496.0,0.0,21.9,69.0,8.0,5016.55,MEGA,0.03,136.555,133.99,139.12,3.8,PREMIUM,DISCOUNT,21046,27,4800,99.9,A,,,,False,10.322707142857142,1.01,N/A,
TNON,Long,BREAKOUT,T3-LONG_WATCH,100,0.64,0.5037,0.9126,,2.0,0.1363,0.6215,0.0,INSIDE,2,2,,,,HIGHWAY,EXCITED,1448.3,,,,,,,,,,LOW,26.43,0.5125,0.35,0.6751,92.9,PREMIUM,PREMIUM,0,1,0,5.1,D,False,17.7,True,False,0.07744285714285717,1.76,N/A,
HTFL,Long,BOUNCE,T3-LONG_WATCH,70,33.84,31.8548,37.8104,,2.0,1.9852,33.84,1.1,CLOSE,1,1,1d,33.47,32.84,HIGHWAY,EXCITED,1.5,113746369.0,1.3,1.3,0.0,0.0,9.6,31.0,8.0,66.26,HIGH,0.02,33.615,33.64,33.59,-0.1,FLAT,FLAT,1151,8,393,2.1,C,,,,False,1.9094000000000002,1.04,N/A,
VSTS,Long,BOUNCE,T3-LONG_WATCH,100,13.11,12.4936,14.3428,,2.0,0.6164,13.11,0.7,CLOSE,2,2,"1d,4h",13.02,12.88,HIGHWAY,EXCITED,1.05,34751434.0,1.0,1.1,0.0,0.0,6.0,21.0,8.0,91.31,HIGH,0.02,12.95,12.88,13.02,1.1,PREMIUM,MID,789,9,55,99.9,A,,,,True,0.547642857142857,1.13,N/A,
ARXS,Long,BOUNCE,T1-STRONG_LONG,100,46.06,42.2532,53.6736,,2.0,3.8068,46.06,2.0,CLOSE,8,5,"10m,15m,1d,1m,5m",45.12,43.56,OPEN_ROAD,EXCITED,1.85,192572999.0,1.2,2.0,0.0,1.0,16.5,20.0,8.0,66.81,HIGH,0.02,43.795,43.61,43.98,0.8,PREMIUM,PREMIUM,472,5,399,3.6,C,,,,False,2.563735714285713,1.48,N/A,
RYTM,Long,PULLBACK,T1-STRONG_LONG,100,93.145,87.0284,105.3782,97.295,2.0,6.1166,101.39,8.1,WAITING,1,1,4h,93.145,89.72,HIGHWAY,EXCITED,2.06,151757852.0,1.7,2.0,0.0,3.0,15.4,35.0,8.0,55.7,HIGH,0.02,97.295,96.79,97.8,1.0,PREMIUM,DISCOUNT,4638,8,567,99.9,A,,,,False,4.694914285714285,1.3,N/A,
BJRI,Long,BOUNCE,T2-LONG,100,54.72,50.2266,63.7068,,2.0,4.4934,54.72,2.2,CLOSE,3,3,"1d,30m,4h",53.5,51.78,HIGHWAY,EXCITED,1.88,115579257.0,2.6,1.9,0.0,2.0,10.8,49.0,8.0,18.23,MED,0.07,54.55,54.55,54.55,0.0,FLAT,FLAT,2095,7,1682,2.4,C,,,,False,2.3325571428571417,1.93,N/A,
CECO,Long,BOUNCE,T1-STRONG_LONG,100,99.67,93.5371,111.9358,,2.0,6.1329,99.67,1.8,CLOSE,3,3,"1h,1m,4h",97.84,96.43,HIGHWAY,EXCITED,1.21,24744959.0,0.9,0.7,0.0,0.0,10.1,43.0,8.0,32.14,MED,0.03,98.14,98.4,97.88,-0.5,PREMIUM,DISCOUNT,5313,15,3455,99.9,A,,,,False,5.708699999999998,1.07,N/A,
KYTX,Long,BOUNCE,T1-STRONG_LONG,100,8.3,7.6533,9.5934,,2.0,0.6467,8.3,1.7,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",8.16,7.89,OPEN_ROAD,EXCITED,3.83,10162102.0,1.2,1.4,0.0,0.0,10.1,33.0,8.0,35.44,MED,0.03,8.185,8.07,8.3,2.9,PREMIUM,DISCOUNT,129,9,101,2.8,C,,,,True,0.4492857142857143,1.44,N/A,
BCAX,Long,PULLBACK,T1-STRONG_LONG,100,22.52,21.2915,24.977,23.375,2.0,1.2285,24.55,8.3,WAITING,2,2,"1d,4h",22.52,21.95,HIGHWAY,EXCITED,1.31,26363204.0,1.4,1.9,0.0,1.0,18.4,45.0,8.0,36.65,MED,0.02,23.375,23.23,23.52,1.2,PREMIUM,DISCOUNT,880,5,327,99.9,A,,,,False,1.095285714285715,1.12,N/A,
INSM,Long,BOUNCE,T3-LONG_WATCH,75,98.605,93.314,109.187,,2.0,5.291,98.605,1.5,CLOSE,2,2,"1h,4h",97.17,96.2,OPEN_ROAD,EXCITED,1.08,188905783.0,0.9,2.2,0.0,1.0,6.7,47.0,8.0,198.3,HIGH,0.02,95.81,95.8,95.82,0.0,FLAT,FLAT,477,2,380,2.6,C,,,,False,5.4984714285714285,0.96,N/A,
CELC,Long,BOUNCE,T1-STRONG_LONG,100,89.93,85.1272,99.5356,,2.0,4.8028,89.93,0.8,CLOSE,5,5,"1d,1h,1m,30m,4h",89.22,87.76,OPEN_ROAD,EXCITED,1.0,116631811.0,0.5,0.8,0.0,0.0,10.6,38.0,8.0,26.81,MED,0.03,88.16,87.76,88.56,0.9,PREMIUM,PREMIUM,4260,11,346,4.5,B,,,,False,7.946364285714283,0.6,N/A,
