ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
SOXL,Long,PULLBACK,T1-STRONG_LONG,100,300.77,271.5903,359.1294,,2.0,29.1797,300.77,3.5,APPROACH,4,4,"10m,15m,30m,5m",290.2,279.99,HIGHWAY,EXCITED,4.16,16104882749.0,0.6,0.8,5272799.0,0.0,33.6,58.0,8.0,,UNKNOWN,,289.275,279.29,299.26,7.2,PREMIUM,DISCOUNT,42276,23,27454,99.9,A,,,,False,44.24432857142858,0.66,N/A,
CELC,Long,BOUNCE,T1-STRONG_LONG,100,89.93,85.1272,99.5356,,2.0,4.8028,89.93,0.8,CLOSE,5,5,"1d,1h,1m,30m,4h",89.22,87.76,OPEN_ROAD,EXCITED,1.0,116631811.0,0.5,0.8,0.0,0.0,10.6,38.0,8.0,26.81,MED,0.03,88.16,87.76,88.56,0.9,PREMIUM,PREMIUM,4260,11,346,4.5,B,,,,False,7.946364285714283,0.6,N/A,
GETY,Long,BREAKOUT,T2-LONG,100,1.3,0.3069,3.2862,,2.0,0.9931,1.15,0.0,INSIDE,3,3,,,,OPEN_ROAD,EXCITED,73.66,,,,,,,,,,HIGH,1.1,1.0025,0.6051,1.4,131.4,PREMIUM,MID,89,3,39,8.7,C,False,16.4,True,True,0.1339,7.42,N/A,
HTFL,Long,BOUNCE,T3-LONG_WATCH,70,33.84,31.8548,37.8104,,2.0,1.9852,33.84,1.1,CLOSE,1,1,1d,33.47,32.84,HIGHWAY,EXCITED,1.5,113746369.0,1.3,1.3,0.0,0.0,9.6,31.0,8.0,66.26,HIGH,0.02,33.615,33.64,33.59,-0.1,FLAT,FLAT,1151,8,393,2.1,C,,,,False,1.9094000000000002,1.04,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,129.12,118.6588,150.0423,136.555,2.0,10.4612,140.94,8.4,WAITING,2,2,"1d,30m",129.12,122.3287,HIGHWAY,EXCITED,4.21,92757294667.0,1.0,1.2,3736658.0,0.0,21.9,69.0,8.0,5016.55,MEGA,0.03,136.555,133.99,139.12,3.8,PREMIUM,DISCOUNT,21046,27,4800,99.9,A,,,,False,10.322707142857142,1.01,N/A,
KEEL,Long,BOUNCE,T1-STRONG_LONG,100,6.66,6.1013,7.7774,,2.0,0.5587,6.66,0.6,CLOSE,5,5,"10m,15m,1d,30m,5m",6.62,6.29,HIGHWAY,EXCITED,6.9,4272545538.0,1.8,1.4,1661298.0,0.0,33.3,38.0,8.0,577.56,MEGA,0.19,6.4725,6.29,6.655,5.8,PREMIUM,MID,485,13,152,99.9,A,,,,True,0.661607142857143,0.84,N/A,
NVDA,Long,BOUNCE,T3-LONG_WATCH,48,208.65,198.9373,228.0754,,2.0,9.7127,208.65,1.0,CLOSE,1,1,30m,206.5,205.09,OPEN_ROAD,EXCITED,5.33,4816459781.0,0.7,1.0,2449703.0,0.0,5.4,36.0,8.0,23225.22,MEGA,0.01,211.065,210.69,211.44,0.4,FLAT,FLAT,4528,9,4469,2.1,C,,,,False,7.962299999999999,1.22,N/A,
PLUG,Long,BOUNCE,T1-STRONG_LONG,100,2.79,2.585,3.38,2.83,2.9,0.205,2.79,2.0,CLOSE,3,3,"1d,1h,4h",2.735,2.665,HIGHWAY,EXCITED,1.52,374919145.0,0.5,0.9,2344549.0,0.0,12.7,37.0,8.0,1330.73,MEGA,0.03,2.83,2.85,2.81,-1.4,DISCOUNT,DISCOUNT,77,10,42,21.1,C,,,,True,0.25821428571428573,0.79,N/A,
QTEX,Long,BOUNCE,T2-LONG,69,2.01,1.9352,2.1597,2.14,2.0,0.0748,2.01,0.5,CLOSE,1,1,10m,2.0,1.995,OPEN_ROAD,EXCITED,1.28,0.0,0.2,0.3,1321786.0,0.0,80.7,32.0,8.0,36.86,MED,0.36,2.14,2.01,2.27,12.9,DISCOUNT,DISCOUNT,197,10,60,2.5,C,,,,True,0.5057142857142857,0.15,N/A,
SRXH,Long,BOUNCE,T2-LONG,60,0.1116,0.0595,0.2158,0.1271,2.0,0.0521,0.1116,1.5,CLOSE,1,1,15m,0.1099,0.1095,OPEN_ROAD,EXCITED,0.54,0.0,1.6,2.8,4977837.0,3.0,131.1,22.0,8.0,858.6,MEGA,0.16,0.1271,0.1245,0.1297,4.2,DISCOUNT,DISCOUNT,0,1,0,3.0,D,,,,False,0.027475000000000003,1.9,N/A,
TNON,Long,BREAKOUT,T3-LONG_WATCH,100,0.64,0.5037,0.9126,,2.0,0.1363,0.6215,0.0,INSIDE,2,2,,,,HIGHWAY,EXCITED,1448.3,,,,,,,,,,LOW,26.43,0.5125,0.35,0.6751,92.9,PREMIUM,PREMIUM,0,1,0,5.1,D,False,17.7,True,False,0.07744285714285717,1.76,N/A,
VSTS,Long,BOUNCE,T3-LONG_WATCH,100,13.11,12.4936,14.3428,,2.0,0.6164,13.11,0.7,CLOSE,2,2,"1d,4h",13.02,12.88,HIGHWAY,EXCITED,1.05,34751434.0,1.0,1.1,0.0,0.0,6.0,21.0,8.0,91.31,HIGH,0.02,12.95,12.88,13.02,1.1,PREMIUM,MID,789,9,55,99.9,A,,,,True,0.547642857142857,1.13,N/A,
