ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
GRML,BULL_BOUNCE_PENDING,LONG,73.0,10.25,9.95,10.77,,334,1.72,FAVORABLE,18.32,10.32,DEEP_BELOW,-0.6245,27.48,68.7246,6872.5% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""float_rot_parabolic"": 6.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $10.25 (1m 7tk MINOR gap body) | only 0.3% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | hot volume 18.3x avg | float rotation 68.72x — parabolic engagement | breakout volume surge — real demand active | SPY FAVORABLE",LIMIT BUY @ $10.25 on pullback (0.3% below current $10.32). Stop $9.95. Anchor: 1m 7tk.,2026-09-22T05:50:59
IMCC,BULL_BOUNCE_PENDING,LONG,72.3,5.16,4.82,5.42,,292,0.76,FAVORABLE,0.27,5.27,DEEP_BELOW,-0.9316,77.1,2.435,243.5% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 2.3, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""float_rot_parabolic"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $5.07 (1m 3tk MINOR gap body) | 3.4% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | float rotation 2.44x — parabolic engagement | SPY FAVORABLE",LIMIT BUY @ $5.16 (2% pullback cap; anchor at $5.07 too far). Stop $4.82. Anchor: 1m 3tk.,2026-09-22T05:50:57
VZLA,BULL_BOUNCE_PENDING,LONG,67.7,4.03,3.8,4.71,,439,3.0,FAVORABLE,0.93,4.1093,DEEP_BELOW,-0.4285,7.19,0.0129,1.3% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 7.7, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""sector_bottom_quartile"": -3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $3.87 (1h 3tk MINOR gap body) | 5.6% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | MATERIALS WEAK (WEAK) — sector headwind | SPY FAVORABLE",LIMIT BUY @ $4.03 (2% pullback cap; anchor at $3.87 too far). Stop $3.8. Anchor: 1h 3tk.,2026-09-22T05:51:00
GLND,CHANNEL_RECLAIM_LONG,LONG,67.0,2.77,2.65,3.04,3.04,851,2.34,FAVORABLE,16.29,2.7707,DEEP_BELOW,-0.8795,23.0,4.2496,425.0% (EXTREME — almost always reverts),FALLING,False,"{""recent_breakdown"": 10.0, ""reclaim_in_progress"": 16.0, ""ascending_channel"": 10.0, ""anchor_held"": 12.0, ""obv_rising"": 8.0, ""rel_vol_strong"": 6.0, ""regime_favorable"": 5.0}",recent low $2.69 dipped below rail $2.74 | price $2.77 now back inside channel — reclaim attempt | ASC channel (10m) | anchor: 1h 32tk @ $2.79 held | OBV rising — accumulation underneath reclaim | relative volume 16.294x — conviction in reclaim | SPY FAVORABLE,"Channel: 10m ASC, breakdown reclaimed. Validated low $2.69 → now $2.77",2026-09-22T05:51:00
GLND,BULL_BOUNCE,LONG,66.0,2.77,2.54,3.0,,425,0.98,FAVORABLE,16.29,2.7707,DEEP_BELOW,-0.8795,23.0,4.2496,425.0% (EXTREME — almost always reverts),FALLING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 8.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 10m (score 66) | price at lower rail ($2.74) | anchor: 1h 32tk @ $2.79 | 3 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 10m ASC, rails $2.74-$3.00",2026-09-22T05:51:00
CORT,BEAR_REJECTION_PENDING,SHORT,60.0,116.01,119.04,110.84,108.25,32,1.71,FAVORABLE,0.77,113.76,NEAR_HIGH,-0.0999,126.38,0.0125,1.2% (normal),RISING,False,"{""structural_anchor_above"": 14.0, ""huge_anchor"": 14.0, ""vacuum_tier"": 6.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""ascending_channel_headwind"": -10.0, ""obv_falling"": 6.0}","PENDING: wait for rally to $116.01 (30m 244tk VACUUM bear gap) | only 2.0% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | ASC channel active (weekly) — short fights rising structure | OBV falling — distribution confirms short thesis",LIMIT SHORT @ $116.01 on rally (2.0% above current $113.76). Stop $119.04. Anchor: 30m 244tk bear.,2026-09-22T05:50:59
TOPS,BULL_BOUNCE_PENDING,LONG,84.0,1.5,1.45,1.57,,2057,1.54,FAVORABLE,19.1,1.5293,DEEP_BELOW,-0.7933,7.4,8.475,847.5% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 4.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""float_rot_parabolic"": 6.0, ""sector_bottom_decile"": -5.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $1.46 (1m 1tk MINOR gap body) | 3.9% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | hot volume 19.1x avg | float rotation 8.47x — parabolic engagement | ENERGY COLD (bottom 4%) — major headwind | breakout volume surge — real demand active | SPY FAVORABLE",LIMIT BUY @ $1.50 (2% pullback cap; anchor at $1.46 too far). Stop $1.45. Anchor: 1m 1tk.,2026-09-22T05:50:57
QNME,BULL_BOUNCE_PENDING,LONG,83.0,0.98,0.91,1.03,,1528,0.75,FAVORABLE,3.06,1.0,,,,1.8119,181.2% (FULL ROTATION — exhaustion signal),RISING,False,"{""structural_anchor_below"": 14.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""float_rot_in_play"": 4.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.95 (1m 1tk MINOR gap body) | 5.0% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | hot volume 3.1x avg | float rotation 1.81x — supply rotating, in play | breakout volume surge — real demand active | SPY FAVORABLE",LIMIT BUY @ $0.98 (2% pullback cap; anchor at $0.95 too far). Stop $0.91. Anchor: 1m 1tk.,2026-09-22T05:50:57
GDC,BULL_BOUNCE_PENDING,LONG,94.2,1.88,1.74,1.97,,737,0.69,FAVORABLE,12.2,1.88,DEEP_BELOW,-0.9991,2044.97,2.5249,252.5% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 9.2, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""float_rot_parabolic"": 6.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}","MARKET: score 94 CONVICTION - take entry now at $1.88, not waiting for the $1.79 pullback | 4.8% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | hot volume 12.2x avg | float rotation 2.52x — parabolic engagement | breakout volume surge — real demand active | SPY FAVORABLE",MARKET BUY @ ~$1.88 (CONVICTION score 94). Stop $1.74. Anchor: 10m 1tk @ $1.79.,2026-09-22T05:50:59
SLXN,BULL_BOUNCE_PENDING,LONG,73.9,0.59,0.55,0.62,,2359,0.7,FAVORABLE,1.83,0.604,DEEP_BELOW,-0.9858,42.6,3.6199,362.0% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 10.9, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""float_rot_parabolic"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.57 (1h 5tk MINOR gap body) | only 1.9% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | float rotation 3.62x — parabolic engagement | SPY FAVORABLE",LIMIT BUY @ $0.59 (2% pullback cap; anchor at $0.57 too far). Stop $0.55. Anchor: 1h 5tk.,2026-09-22T05:50:58
