ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
FUTU,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,97.34,102.48,82.4,,19,2.91,HOSTILE,95.435,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:28:57.166474
NVDA,SHORT,CONVICTION,95.3,BEAR_REJECTION_PENDING,204.43,209.23,190.84,182.08,20,2.83,HOSTILE,202.99,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:26:57.843685
SMCI,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,31.64,40.84,30.06,,10,0.17,HOSTILE,31.02,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:26:52.085229
HOOD,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,90.5,99.98,75.44,,10,1.59,HOSTILE,88.73,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:27:27.356969
ORCL,SHORT,CONVICTION,91.6,BEAR_REJECTION_PENDING,192.7,206.84,163.0,,7,2.1,HOSTILE,188.9255,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:27:10.454403
ALHC,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,20.96,23.58,19.91,,38,0.4,HOSTILE,20.68,LIMIT,5,COMPRESSION,2026-06-11,2026-06-11T05:27:38.491722
NP,SHORT,CONVICTION,89.0,BEAR_REJECTION_PENDING,27.49,28.21,23.1,25.43,138,6.08,HOSTILE,26.95,LIMIT,5,COMPRESSION,2026-06-11,2026-06-11T05:28:32.998890
MASI,SHORT,CONVICTION,86.0,BEAR_REJECTION_PENDING,181.5,184.07,175.0,175.2,38,2.53,HOSTILE,179.95,LIMIT,2,VACUUM,2026-06-11,2026-06-11T05:29:25.838569
IIPR,SHORT,CONVICTION,84.1,BEAR_REJECTION_PENDING,59.33,69.97,56.37,,9,0.28,HOSTILE,58.17,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:29:29.957929
RGEN,SHORT,CONVICTION,82.4,BEAR_REJECTION_PENDING,134.0,142.89,116.61,,11,1.96,HOSTILE,131.37,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:28:29.300256
QH,SHORT,CONVICTION,81.2,BEAR_REJECTION_PENDING,5.71,7.77,5.43,,48,0.14,HOSTILE,5.6,LIMIT,5,VACUUM,2026-06-11,2026-06-11T05:26:34.213745
DXYZ,SHORT,CONVICTION,80.7,BEAR_REJECTION_PENDING,41.04,47.49,38.99,,15,0.32,HOSTILE,40.24,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:28:51.698894
INTC,SHORT,CONVICTION,78.0,BEAR_REJECTION_PENDING,111.7,130.09,106.12,,5,0.3,HOSTILE,109.51,LIMIT,5,VACUUM,2026-06-11,2026-06-11T05:26:44.891934
SPOT,SHORT,CONVICTION,78.0,BEAR_REJECTION_PENDING,502.03,509.82,486.72,457.03,12,1.97,HOSTILE,501.58,LIMIT,5,VACUUM,2026-06-11,2026-06-11T05:28:09.259191
HROW,SHORT,CONVICTION,78.0,BEAR_REJECTION_PENDING,35.55,36.92,33.4,,72,1.56,HOSTILE,35.5,LIMIT,5,COMPRESSION,2026-06-11,2026-06-11T05:28:27.726182
FLUT,SHORT,CONVICTION,77.2,BEAR_REJECTION_PENDING,115.85,121.63,99.15,99.15,17,2.89,HOSTILE,113.58,LIMIT,5,COMPRESSION,2026-06-11,2026-06-11T05:27:57.195031
GPCR,SHORT,CONVICTION,76.4,BEAR_REJECTION_PENDING,42.69,45.09,37.77,36.72,41,2.04,HOSTILE,41.85,LIMIT,5,MINOR,2026-06-11,2026-06-11T05:28:29.723847
CBRL,SHORT,CONVICTION,74.7,BEAR_REJECTION_PENDING,45.38,49.84,38.44,,22,1.56,HOSTILE,44.49,LIMIT,5,CONVICTION,2026-06-11,2026-06-11T05:27:42.255041
