ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
HCWB,226.41,196.74,1.1,0.53,0.7,1.0,99955841,17468,5722.03,0.82,True,0.337,1.0,0.985,1.03,6666,99.99,2894.5936,1.0,,GENESIS,GENESIS
AUUD,88.52,86.09,2.3,1.2198,1.2224,2.2703,48981306,150961,324.46,0.97,True,1.22,2.2703,2.2362,2.3384,2936,99.98,884.0757,1.0,,GENESIS,GENESIS
SLE,51.84,27.76,6.18,4.19,4.49,5.2,8369606,1544,5418.39,0.51,True,4.07,5.2,5.122,5.356,1282,100.0,501.3141,1.0,,GENESIS,GENESIS
BIYA,60.48,50.08,1.24,1.04,1.1,1.1597,5327793,48116,110.73,0.6,True,0.7727,1.1597,1.1423,1.1945,5748,99.99,379.1381,1.0,,GENESIS,GENESIS
TDIC,167.5,107.5,2.14,1.41,1.88,1.66,37646813,10874676,3.46,0.34,False,0.8,1.66,1.6351,1.7098,4016,100.0,316.3488,1.0,,GENESIS,GENESIS
SPAI,29.71,7.71,5.72,3.8625,3.8625,4.75,2669382,5942,449.22,0.48,False,4.41,4.75,4.6787,4.8925,1403,99.96,206.4419,1.0,,GENESIS,GENESIS
MLGO,51.65,-9.89,6.9,4.06,5.33,4.1,7786451,16121,482.99,0.01,False,4.55,4.1,4.0385,4.223,1626,100.0,190.6404,1.0,,GENESIS,GENESIS
GEMI,27.57,26.81,6.71,6.11,6.29,6.67,996552,22333,44.62,0.93,True,5.26,6.67,6.5699,6.8701,999,99.95,189.5878,1.0,,GENESIS,GENESIS
MICC,23.9,11.92,18.61,15.05,15.05,16.81,1261736,2907,434.03,0.49,False,15.02,16.81,16.5578,17.3143,396,99.85,168.1082,1.0,,GENESIS,GENESIS
LOBO,27.36,19.28,0.7899,0.6,0.6503,0.7398,2310841,476258,4.85,0.74,True,0.6202,0.7398,0.7287,0.762,9011,100.0,87.247,1.0,,GENESIS,GENESIS
DVLT,18.75,-10.77,0.696,0.48,0.6298,0.523,24827379,2043888,12.15,0.2,False,0.5861,0.523,0.5152,0.5387,12746,99.99,45.8412,1.0,,GENESIS,GENESIS
FIG,12.99,9.04,22.87,21.74,22.34,22.0698,2310806,348238,6.64,0.29,False,20.24,22.0698,21.7388,22.7319,302,99.98,29.7619,1.0,,GENESIS,GENESIS
