ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
SPCX,2026-06-26 13:45,Argus Research,,Hold,init,,0.0,0.0,NEUTRAL,1
SPCX,2026-06-23 15:36,Susquehanna,,Neutral,init,Announces,170.0,0.0,NEUTRAL,1
SPCX,2026-06-22 11:13,Keybanc,,Sector Weight,init,,0.0,0.0,NEUTRAL,1
SPCX,2026-06-18 17:08,Oppenheimer,Outperform,Outperform,main,Raises,250.0,190.0,BULL,2
NKE,2026-07-01 11:54,Stifel,Hold,Hold,main,Lowers,45.0,50.0,BEAR,2
NKE,2026-07-01 11:51,BTIG,Buy,Buy,reit,Maintains,55.0,55.0,NEUTRAL,1
NKE,2026-07-01 11:50,Piper Sandler,Neutral,Neutral,main,Lowers,45.0,50.0,BEAR,2
NKE,2026-07-01 11:15,Barclays,Overweight,Overweight,main,Lowers,52.0,67.0,BEAR,2
NKE,2026-07-01 11:05,B of A Securities,Neutral,Neutral,main,Lowers,47.0,55.0,BEAR,2
NKE,2026-07-01 10:56,Wells Fargo,Equal-Weight,Equal-Weight,main,Lowers,40.0,45.0,BEAR,2
NKE,2026-06-29 15:55,JP Morgan,Neutral,Neutral,main,Lowers,47.0,52.0,BEAR,2
NKE,2026-06-26 16:56,Deutsche Bank,Hold,Hold,main,Lowers,43.0,51.0,BEAR,2
NKE,2026-06-26 13:20,Oppenheimer,Outperform,Outperform,main,Lowers,60.0,120.0,BEAR,2
NKE,2026-06-26 10:49,Keybanc,Overweight,Sector Weight,down,,0.0,0.0,BEAR,4
NKE,2026-06-25 10:04,BTIG,Buy,Buy,main,Lowers,55.0,75.0,BEAR,2
NKE,2026-06-23 17:29,BNP Paribas,Underperform,Underperform,reit,Maintains,23.0,23.0,NEUTRAL,1
NKE,2026-06-23 14:12,Goldman Sachs,Neutral,Neutral,main,Lowers,46.0,52.0,BEAR,2
NKE,2026-06-23 13:42,Evercore ISI Group,Outperform,In-Line,down,Lowers,46.0,57.0,BEAR,4
PATH,2026-06-29 16:44,UBS,Neutral,Neutral,main,Lowers,12.0,13.0,BEAR,2
RKT,2026-06-30 13:03,Benchmark,,Buy,init,Announces,21.0,0.0,BULL,3
