ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,vol_ratio,vol_hot,outcome,result_r,scan_date
NVDA,Long,PULLBACK,T2-LONG,27,176.7,173.166,203.97,7.7,3.534,True,190.04,7.0,WAITING,1,1,HIGHWAY,1.1,False,NO_FILL,0.0,2026-02-10
GOOG,Short,RESISTANCE,T3-SHORT,80,331.33,337.9566,264.94,10.0,6.6266,True,324.4,2.1,CLOSE,1,1,HIGHWAY,1.3,True,NO_FILL,0.0,2026-02-10
AMZN,Short,RESISTANCE,T3-SHORT,80,226.31,231.82,205.75,3.7,5.51,False,208.72,8.4,WAITING,1,1,HIGHWAY,2.0,True,NO_FILL,0.0,2026-02-10
AVGO,Long,PULLBACK,T2-LONG,27,320.1,313.698,382.0,9.7,6.402,True,343.94,6.9,APPROACH,1,1,HIGHWAY,1.2,False,NO_FILL,0.0,2026-02-10
XOM,Long,PULLBACK,T2-LONG,40,144.12,141.2376,158.69,5.1,2.8824,True,151.21,4.7,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-02-10
ORCL,Long,PULLBACK,T2-LONG,30,147.15,143.2,159.38,3.1,3.95,False,156.59,6.0,APPROACH,1,1,HIGHWAY,1.8,False,NO_FILL,0.0,2026-02-10
BAC,Long,PULLBACK,T2-LONG,25,54.2,53.116,56.42,2.0,1.084,True,56.41,3.9,APPROACH,1,1,HIGHWAY,0.8,False,STOPPED,-1.0,2026-02-10
PLTR,Long,PULLBACK,T2-LONG,26,136.58,133.8484,155.41,6.9,2.7316,True,142.91,4.4,APPROACH,1,1,HIGHWAY,1.1,False,STOPPED,-1.0,2026-02-10
CAT,Long,PULLBACK,T2-LONG,26,690.52,676.7096,743.06,3.8,13.8104,True,742.12,7.0,APPROACH,1,1,HIGHWAY,1.0,False,NO_FILL,0.0,2026-02-10
CSCO,Long,PULLBACK,T2-LONG,42,81.06,79.4388,92.92,7.3,1.6212,True,86.78,6.6,APPROACH,1,1,HIGHWAY,1.2,False,STOPPED,-1.0,2026-02-10
AMAT,Long,PULLBACK,T3-LONG_WATCH,40,320.58,314.1684,333.79,2.1,6.4116,True,330.57,3.0,APPROACH,1,1,HIGHWAY,0.8,False,NO_FILL,0.0,2026-02-10
LRCX,Long,PULLBACK,T2-LONG,24,218.76,214.3848,230.0,2.6,4.3752,True,229.28,4.6,APPROACH,1,1,HIGHWAY,0.6,False,NO_FILL,0.0,2026-02-10
GS,Long,PULLBACK,T2-LONG,22,907.87,889.7126,985.57,4.3,18.1574,True,943.62,3.8,APPROACH,1,1,OPEN_ROAD,0.9,False,STOPPED,-1.0,2026-02-10
GEV,Long,PULLBACK,T2-LONG,26,758.07,737.53,865.55,5.2,20.54,False,801.54,5.4,APPROACH,1,1,HIGHWAY,0.9,False,NO_FILL,0.0,2026-02-10
LIN,Short,RESISTANCE,T2-SHORT,80,457.99,467.1498,433.2,2.7,9.1598,True,456.34,0.4,CLOSE,1,1,HIGHWAY,1.7,False,STOPPED,-1.0,2026-02-10
TMUS,Short,RESISTANCE,T2-SHORT,95,202.95,207.009,192.7,2.5,4.059,True,197.66,2.7,CLOSE,1,1,HIGHWAY,0.7,False,STOPPED,-1.0,2026-02-10
PEP,Long,PULLBACK,T2-LONG,22,156.6,153.468,177.74,6.7,3.132,True,166.47,5.9,APPROACH,1,1,OPEN_ROAD,1.2,False,NO_FILL,0.0,2026-02-10
C,Long,PULLBACK,T2-LONG,23,117.36,115.0128,131.13,5.9,2.3472,True,123.77,5.2,APPROACH,1,1,OPEN_ROAD,1.0,False,STOPPED,-1.0,2026-02-10
KLAC,Long,PULLBACK,T1-STRONG_LONG,61,1371.18,1315.33,1585.0,3.8,55.85,False,1440.16,4.8,APPROACH,2,2,HIGHWAY,1.0,False,NO_FILL,0.0,2026-02-10
TMO,Short,RESISTANCE,T3-SHORT,95,563.73,575.0046,465.55,8.7,11.2746,True,546.76,3.1,APPROACH,1,1,HIGHWAY,0.7,False,NO_FILL,0.0,2026-02-10
GILD,Long,PULLBACK,T2-LONG,21,143.93,141.0514,160.08,5.6,2.8786,True,151.68,5.1,APPROACH,1,1,OPEN_ROAD,1.0,False,NO_FILL,0.0,2026-02-10
CRM,Short,RESISTANCE,T3-SHORT,80,205.56,209.8,192.84,3.0,4.24,False,194.03,5.9,APPROACH,1,1,HIGHWAY,1.0,False,NO_FILL,0.0,2026-02-10
DIS,Short,RESISTANCE,T3-SHORT,63,108.61,110.99,100.14,3.6,2.38,False,107.13,1.4,CLOSE,1,1,OPEN_ROAD,0.8,False,WINNING,1.27,2026-02-10
SCHW,Long,PULLBACK,T2-LONG,21,102.51,100.4598,112.32,4.8,2.0502,True,107.21,4.4,APPROACH,1,1,OPEN_ROAD,1.0,False,STOPPED,-1.0,2026-02-10
