ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
SHLS,Long,PULLBACK,T1-STRONG_LONG,91,4.9,7.06,6.7997,8.33,7.1,HIGH,166.41,0.0,0.1,1.0,16.7,9.6,A,95,,1.6273,0.955,0.909,0.318,0.023,7.01,7.06,7.1306,475,384,302,6.28,4.88,3.62,6.7997,8.33,10:30
SEDG,Long,PULLBACK,T1-STRONG_LONG,92,3.6,43.27,41.2832,50.45,6.4,HIGH,59.61,0.01,0.2,0.0,35.5,9.2,A,709,,1.4614,0.864,0.841,0.364,0.227,42.56,43.27,43.7027,78,50,41,6.18,3.61,2.79,41.2832,50.45,10:30
AMPX,Long,PULLBACK,T2-LONG,87,2.2,20.06,19.0217,22.38,6.4,HIGH,128.25,0.01,0.2,1.0,24.5,4.4,B,590,,1.4614,0.795,0.841,0.136,0.227,19.61,20.06,20.2606,169,96,80,4.71,2.23,1.71,19.0217,22.38,10:30
SMR,Long,BOUNCE,T1-STRONG_LONG,100,8.1,12.305,11.543,18.47,1.3,MEGA,298.64,0.02,0.3,0.0,22.9,50.1,B,566,,1.3023,1.0,0.386,0.727,0.477,11.9,12.305,12.428,280,131,112,18.4,8.09,6.83,11.543,18.47,10:30
QS,Long,BOUNCE,T1-STRONG_LONG,93,4.1,7.66,7.1683,9.67,2.1,MEGA,482.0,0.04,1.4,1.0,40.8,26.2,A,249,,1.2909,0.909,0.5,0.409,0.727,7.39,7.66,7.7366,451,203,175,10.28,4.09,3.4,7.1683,9.67,10:30
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,2.2,75.04,70.4511,85.15,1.0,HIGH,123.73,0.03,0.4,1.0,31.0,13.5,A,2092,,1.0386,0.795,0.295,0.727,0.636,72.63,75.04,75.7904,45,21,18,5.75,2.2,1.75,70.4511,85.15,10:30
AMD,Long,PULLBACK,T1-STRONG_LONG,90,2.0,347.36,290.965,460.15,3.7,MEGA,1621.48,0.01,0.8,0.0,28.0,99.9,A,29559,,0.9409,0.364,0.636,0.227,0.227,305.49,347.36,350.8336,6,1,1,10.65,2.0,1.83,290.965,460.15,10:30
BURU,Long,PULLBACK,T2-LONG,81,2.0,0.3371,0.245,0.5213,4.6,HIGH,153.12,0.09,0.3,2.0,120.0,3.9,D,17,,0.8864,0.364,0.682,0.0,0.909,0.295,0.3371,0.3571,2000,1085,892,4.53,2.0,1.46,0.245,0.5213,10:30
MU,Long,PULLBACK,T1-STRONG_LONG,100,2.0,458.56,441.7865,492.107,8.1,MEGA,1123.56,0.01,0.3,0.0,16.3,99.9,A,9237,,0.8864,0.364,0.955,0.727,0.227,455.45,458.56,463.1456,7,5,4,2.68,2.0,1.36,441.7865,492.107,10:30
USAR,Long,BOUNCE,T1-STRONG_LONG,86,2.0,21.88,19.691,26.258,2.8,HIGH,169.39,0.03,0.4,2.0,22.0,14.2,A,721,,0.8864,0.364,0.591,0.091,0.636,20.3,21.88,22.0988,164,45,41,9.78,2.0,1.73,19.691,26.258,10:30
FCEL,Long,BOUNCE,T2-LONG,85,2.0,11.24,10.7961,12.1278,0.6,HIGH,52.82,0.02,0.3,3.0,76.1,6.1,B,329,,0.8091,0.364,0.182,0.045,0.477,11.13,11.24,11.3524,299,225,179,2.99,2.0,1.39,10.7961,12.1278,10:30
PAPL,Long,BOUNCE,T1-STRONG_LONG,90,2.0,0.9332,0.8273,1.145,2.6,MED,16.27,0.07,0.2,1.0,97.1,13.6,B,25,,0.7955,0.364,0.545,0.227,0.818,0.8773,0.9332,0.9532,2000,944,794,5.35,2.0,1.52,0.8273,1.145,10:30
APLD,Long,PULLBACK,T1-STRONG_LONG,100,2.0,34.73,31.385,41.42,5.4,MEGA,253.82,0.02,0.2,1.0,27.2,8.0,A,1409,,0.7818,0.364,0.773,0.727,0.477,32.5,34.73,35.0773,89,29,27,8.0,2.0,1.72,31.385,41.42,10:30
MXL,Long,PULLBACK,T1-STRONG_LONG,100,2.0,53.7,24.66,111.78,8.5,HIGH,81.43,0.08,3.4,3.0,128.1,99.9,A,15891,,0.7727,0.364,1.0,0.727,0.864,34.34,53.7,54.237,10,3,3,8.0,2.0,1.95,24.66,111.78,10:30
KOPN,Long,PULLBACK,T1-STRONG_LONG,100,2.0,3.595,3.4241,3.9368,5.1,HIGH,152.4,0.02,0.7,1.0,38.8,99.9,B,148,,0.7682,0.364,0.727,0.727,0.477,3.53,3.595,3.631,944,585,483,3.84,2.0,1.48,3.4241,3.9368,10:30
NOK,Long,BOUNCE,T1-STRONG_LONG,100,2.0,10.46,9.5739,12.2322,1.3,MEGA,4443.8,0.0,0.2,1.0,11.3,99.9,A,341,,0.7568,0.364,0.386,0.727,0.023,9.87,10.46,10.5646,337,112,100,7.98,2.0,1.68,9.5739,12.2322,10:30
CORZ,Long,BOUNCE,T2-LONG,90,2.0,21.13,20.1857,23.0186,0.3,MEGA,233.51,0.01,0.2,1.0,11.7,3.5,C,42,,0.7568,0.364,0.023,0.227,0.227,20.81,21.13,21.3413,160,105,86,3.54,2.0,1.45,20.1857,23.0186,10:30
INDI,Long,BOUNCE,T1-STRONG_LONG,100,2.0,3.72,3.295,4.57,0.5,MEGA,204.16,0.01,0.5,0.0,16.3,11.8,A,129,,0.6341,0.364,0.114,0.727,0.227,3.43,3.72,3.7572,740,235,216,8.44,2.0,1.76,3.295,4.57,10:30
INTC,Long,BOUNCE,T1-STRONG_LONG,100,2.0,82.3,59.25,128.4,0.3,MEGA,4985.91,0.01,0.8,0.0,32.2,99.9,A,7453,,0.6068,0.364,0.023,0.727,0.227,66.84,82.3,83.123,13,4,4,8.11,2.0,1.9,59.25,128.4,10:30
CAST,Long,BOUNCE,T1-STRONG_LONG,100,2.0,2.16,1.5798,3.3205,1.8,MED,15.78,0.11,12.9,1.0,113.5,8.8,C,89,,0.5909,0.364,0.455,0.727,0.955,1.76,2.16,2.1816,554,172,166,8.66,2.0,1.89,1.5798,3.3205,10:30
ARM,Long,BOUNCE,T1-STRONG_LONG,100,2.0,220.94,197.68,267.46,0.8,HIGH,136.56,0.03,0.7,1.0,41.3,99.9,A,7042,,0.5864,0.364,0.227,0.727,0.636,204.87,220.94,223.1494,13,4,3,8.71,2.0,1.74,197.68,267.46,10:30
POET,Long,BOUNCE,T1-STRONG_LONG,100,2.0,13.1,11.14,17.02,1.0,HIGH,131.85,0.12,0.9,4.0,97.0,99.9,A,558,,0.5341,0.364,0.295,0.727,1.0,11.75,13.1,13.231,163,51,47,8.64,2.0,1.81,11.14,17.02,10:30
HIMS,Long,BOUNCE,T1-STRONG_LONG,100,2.0,29.66,27.3346,34.3108,0.5,MEGA,207.41,0.05,0.4,1.0,17.9,8.0,B,184,,0.525,0.364,0.114,0.727,0.773,28.18,29.66,29.9566,118,43,38,7.25,2.0,1.66,27.3346,34.3108,10:30
