ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
LQDA,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,60.37,58.32,63.39,,48,1.48,FAVORABLE,61.6,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:38:06.905868
SCCO,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,188.16,181.09,204.19,209.95,14,2.27,FAVORABLE,192.0,LIMIT,5,VACUUM,2026-06-01,2026-06-01T05:40:27.818248
NVRI,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,20.66,19.5,21.69,,86,0.89,FAVORABLE,21.08,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:40:55.209977
SPRO,LONG,CONVICTION,67.0,CHANNEL_RECLAIM_LONG,2.97,2.73,3.12,,420,0.62,FAVORABLE,2.97,LIMIT,1,MINOR,2026-06-01,2026-06-01T05:41:10.645505
SXC,LONG,CONVICTION,67.0,CHANNEL_RECLAIM_LONG,9.07,8.73,10.18,10.18,295,3.28,FAVORABLE,9.07,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:41:28.695844
ADNT,LONG,CONVICTION,67.0,BULL_BOUNCE_PENDING,22.4,21.47,24.74,25.51,107,2.51,FAVORABLE,22.86,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:42:24.282395
CRI,LONG,CONVICTION,67.0,BULL_BOUNCE,38.59,36.8,44.2,,55,3.14,FAVORABLE,38.59,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:42:26.999938
HOLO,LONG,CONVICTION,67.0,CHANNEL_RECLAIM_LONG,2.21,2.0,2.32,,475,0.53,FAVORABLE,2.21,LIMIT,4,MINOR,2026-06-01,2026-06-01T05:42:55.524728
MRLN,LONG,CONVICTION,67.0,CHANNEL_RECLAIM_LONG,8.05,7.61,8.77,,229,1.65,FAVORABLE,8.05,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:43:01.353366
NIVF,LONG,CONVICTION,67.0,BULL_BOUNCE,0.88,0.67,0.92,,487,0.19,FAVORABLE,0.88,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:44:36.303738
RUN,LONG,CONVICTION,66.9,BULL_BOUNCE_PENDING,16.42,15.78,18.59,19.2,155,3.36,FAVORABLE,16.76,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:30:35.406818
CRBP,LONG,CONVICTION,66.9,BULL_BOUNCE_PENDING,7.79,7.43,8.7,8.7,274,2.5,FAVORABLE,7.95,LIMIT,5,MINOR,2026-06-01,2026-06-01T05:34:26.508265
AZTA,LONG,CONVICTION,66.9,BULL_BOUNCE_PENDING,22.42,20.3,23.54,,47,0.53,FAVORABLE,22.88,LIMIT,5,COMPRESSION,2026-06-01,2026-06-01T05:35:32.474811
URBN,LONG,CONVICTION,66.9,BULL_BOUNCE_PENDING,72.09,71.22,74.75,74.85,114,3.04,FAVORABLE,72.65,LIMIT,5,CONVICTION,2026-06-01,2026-06-01T05:41:50.497980
