ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
VSA,Long,PULLBACK,T2-LONG,87,3.9,3.5988,4.5024,,2.0,0.3012,4.28,8.9,WAITING,3,3,"10m,1m,5m",3.9,3.7101,OPEN_ROAD,EXCITED,18188,12.2,4.3,8320069,1,34.5,105,8,1527.24,MEGA,0.0,3.8825,3.885,3.88,-0.1,FLAT,FLAT,460,6,115,2.7,C,True,0.5145642857142857,0.59,N/A,
HPE,Long,PULLBACK,T1-STRONG_LONG,100,44.23,40.7362,51.2176,,2.0,3.4938,47.0,5.9,APPROACH,11,7,"10m,15m,1d,1h,30m,4h,5m",44.23,41.9961,HIGHWAY,EXCITED,20444715412,4.5,2.9,2713633,2,31.2,61,8,1320.94,MEGA,0.09,43.61,43.04,44.18,2.6,PREMIUM,DISCOUNT,3922,16,2145,99.9,A,False,2.2963785714285723,1.52,N/A,
GPUS,Long,PULLBACK,T3-LONG_WATCH,20,0.1672,0.112,0.2776,,2.0,0.0552,0.1768,5.4,APPROACH,1,1,4h,0.1672,0.162,OPEN_ROAD,EXCITED,26869605,0.8,1.6,80663672,2,32.8,38,8,460.71,MEGA,0.08,0.1903,0.19,0.1905,0.3,FLAT,FLAT,3,8,3,4.2,D,False,0.0201,2.75,N/A,
OTLK,Long,PULLBACK,T2-LONG,86,0.76,0.6977,1.62,,13.8,0.0623,0.843,9.8,WAITING,3,3,"1h,4h,5m",0.76,0.7477,MIXED,EXCITED,23075742,1.3,1.7,1456776,3,151.4,46,8,105.53,HIGH,0.42,0.7374,0.73,0.7449,2.0,PREMIUM,PREMIUM,74,17,13,92.2,C,False,0.0928,0.67,N/A,
NOK,Long,PULLBACK,T1-STRONG_LONG,92,15.05,14.4239,16.3022,,2.0,0.6261,16.25,7.4,WAITING,4,4,"10m,1h,4h,5m",15.05,14.87,HIGHWAY,EXCITED,772276738,1.5,1.1,9988308,0,14.4,53,8,4441.96,MEGA,0.04,14.955,14.84,15.07,1.5,PREMIUM,MID,912,22,312,99.9,A,True,1.0400000000000003,0.6,N/A,
WOK,Long,PULLBACK,T3-LONG_WATCH,74,0.0988,0.0482,0.2001,,2.0,0.0507,0.109,9.3,WAITING,1,1,4h,0.0988,0.0982,OPEN_ROAD,EXCITED,0,3.8,1.7,21466018,2,111.9,55,8,1.22,NANO,318.48,0.096,0.0944,0.0977,3.5,PREMIUM,PREMIUM,0,1,0,12.7,D,False,0.9915428571428571,0.05,N/A,
SRXH,Long,PULLBACK,T2-LONG,66,0.119,0.0621,0.2328,,2.0,0.0569,0.119,4.0,APPROACH,3,3,"1h,30m,4h",0.1142,0.1121,OPEN_ROAD,EXCITED,0,1.2,1.1,1413483,0,15.6,17,8,549.21,MEGA,0.09,0.1127,0.1105,0.1149,4.0,PREMIUM,MID,0,3,0,3.8,D,False,0.014242857142857149,3.99,N/A,
GDC,Long,PULLBACK,T3-LONG_WATCH,44,0.126,0.0643,0.2494,,2.0,0.0617,0.126,4.8,APPROACH,1,1,4h,0.12,0.1143,OPEN_ROAD,EXCITED,11582242,0.7,0.6,1200520,0,34.3,29,8,48.65,MED,1.13,0.1125,0.11,0.115,4.5,PREMIUM,PREMIUM,1,3,0,6.0,D,False,0.022514285714285712,2.74,N/A,
CXAI,Long,BOUNCE,T2-LONG,99,0.205,0.1506,0.3138,0.2177,2.0,0.0544,0.205,1.5,CLOSE,2,1,1m,0.2019,0.2006,OPEN_ROAD,EXCITED,0,2.9,1.8,1607167,2,47.8,19,8,62.88,HIGH,0.99,0.2177,0.2075,0.228,9.9,DISCOUNT,DISCOUNT,0,6,0,7.8,D,False,0.03440714285714285,1.58,N/A,
SPCE,Long,PULLBACK,T1-STRONG_LONG,92,6.7708,5.9296,8.4532,,2.0,0.8412,7.52,10.0,WAITING,1,1,1h,6.7708,6.21,OPEN_ROAD,EXCITED,4708952322,7.6,4.5,1499205,2,182.4,37,8,100.48,HIGH,2.85,6.7275,6.18,7.275,17.7,PREMIUM,DISCOUNT,490,14,243,99.9,A,True,0.7223285714285714,1.16,N/A,
