ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,checked_at,scan_date
INFQ,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,14.57,13.84,16.02,,137,1.99,14.699999809265137,16.09000015258789,13.399999618530273,74788178.0,0.89,STOPPED,-1.0,CHOP,MARKET,2026-05-22_0025,2026-05-21
GOVX,LONG,CONVICTION,94.0,BULL_BOUNCE_PENDING,2.93,2.79,3.08,,682,1.0,2.75,3.0999999046325684,2.180000066757202,10947587.0,-6.21,STOPPED,-1.0,CHOP,MARKET,2026-05-22_0025,2026-05-21
FLNC,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,19.55,18.57,20.53,,102,1.0,20.190000534057617,20.579999923706055,18.709999084472656,6980247.0,3.27,TARGET_HIT,1.5,CHOP,MARKET,2026-05-22_0025,2026-05-21
ARM,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,273.2,255.45,286.86,,5,0.77,298.2300109863281,298.69000244140625,266.0000915527344,21320169.0,6.98,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
WMT,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,119.21,113.96,132.91,132.79,19,2.61,121.33999633789062,125.62000274658203,120.4000015258789,52788301.0,-0.25,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
WOLF,SHORT,CONVICTION,88.0,DOUBLE_REJECTION_SHORT,67.12,68.51,63.54,62.6,71,2.57,69.5,72.16999816894531,58.95000076293945,9234993.0,3.55,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
DXYZ,SHORT,CONVICTION,87.2,BEAR_REJECTION_PENDING,58.73,61.92,49.67,,31,2.83,61.65999984741211,62.0,48.820098876953125,9825782.0,6.05,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
IONQ,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,56.77,52.21,65.4,,21,1.89,58.88999938964844,61.119998931884766,53.95000076293945,62176560.0,1.66,WINNING,0.46,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FPS,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,46.25,44.79,48.63,51.46,68,1.64,48.52000045776367,48.81999969482422,44.14339828491211,5891906.0,3.81,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
ZS,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,174.55,165.83,188.97,,11,1.65,171.00999450683594,174.3726043701172,168.67999267578125,2525910.0,-0.14,LOSING,-0.41,CHOP,STOP,2026-05-22_0025,2026-05-21
SMPL,SHORT,CONVICTION,85.0,BEAR_REJECTION_PENDING,11.62,14.48,11.04,,34,0.2,11.600000381469727,11.619999885559082,10.970000267028809,4472140.0,1.84,NO_FILL,0.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
UCAR,SHORT,CONVICTION,83.8,BEAR_REJECTION_PENDING,1.57,4.51,1.49,,33,0.03,1.5099999904632568,1.690000057220459,1.3899999856948853,7112694.0,-3.21,TARGET_HIT,1.5,CHOP,LIMIT,2026-05-22_0025,2026-05-21
BESS,LONG,CONVICTION,83.6,BULL_BOUNCE_PENDING,4.47,4.12,4.69,,286,0.64,4.639999866485596,4.929999828338623,4.050000190734863,1854102.0,1.75,STOPPED,-1.0,CHOP,LIMIT,2026-05-22_0025,2026-05-21
MRAM,SHORT,CONVICTION,83.6,BEAR_REJECTION_PENDING,31.72,33.52,28.84,26.99,55,1.6,32.45000076293945,32.87770080566406,29.584999084472656,3502334.0,4.16,LOSING,-0.41,CHOP,LIMIT,2026-05-22_0025,2026-05-21
SNOW,SHORT,CONVICTION,83.1,BEAR_REJECTION_PENDING,164.03,167.23,142.01,153.43,31,6.88,165.5399932861328,165.74000549316406,161.47999572753906,4486679.0,1.45,LOSING,-0.47,CHOP,LIMIT,2026-05-22_0025,2026-05-21
DNTH,LONG,CONVICTION,82.7,BULL_BOUNCE_PENDING,87.39,85.24,93.0,94.88,46,2.61,89.62999725341797,91.0199966430664,87.2699966430664,493535.0,1.96,WINNING,1.04,CHOP,LIMIT,2026-05-22_0025,2026-05-21
FLY,SHORT,CONVICTION,81.9,BEAR_REJECTION_PENDING,42.52,43.91,39.09,38.56,71,2.45,42.86000061035156,43.150001525878906,40.650001525878906,4335549.0,1.74,LOSING,-0.24,CHOP,LIMIT,2026-05-22_0025,2026-05-21
