ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,news
VRAX,Long,PULLBACK,T2-LONG,51,0.1823,0.1806,0.29,63.4,0.0017,0.198,7.9,WAITING,2,2,"10m,5m",0.1823,0.1806,OPEN_ROAD,0,1.0,6.5,1,84.1,37,8,,UNKNOWN,"-DILUTION, -DELISTING_RISK, +ANALYST_UPGRADE, +ACQUISITION, ~MANAGEMENT"
VRAX,Long,FRESH_HOLD,T2-LONG,51,0.1935,0.19,0.29,27.6,0.0035,0.198,2.3,CLOSE,2,2,"10m,1m",0.1935,0.19,OPEN_ROAD,0,1.0,6.5,1,84.1,37,8,,UNKNOWN,"-DILUTION, -DELISTING_RISK, +ANALYST_UPGRADE, +ACQUISITION, ~MANAGEMENT"
MIST,Short,RESISTANCE,T3-SHORT,80,1.345,1.3499,1.24,21.4,0.0049,1.31,2.7,CLOSE,1,1,1m,1.3499,1.345,HIGHWAY,0,1.3,1.4,0,36.0,50,8,,,"-DELISTING_RISK, ~MANAGEMENT"
MIST,Long,PULLBACK,T3-LONG_WATCH,45,1.23,1.19,1.345,2.9,0.04,1.31,6.1,APPROACH,2,2,"1d,5m",1.23,1.19,HIGHWAY,16587468,1.3,1.4,0,36.0,50,8,,UNKNOWN,"-DELISTING_RISK, ~MANAGEMENT"
BTQ,Short,RESISTANCE,T3-SHORT,80,2.62,2.63,2.53,9.0,0.01,2.59,1.2,CLOSE,1,1,1m,2.63,2.62,HIGHWAY,6988,1.3,1.6,1,36.8,65,8,,,"+CONTRACT, ~MANAGEMENT"
HUBC,Short,RESISTANCE,T3-SHORT,69,0.0945,0.0964,0.0856,4.7,0.0019,0.089,6.2,APPROACH,1,1,1m,0.0964,0.0945,HIGHWAY,0,2.1,0.9,1,190.9,118,8,,,"-DELISTING_RISK, +CONTRACT, +ACQUISITION, ~MANAGEMENT"
HUBC,Long,PULLBACK,T3-LONG_WATCH,44,0.0856,0.0853,0.0945,29.7,0.0003,0.089,3.8,APPROACH,1,1,1m,0.0856,0.0853,HIGHWAY,0,2.1,0.9,1,190.9,118,8,,UNKNOWN,"-DELISTING_RISK, +CONTRACT, +ACQUISITION, ~MANAGEMENT"
ONDS,Short,RESISTANCE,T3-SHORT,80,9.35,9.44,8.28,11.9,0.09,8.81,6.1,APPROACH,1,1,1d,9.44,9.35,HIGHWAY,540822213,0.7,0.7,0,30.3,27,8,,,"+CONTRACT, +ACQUISITION, +REVENUE_BEAT"
ONDS,Long,PULLBACK,T3-LONG_WATCH,60,8.2,8.15,9.35,23.0,0.05,8.81,6.9,APPROACH,3,3,"1h,30m,4h",8.2,8.15,OPEN_ROAD,163799735,0.7,0.7,0,30.3,27,8,,UNKNOWN,"+CONTRACT, +ACQUISITION, +REVENUE_BEAT"
FFAI,Short,RESISTANCE,T3-SHORT,80,0.251,0.2522,0.2457,4.4,0.0012,0.2496,0.6,CLOSE,1,1,1m,0.2522,0.251,HIGHWAY,0,0.8,0.9,0,26.7,36,8,,,-DELISTING_RISK
FFAI,Long,FRESH_HOLD,T3-LONG_WATCH,35,0.2457,0.245,0.251,7.6,0.0007,0.2496,1.6,CLOSE,1,1,1m,0.2457,0.245,HIGHWAY,0,0.8,0.9,0,26.7,36,8,,UNKNOWN,-DELISTING_RISK
QNCX,Short,RESISTANCE,T5-SHORT,40,0.1169,0.1173,0.1013,39.0,0.0004,0.1023,14.3,WAITING,1,1,5m,0.1173,0.1169,OPEN_ROAD,0,0.6,1.6,1,34.6,27,8,,,"+FDA_TRIAL, +ANALYST_UPGRADE"
GV,Short,RESISTANCE,T5-SHORT,28,0.2301,0.2313,0.1996,25.4,0.0012,0.205,12.2,WAITING,1,1,15m,0.2313,0.2301,OPEN_ROAD,0,0.5,5.5,1,115.1,57,8,,,"-DELISTING_RISK, ~MANAGEMENT, ~SEC_FILING"
PSKY,Short,RESISTANCE,T3-SHORT,80,9.62,9.72,9.32,3.0,0.1,9.25,4.0,APPROACH,1,1,1d,9.72,9.62,HIGHWAY,137995480,0.8,0.9,0,7.3,24,8,,,"+ANALYST_UPGRADE, ~MANAGEMENT"
SLDE,Short,RESISTANCE,T3-SHORT,80,18.18,18.22,17.8,9.5,0.04,17.9,1.6,CLOSE,1,1,1m,18.22,18.18,HIGHWAY,11200,0.7,0.7,0,4.9,24,8,,,"+ANALYST_UPGRADE, ~MANAGEMENT"
TSSI,Long,PULLBACK,T3-LONG_WATCH,59,13.2,12.93,16.57,12.5,0.27,13.95,5.4,APPROACH,4,3,"10m,15m,5m",13.2,12.93,OPEN_ROAD,3688577,0.9,0.8,0,26.7,42,8,,UNKNOWN,"+ANALYST_UPGRADE, ~MANAGEMENT"
DVLT,Short,RESISTANCE,T3-SHORT,80,0.6902,0.6916,0.65,28.7,0.0014,0.6784,1.7,CLOSE,1,1,1m,0.6916,0.6902,HIGHWAY,0,1.2,0.8,0,26.5,40,8,,,"+REVENUE_BEAT, +ACQUISITION"
DVLT,Long,PULLBACK,T3-LONG_WATCH,64,0.645,0.6305,0.6902,3.1,0.0145,0.6784,4.9,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",0.645,0.6305,HIGHWAY,19631502,1.2,0.8,0,26.5,40,8,,UNKNOWN,"+REVENUE_BEAT, +ACQUISITION"
BLND,Short,RESISTANCE,T3-SHORT,80,1.95,1.98,1.86,3.0,0.03,1.9,2.6,CLOSE,1,1,1d,1.98,1.95,HIGHWAY,10018119,0.6,1.1,0,23.9,43,8,,,~MANAGEMENT
BLND,Long,PULLBACK,T3-LONG_WATCH,56,1.75,1.67,1.95,2.5,0.08,1.9,7.9,WAITING,6,5,"15m,1d,1h,30m,4h",1.75,1.67,OPEN_ROAD,42466970,0.6,1.1,0,23.9,43,8,,UNKNOWN,~MANAGEMENT
TMDE,Long,FRESH_HOLD,T3-LONG_WATCH,17,1.0493,1.04,1.08,3.3,0.0093,1.06,1.0,CLOSE,1,1,5m,1.0493,1.04,MIXED,11088,0.1,0.2,0,37.5,93,8,,UNKNOWN,
TMDE,Short,RESISTANCE,T5-SHORT,8,1.08,1.09,1.0493,3.1,0.01,1.06,1.9,CLOSE,1,1,30m,1.09,1.08,MIXED,28618,0.1,0.2,0,37.5,93,8,,,
TURB,Short,RESISTANCE,T2-SHORT,80,2.39,2.4,2.28,11.0,0.01,2.35,1.7,CLOSE,1,1,1m,2.4,2.39,HIGHWAY,2490,0.1,0.3,0,83.4,88,8,,,
TURB,Long,PULLBACK,T3-LONG_WATCH,39,2.19,2.1719,2.39,11.0,0.0181,2.35,6.8,APPROACH,2,2,"15m,30m",2.19,2.1719,HIGHWAY,75818,0.1,0.3,0,83.4,88,8,,UNKNOWN,
TPET,Long,FRESH_HOLD,T3-LONG_WATCH,57,0.6744,0.6704,0.71,8.9,0.004,0.686,1.7,CLOSE,3,3,"10m,1m,5m",0.6744,0.6704,MIXED,0,0.2,0.2,0,55.1,71,8,,UNKNOWN,
TPET,Short,RESISTANCE,T5-SHORT,8,0.71,0.7117,0.6744,20.9,0.0017,0.686,3.5,APPROACH,1,1,5m,0.7117,0.71,MIXED,0,0.2,0.2,0,55.1,71,8,,,
EONR,Short,RESISTANCE,T3-SHORT,62,0.8098,0.8174,0.78,3.9,0.0076,0.8041,0.7,CLOSE,1,1,15m,0.8174,0.8098,HIGHWAY,335319,0.1,0.3,0,53.4,68,8,,,
RBNE,Short,RESISTANCE,T5-SHORT,31,2.21,2.23,2.065,7.2,0.02,2.09,5.7,APPROACH,1,1,1m,2.23,2.21,OPEN_ROAD,400,0.1,0.3,0,46.3,55,8,,,
USEG,Short,RESISTANCE,T2-SHORT,80,0.8859,0.888,0.8523,16.0,0.0021,0.8788,0.8,CLOSE,1,1,1m,0.888,0.8859,HIGHWAY,0,0.4,0.5,0,30.1,35,8,,,
ALTS,Short,RESISTANCE,T3-SHORT,80,1.12,1.125,1.09,6.0,0.005,1.1,1.8,CLOSE,1,1,1m,1.125,1.12,HIGHWAY,0,0.9,1.8,1,35.5,43,8,,,
STLA,Long,FRESH_HOLD,T3-LONG_WATCH,55,7.22,7.11,7.45,2.1,0.11,7.43,2.8,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.22,7.11,MIXED,208814116,1.6,1.3,0,11.2,44,8,,UNKNOWN,
NOK,Long,FRESH_HOLD,T3-LONG_WATCH,65,8.1,8.05,8.49,7.8,0.05,8.27,2.1,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",8.1,8.05,HIGHWAY,284544800,0.8,0.9,0,9.5,28,8,,UNKNOWN,
NIO,Short,RESISTANCE,T5-SHORT,55,6.53,6.59,6.12,6.8,0.06,6.2,5.3,APPROACH,1,1,1d,6.59,6.53,OPEN_ROAD,286137096,1.1,1.1,0,20.2,48,8,,,
NIO,Long,FRESH_HOLD,T3-LONG_WATCH,31,6.12,6.03,6.53,4.6,0.09,6.2,1.3,CLOSE,1,1,4h,6.12,6.03,OPEN_ROAD,204701985,1.1,1.1,0,20.2,48,8,,UNKNOWN,
GPUS,Short,RESISTANCE,T3-SHORT,80,0.1483,0.1487,0.1429,13.5,0.0004,0.1479,0.3,CLOSE,1,1,1m,0.1487,0.1483,HIGHWAY,0,0.6,0.8,0,20.7,51,8,,,
GPUS,Long,PULLBACK,T3-LONG_WATCH,40,0.1424,0.14,0.1483,2.5,0.0024,0.1479,3.7,APPROACH,2,2,"1d,1h",0.1424,0.14,OPEN_ROAD,0,0.6,0.8,0,20.7,51,8,,UNKNOWN,
MOBX,Short,RESISTANCE,T5-SHORT,15,0.2821,0.2828,0.166,165.9,0.0007,0.2796,0.9,CLOSE,1,1,1m,0.2828,0.2821,MIXED,0,0.2,0.1,0,51.2,70,8,,,
