ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
ACVA,HIGH_PRIORITY_PRE_TRIGGER,100.0,81.0,81.0,PRE_TRIGGER_COIL,10.44,weekly,log_regression,AT_UPPER,0.817,1,7.36,10.41,daily,0.29,100.0,nearest_support_gap_hi,10.41,True,False,0.29,0.29,6.13,6.13,4.69,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | some bullish shelf support | high-genesis parent shelf | controlled pullback 6.13% from recent high | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,mid_high_channel_location
AENT,EARLY_STRUCTURAL_MATCH,73.6,78.0,78.0,TOO_EARLY_OR_LOOSE,5.79,weekly,log_regression,AT_LOWER,0.294,16,3.91,3.99,weekly,31.09,95.29,nearest_support_gap_hi,5.76,True,True,0.52,0.52,400.69,400.69,3.63,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | room back to recent high,deep_damage_pullback | too_early_or_loose_for_trigger
