ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
SSRM,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,30.5,weekly,log_regression,AT_LOWER,0.158,25,22.01,22.75,weekly,25.41,100.0,nearest_support_gap_hi,30.2,True,True,0.98,0.99,19.72,19.72,2.36,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.72% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
CAI,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,19.95,1h,log_regression,MID,0.48,15,16.45,19.0,daily,4.76,100.0,nearest_support_gap_hi,19.91,True,False,0.2,0.2,11.08,11.08,2.96,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 11.08% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
