ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score,gap_tier,stop_source,stop_dist,atr_14,atr_ratio,atr_ok,float_m,float_rotation_pct,borrow_risk
TDIC,LONG,ORB-LONG|HOLDING-LONG,2.985,9.95,12.0,2.92,3.3,2.92,4.6481,26.48,321.61,67803776,13.95,2.36,9.95,9.7801,10.2898,588,2592.3203,STRETCHED,recent 5-min low,0.1699,1.0688,0.26,False,27.8,243.9,N/A
VIVO,LONG,ORB-LONG|HOLDING-LONG,3.27,4.24,4.4,3.1717,3.59,3.1717,3.9002,4.47,35.46,4360366,20.04,3.13,4.24,4.22,4.28,4999,395.4048,IN_BAND,recent 5-min low,0.02,0.4593,0.07,False,16.79,26.0,N/A
BWEN,SHORT,ORB-SHORT,4.05,3.6501,4.75,3.59,4.4,4.0,4.2802,-8.16,-17.23,4062241,16.81,4.41,3.6501,3.72,3.5103,1430,146.1354,IN_BAND,recent 5-min high,0.0699,0.4626,0.25,False,23.4,17.4,MEDIUM
FCEL,LONG,ORB-LONG,17.665,18.27,18.35,16.3,18.25,16.3,17.4333,3.36,6.9,9439037,3.22,17.09,18.27,18.22,18.37,1999,0.389,IN_BAND,recent 5-min low,0.05,1.9354,0.04,False,52.98,17.8,N/A
