ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
WHR,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,39.8214,1h,log_regression,AT_LOWER,0.108,5,37.79,38.49,weekly,3.34,94.96,lower,38.9,True,True,2.31,2.37,48.71,48.71,2.53,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",deep_damage_pullback | early_trigger_not_chase
CELH,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,29.91,1h,log_regression,OUTSIDE_DOWN,-0.064,2,22.74,24.085,daily,19.48,96.15,lower,30.25,True,False,-1.14,-1.12,21.9,21.9,5.32,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | some bullish shelf support | high-genesis parent shelf | controlled pullback 21.9% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
WTTR,EARLY_RECLAIM_TRIGGER,100.0,96.0,96.0,EARLY_RECLAIM_TRIGGER,21.49,daily,log_regression,MID,0.515,21,18.5,20.0,daily,6.93,100.0,nearest_support_gap_hi,21.06,True,True,2.0,2.04,15.36,15.36,3.4,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.36% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase
BLZE,EARLY_STRUCTURAL_MATCH,100.0,87.0,87.0,TOO_EARLY_OR_LOOSE,19.33,daily,log_regression,MID,0.359,8,12.63,13.47,daily,30.32,97.62,nearest_support_gap_hi,18.64,True,True,3.57,3.7,24.11,24.11,3.57,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 24.11% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
