ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
HTFL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,41.6,39.52,43.68,,48,1.0,CHOP,41.6,MARKET,7,MINOR,2026-08-18,2026-08-18T04:44:05.549238
DKS,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,197.23,202.98,186.32,177.55,17,1.9,CHOP,196.19,LIMIT,20,CONVICTION,2026-08-18,2026-08-18T04:35:48.464028
SFM,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,81.49,105.07,77.42,,4,0.17,CHOP,80.7,LIMIT,20,COMPRESSION,2026-08-18,2026-08-18T04:42:04.422105
LRN,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,85.02,152.32,80.77,,1,0.06,CHOP,83.43,LIMIT,16,CONVICTION,2026-08-18,2026-08-18T04:42:53.342137
ONON,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,31.59,38.53,30.01,,14,0.23,CHOP,31.25,LIMIT,20,CONVICTION,2026-08-18,2026-08-18T04:46:38.392567
ANF,SHORT,CONVICTION,94.5,BEAR_REJECTION_PENDING,103.0,125.49,97.85,,4,0.23,CHOP,102.87,LIMIT,20,CONVICTION,2026-08-18,2026-08-18T04:37:28.945022
AXTI,LONG,CONVICTION,92.7,BULL_BOUNCE_PENDING,89.28,84.82,99.41,,22,2.27,CHOP,89.28,MARKET,20,VACUUM,2026-08-18,2026-08-18T04:28:54.340411
AVNT,LONG,CONVICTION,92.7,BULL_BOUNCE_PENDING,45.39,42.44,47.66,,33,0.77,CHOP,45.39,MARKET,20,COMPRESSION,2026-08-18,2026-08-18T04:35:29.453201
SUNB,LONG,CONVICTION,92.5,BULL_BOUNCE_PENDING,81.14,74.69,85.2,,15,0.63,CHOP,81.14,MARKET,20,COMPRESSION,2026-08-18,2026-08-18T04:44:44.889892
FISV,LONG,CONVICTION,92.4,BULL_BOUNCE_PENDING,52.09,48.8,57.82,59.55,30,1.74,CHOP,52.09,MARKET,20,COMPRESSION,2026-08-18,2026-08-18T04:42:44.893462
