ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
BIYA,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,5.56,5.28,6.19,6.38,359,2.28,FAVORABLE,5.5562,MARKET,8,MINOR,2026-07-29,2026-07-29T04:21:34.521153
BHVN,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,13.77,13.08,15.01,,145,1.8,FAVORABLE,13.77,MARKET,20,COMPRESSION,2026-07-29,2026-07-29T04:21:55.961177
GLW,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,122.76,116.62,137.5,,16,2.4,FAVORABLE,122.76,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:25:54.728447
HIMS,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,29.06,26.53,33.06,,39,1.58,FAVORABLE,29.06,MARKET,20,COMPRESSION,2026-07-29,2026-07-29T04:28:23.470859
ELF,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,83.8,76.83,95.65,,14,1.7,FAVORABLE,83.8,MARKET,12,CONVICTION,2026-07-29,2026-07-29T04:29:43.822066
MXL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,57.76,54.87,64.67,64.67,34,2.39,FAVORABLE,57.76,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:31:00.921689
FBIN,LONG,CONVICTION,98.8,BULL_BOUNCE_PENDING,51.09,48.54,56.75,,39,2.22,FAVORABLE,51.09,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:21:24.832143
NKTR,LONG,CONVICTION,98.5,BULL_BOUNCE_PENDING,70.77,67.23,79.65,79.65,28,2.51,FAVORABLE,70.77,MARKET,18,CONVICTION,2026-07-29,2026-07-29T04:22:10.346192
MRVL,LONG,CONVICTION,98.1,BULL_BOUNCE_PENDING,170.32,153.41,178.84,,5,0.5,FAVORABLE,170.32,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:28:55.979466
GPRO,LONG,CONVICTION,97.4,BULL_BOUNCE_CONFIRMED,0.71,0.67,0.79,,2377,1.9,FAVORABLE,0.71,LIMIT,20,COMPRESSION,2026-07-29,2026-07-29T04:23:53.338306
KYMR,LONG,CONVICTION,96.2,BULL_BOUNCE_PENDING,106.16,100.85,114.73,119.7,18,1.61,FAVORABLE,106.16,MARKET,20,VACUUM,2026-07-29,2026-07-29T04:22:22.848206
FPS,LONG,CONVICTION,94.3,BULL_BOUNCE_PENDING,32.39,29.75,36.5,,37,1.56,FAVORABLE,32.39,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:29:11.667493
AXTI,LONG,CONVICTION,94.2,BULL_BOUNCE_PENDING,42.12,40.01,46.0,47.41,47,1.84,FAVORABLE,42.12,MARKET,20,CONVICTION,2026-07-29,2026-07-29T04:25:27.182415
