ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
EDHL,342.86,308.29,15.5,3.05,3.08,14.29,29764206,3519135,8.46,0.9,True,3.5,14.29,14.0756,14.7187,466,99.89,1507.8655,1.0,,GENESIS,GENESIS
WTO,258.99,44.0,3.5899,1.02,1.02,1.44,23691188,142789,165.92,0.16,False,1.0,1.44,1.4184,1.4832,4629,99.99,1050.0872,1.0,,GENESIS,GENESIS
RKDA,71.57,9.76,1.55,0.88,1.02,0.9916,22468734,1338,16785.25,0.17,False,0.9034,0.9916,0.9767,1.0213,6723,100.0,511.8334,1.0,,GENESIS,GENESIS
QH,180.0,123.51,9.1,5.03,7.83,7.264,6432063,1222668,5.26,0.55,True,3.25,7.264,7.155,7.4819,917,99.92,502.2597,1.0,,GENESIS,GENESIS
KMRK,59.6,-5.38,2.9685,1.5,1.6586,1.76,10338137,473,21856.53,0.18,False,1.86,1.76,1.7336,1.8128,3787,99.98,443.5384,1.0,,GENESIS,GENESIS
FGL,116.22,-5.95,4.0,1.72,1.75,1.74,10270577,29440,348.86,0.01,False,1.85,1.74,1.7139,1.7922,3831,99.99,405.2999,1.0,,GENESIS,GENESIS
WHLR,95.93,-12.34,1.8104,0.7554,0.92,0.81,8974997,13844,648.3,0.05,False,0.924,0.81,0.7979,0.8343,8230,99.99,395.6181,1.0,,GENESIS,GENESIS
RUBI,59.55,7.21,0.7499,0.4566,0.4869,0.5039,6723503,461257,14.58,0.16,False,0.47,0.5039,0.4963,0.519,13230,100.0,144.8974,1.0,,GENESIS,GENESIS
BYAH,56.94,-5.65,1.946,1.01,1.21,1.17,1648223,201449,8.18,0.17,False,1.24,1.17,1.1524,1.2051,5698,100.0,118.4942,1.0,,GENESIS,GENESIS
QUCY,31.25,6.77,2.52,1.92,1.94,2.05,11816040,167757,70.44,0.22,False,1.92,2.05,2.0192,2.1115,3252,100.0,117.6833,1.0,,GENESIS,GENESIS
VSA,50.63,-7.5,7.23,4.43,4.72,4.44,1700745,141373,12.03,0.0,False,4.8,4.44,4.3734,4.5732,1501,99.97,88.9059,1.0,,GENESIS,GENESIS
UCAR,41.32,-6.61,1.71,1.03,1.46,1.13,2123223,328334,6.47,0.15,False,1.21,1.13,1.113,1.1639,5899,99.99,76.6486,1.0,,GENESIS,GENESIS
MASK,65.02,-29.37,5.0,2.1,2.97,2.14,5727528,2094833,2.73,0.01,False,3.03,2.14,2.1079,2.2042,3115,99.99,67.0041,1.0,,GENESIS,GENESIS
ELAB,36.17,0.71,1.92,1.4,1.5,1.42,12007812,1797738,6.68,0.04,False,1.41,1.42,1.3987,1.4626,4694,99.98,56.4622,1.0,,GENESIS,GENESIS
SMCI,12.27,0.03,32.86,28.55,29.78,29.28,18894144,2026443,9.32,0.17,False,29.27,29.28,28.8408,30.1584,227,99.7,26.5392,1.0,,GENESIS,GENESIS
OTLK,10.0,3.44,0.979,0.8921,0.95,0.9206,1729976,551405,3.14,0.33,False,0.89,0.9206,0.9068,0.9482,7241,99.99,17.7465,1.0,,GENESIS,GENESIS
