ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
LNKS,Long,BOUNCE,T1-STRONG_LONG,100,1.6,1.485,1.83,1.645,2.0,0.115,1.6,0.6,CLOSE,5,4,"10m,1m,30m,5m",1.59,1.535,HIGHWAY,EXCITED,1.49,52732.0,7.7,2.6,26925161.0,1.0,63.6,36.0,8.0,1.36,NANO,8.47,1.645,1.65,1.64,-0.6,DISCOUNT,DISCOUNT,34,3,3,2.5,C,,,,True,0.2643928571428572,0.43,N/A,
LPA,Long,PULLBACK,T1-STRONG_LONG,100,3.14,2.6125,4.195,3.3295,2.0,0.5275,3.14,4.1,APPROACH,29,8,"10m,15m,1d,1h,1m,30m,4h,5m",3.01,2.745,OPEN_ROAD,EXCITED,1.78,127834.0,19.5,6.5,6053424.0,1.0,20.0,55.0,8.0,2.96,NANO,4.2,3.3295,3.36,3.2989,-1.8,DISCOUNT,DISCOUNT,112,2,46,2.1,C,,,,True,0.18374285714285715,2.87,N/A,
GPUS,Long,BOUNCE,T3-LONG_WATCH,75,0.3979,0.3446,0.5045,,2.0,0.0533,0.3979,0.4,CLOSE,1,1,4h,0.3963,0.3946,HIGHWAY,EXCITED,4.86,0.0,4.5,4.1,33626888.0,3.0,193.2,36.0,8.0,460.45,MEGA,1.31,0.28,0.26,0.3,15.4,PREMIUM,PREMIUM,25,13,9,20.6,D,,,,False,0.05555642857142856,0.96,N/A,
CRVO,Long,BOUNCE,T1-STRONG_LONG,100,3.81,3.6666,4.1399,,2.3,0.1434,3.81,0.1,CLOSE,2,1,1m,3.805,3.78,HIGHWAY,EXCITED,1.46,30520.0,0.5,6.6,1647322.0,1.0,223.9,44.0,8.0,6.29,LOW,0.84,4.3075,4.52,4.095,-9.4,DISCOUNT,DISCOUNT,472,6,186,8.7,A,,,,True,0.636407142857143,0.23,N/A,
INTC,Long,BOUNCE,T1-STRONG_LONG,100,121.1,113.5385,136.223,,2.0,7.5615,121.1,0.6,CLOSE,4,4,"10m,15m,30m,5m",120.425,117.05,OPEN_ROAD,EXCITED,2.45,5342762391.0,0.9,1.0,5275734.0,0.0,20.0,59.0,8.0,5016.6,MEGA,0.02,119.45,117.05,121.85,4.1,PREMIUM,MID,14543,25,4252,2.9,C,,,,False,10.294850000000002,0.73,N/A,
PFSA,Long,PULLBACK,T3-LONG_WATCH,100,0.2542,0.1902,0.3822,,2.0,0.064,0.2542,3.6,APPROACH,2,2,"1m,5m",0.245,0.2402,OPEN_ROAD,EXCITED,2.46,0.0,15.3,5.4,4668496.0,1.0,33.2,100.0,8.0,4.55,NANO,5.1,0.22,0.22,0.22,0.0,FLAT,FLAT,0,2,0,6.2,D,,,,False,0.03417142857142857,1.87,N/A,
RELY,Long,PULLBACK,T1-STRONG_LONG,100,20.43,18.236,24.818,,2.0,2.194,20.43,3.2,APPROACH,7,4,"1d,1h,30m,4h",19.77,18.8,OPEN_ROAD,EXCITED,1.61,340705128.0,1.6,1.6,0.0,0.0,19.9,37.0,8.0,184.97,HIGH,0.04,20.36,20.36,20.36,0.0,FLAT,FLAT,715,8,160,4.2,B,,,,False,0.8678500000000005,2.53,N/A,
RARE,Long,PULLBACK,T1-STRONG_LONG,100,25.09,23.2606,34.38,,5.1,1.8294,26.91,6.8,APPROACH,7,6,"10m,15m,1d,30m,4h,5m",25.09,23.98,MIXED,EXCITED,1.87,104104534.0,1.9,1.5,0.0,0.0,24.1,30.0,8.0,94.5,HIGH,0.03,24.97,24.85,25.09,1.0,PREMIUM,DISCOUNT,1349,5,750,27.8,A,,,,False,1.3124999999999993,1.39,N/A,
VITL,Long,BOUNCE,T3-LONG_WATCH,25,10.85,10.2239,12.6488,,2.9,0.6261,10.85,2.4,CLOSE,1,1,5m,10.59,10.5401,MIXED,WAITING,0.3,52017.0,1.1,0.9,0.0,0.0,11.6,32.0,8.0,34.43,MED,0.08,10.6825,10.7,10.665,-0.3,FLAT,FLAT,159,5,64,16.6,B,,,,True,0.5574857142857143,1.12,N/A,
NTRA,Long,PULLBACK,T3-LONG_WATCH,84,226.44,205.7079,267.9042,,2.0,20.7321,226.44,4.6,APPROACH,2,2,"1h,4h",216.13,212.07,OPEN_ROAD,EXCITED,1.81,55098596.0,1.3,1.0,0.0,0.0,11.1,28.0,8.0,138.92,HIGH,0.01,219.645,220.11,219.18,-0.4,FLAT,FLAT,5599,4,734,6.2,B,,,,False,10.637885714285712,1.95,N/A,
