ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
PURR,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,11.45,daily,log_regression,AT_UPPER,0.789,5,10.58,10.97,weekly,4.19,97.62,nearest_support_gap_hi,11.4307,True,False,0.17,0.17,23.49,23.49,4.37,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 23.49% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,mid_high_channel_location
NESR,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,35.25,daily,log_regression,MID,0.467,20,29.02,32.0,weekly,9.22,100.0,nearest_support_gap_hi,34.85,True,True,1.13,1.15,4.79,4.79,2.17,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,shallow_pullback | overhead_gap_too_close
DRTS,EARLY_STRUCTURAL_MATCH,94.2,70.0,70.0,TOO_EARLY_OR_LOOSE,14.6,daily,log_regression,MID,0.488,20,8.51,9.75,daily,33.22,100.0,nearest_support_gap_hi,14.4,True,True,1.37,1.39,5.48,5.48,2.19,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.48% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger | overhead_gap_too_close
