ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
WGS,SHORT,45.75,45.56,41.49,36.85,40.57,36.9843,583426,699,834.42,0.03,True,67.93,36.9843,37.3541,36.2446,270,99.86,520.0495,SHORT_GENESIS,SHORT_GENESIS,EXTREME,4.1281,29.68,LOW
SKK,SHORT,46.43,38.39,10.97,6.53,10.97,7.51,1497243,1304,1147.9,0.22,True,12.19,7.51,7.5851,7.3598,1331,99.96,477.9047,SHORT_GENESIS,SHORT_GENESIS,EXTREME,1.3709,2.44,LOW
WAI,SHORT,29.31,28.45,3.8,1.64,2.61,1.66,2024278,2225,909.58,0.01,True,2.3201,1.66,1.6766,1.6268,6024,100.0,341.4171,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.1532,2.36,HIGH (low-priced low-float — verify locate before entering)
SOWG,SHORT,21.59,18.75,2.4799,1.38,1.79,1.43,9438125,3005,3140.6,0.05,True,1.76,1.43,1.4443,1.4014,6993,100.0,284.2822,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.4448,20.05,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
BRBR,SHORT,37.79,30.88,17.36,10.8,17.36,12.0,667146,17034,39.17,0.18,True,17.36,12.0,12.12,11.76,833,99.96,232.3143,SHORT_GENESIS,SHORT_GENESIS,EXTREME,0.8351,117.27,LOW
CYAB,SHORT,14.81,12.62,1.36,0.7241,1.01,0.7427,16286743,46696,348.78,0.03,True,0.85,0.7427,0.7501,0.7278,13464,100.0,149.3198,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.1521,13.81,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
CYTK,SHORT,12.19,-24.45,93.51,58.0,67.52,82.2,2892446,1825,1584.9,0.68,False,66.05,82.2,83.022,80.556,121,99.46,83.4793,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,2.5711,124.24,LOW
PYPL,SHORT,10.8,9.98,52.5,44.95,50.39,45.36,4030318,57205,70.45,0.05,True,50.39,45.36,45.8136,44.4528,220,99.79,82.0164,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.3739,899.67,LOW
VEEE,SHORT,5.27,1.81,9.7,5.75,6.2,5.96,2208684,6605,334.37,0.05,True,6.07,5.96,6.0196,5.8408,1677,99.95,51.9602,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.95,0.53,LOW
PDYN,SHORT,9.51,7.75,6.97,5.9,6.7,6.015,519171,42625,12.18,0.11,True,6.52,6.015,6.0751,5.8947,1662,99.97,46.3433,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.3889,47.24,LOW
VBIO,SHORT,4.44,-2.38,1.28,0.9986,1.05,1.0699,1642492,32196,51.02,0.25,True,1.045,1.0699,1.0806,1.0485,9346,99.99,27.3006,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.1559,2.88,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
DOCN,SHORT,6.26,-18.79,132.49,102.0,109.88,129.25,954728,16063,59.43,0.89,False,108.81,129.25,130.5425,126.665,77,99.52,19.2939,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,7.313,104.35,LOW
PUMP,SHORT,3.26,0.65,17.07,16.3,17.0,16.74,2427120,56973,42.6,0.57,False,16.85,16.74,16.9074,16.4052,597,99.94,14.4026,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.058,122.62,LOW
PLTR,SHORT,3.99,0.85,144.88,140.2,143.49,144.79,3947158,1476874,2.67,0.98,False,146.03,144.79,146.2379,141.8942,69,99.91,4.1108,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,5.9058,2397.16,LOW
