ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,checked_at,scan_date
VRAX,Long,T2-LONG,67,PULLBACK,0.2004,0.1659,0.29,0.194,0.205,0.1649,5582654.0,-3.19,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
VRAX,Long,T3-LONG_WATCH,50,FRESH_HOLD,0.2148,0.2126,0.29,0.194,0.205,0.1649,5582654.0,-9.68,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
GV,Short,T3-SHORT,80,RESISTANCE,0.2681,0.2694,0.2324,0.205,0.2686,0.2,6478927.0,23.54,TARGET_HIT,27.46,2026-04-01_1333,2026-04-01_0509
BFRG,Short,T3-SHORT,80,RESISTANCE,1.81,1.817,1.67,1.62,1.72,1.36,17340172.0,10.5,TARGET_HIT,20.0,2026-04-01_1333,2026-04-01_0509
BFRG,Long,T3-LONG_WATCH,66,FRESH_HOLD,1.67,1.666,1.81,1.62,1.72,1.36,17340172.0,-2.99,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
MGN,Short,T3-SHORT,80,RESISTANCE,0.1777,0.1788,0.1699,0.1555,0.1732,0.1484,3747270.0,12.49,TARGET_HIT,7.09,2026-04-01_1333,2026-04-01_0509
MGN,Long,T3-LONG_WATCH,59,PULLBACK,0.167,0.1651,0.1777,0.1555,0.1732,0.1484,3747270.0,-6.89,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
ELAB,Short,T2-SHORT,80,RESISTANCE,6.72,6.84,5.7,14.0,14.0,6.5589,23591213.0,-108.33,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
ELAB,Long,T3-LONG_WATCH,56,PULLBACK,5.7,5.6801,6.72,14.0,14.0,6.5589,23591213.0,145.61,TARGET_HIT,51.26,2026-04-01_1333,2026-04-01_0509
AIIO,Short,T5-SHORT,28,RESISTANCE,0.12,0.1203,0.1048,0.0905,0.0924,0.079,4539435.0,24.58,TARGET_HIT,50.67,2026-04-01_1333,2026-04-01_0509
OXBR,Short,T3-SHORT,80,RESISTANCE,1.2,1.2029,1.045,1.12,1.16,0.99,691640.0,6.67,TARGET_HIT,53.45,2026-04-01_1333,2026-04-01_0509
PTON,Long,T1-STRONG_LONG,98,PULLBACK,4.04,4.02,4.37,4.3,4.49,4.29,11869242.0,6.44,TARGET_HIT,16.5,2026-04-01_1333,2026-04-01_0509
PTON,Short,T2-SHORT,80,RESISTANCE,4.37,4.38,4.04,4.3,4.49,4.29,11869242.0,1.6,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
SPCE,Short,T3-SHORT,80,RESISTANCE,2.5,2.51,2.42,2.4,2.58,2.35,5586918.0,4.0,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
BUR,Long,T1-STRONG_LONG,100,PULLBACK,4.09,4.03,4.81,4.25,4.77,4.17,6473987.0,3.91,WINNING,2.67,2026-04-01_1333,2026-04-01_0509
BUR,Short,T3-SHORT,80,RESISTANCE,4.81,4.83,4.09,4.25,4.77,4.17,6473987.0,11.64,WINNING,28.0,2026-04-01_1333,2026-04-01_0509
PGEN,Short,T3-SHORT,80,RESISTANCE,4.31,4.38,3.73,3.93,4.06,3.78,4445428.0,8.82,WINNING,5.43,2026-04-01_1333,2026-04-01_0509
EVTL,Long,T2-LONG,91,PULLBACK,2.02,2.0,2.37,2.26,2.49,2.17,6574336.0,11.88,TARGET_HIT,17.5,2026-04-01_1333,2026-04-01_0509
EVTL,Short,T3-SHORT,80,RESISTANCE,2.37,2.39,2.13,2.26,2.49,2.17,6574336.0,4.64,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
AIXI,Short,T5-SHORT,24,RESISTANCE,0.13,0.1308,0.1128,0.0982,0.1325,0.081,65264068.0,24.46,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
GVH,Long,T1-STRONG_LONG,94,PULLBACK,2.02,1.98,2.325,2.0,2.52,1.8297,1048068.0,-0.99,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
GVH,Short,T3-SHORT,80,RESISTANCE,2.325,2.33,2.2,2.0,2.52,1.8297,1048068.0,13.98,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
GVH,Long,T3-LONG_WATCH,66,FRESH_HOLD,2.2,2.195,2.325,2.0,2.52,1.8297,1048068.0,-9.09,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
KOPN,Long,T2-LONG,84,FRESH_HOLD,2.185,2.16,2.27,2.44,2.62,2.28,8051612.0,11.67,TARGET_HIT,3.4,2026-04-01_1333,2026-04-01_0509
KOPN,Short,T3-SHORT,80,RESISTANCE,2.27,2.275,2.23,2.44,2.62,2.28,8051612.0,-7.49,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
ASTC,Short,T2-SHORT,69,RESISTANCE,5.25,5.28,4.76,4.45,6.45,3.6,2383019.0,15.24,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
ASTC,Long,T2-LONG,57,PULLBACK,4.76,4.71,5.25,4.45,6.45,3.6,2383019.0,-6.51,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
BMEA,Short,T2-SHORT,80,RESISTANCE,1.5418,1.545,1.4799,1.49,1.55,1.46,1165600.0,3.36,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
PAVS,Short,T2-SHORT,62,RESISTANCE,2.14,2.16,2.09,2.08,2.08,1.94,95548.0,2.8,TARGET_HIT,2.5,2026-04-01_1333,2026-04-01_0509
PSKY,Short,T3-SHORT,80,RESISTANCE,9.62,9.72,9.32,9.25,9.28,8.97,7058722.0,3.85,TARGET_HIT,3.0,2026-04-01_1333,2026-04-01_0509
BATL,Short,T5-SHORT,22,RESISTANCE,3.93,3.9443,3.77,3.85,4.09,3.5,5739638.0,2.04,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
BLND,Short,T3-SHORT,60,RESISTANCE,1.75,1.755,1.615,1.9,1.9199,1.71,2985392.0,-8.57,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
BLND,Long,T3-LONG_WATCH,35,PULLBACK,1.615,1.6,1.75,1.9,1.9199,1.71,2985392.0,17.65,TARGET_HIT,9.0,2026-04-01_1333,2026-04-01_0509
NEXT,Short,T5-SHORT,24,RESISTANCE,7.955,8.05,7.06,7.34,7.6,7.125,4342659.0,7.73,WINNING,6.47,2026-04-01_1333,2026-04-01_0509
UMAC,Short,T3-SHORT,80,RESISTANCE,13.3,13.34,11.25,12.34,13.4993,12.2,3023127.0,7.22,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
UMAC,Long,T3-LONG_WATCH,66,PULLBACK,11.25,11.08,13.3,12.34,13.4993,12.2,3023127.0,9.69,TARGET_HIT,12.06,2026-04-01_1333,2026-04-01_0509
BFLY,Short,T2-SHORT,80,RESISTANCE,4.09,4.1,4.01,4.09,4.32,4.08,3229243.0,-0.0,STOPPED,-1.0,2026-04-01_1333,2026-04-01_0509
BFLY,Long,T3-LONG_WATCH,75,FRESH_HOLD,4.01,3.98,4.09,4.09,4.32,4.08,3229243.0,2.0,TARGET_HIT,2.67,2026-04-01_1333,2026-04-01_0509
