ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
SILC,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,41.9,daily,log_regression,MID,0.357,11,28.13,32.75,daily,21.84,100.0,nearest_support_gap_hi,41.89,True,False,0.02,0.02,26.49,26.49,2.46,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,overhead_gap_too_close
FIGS,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,15.41,weekly,log_regression,MID,0.579,12,11.24,14.26,daily,7.46,100.0,nearest_support_gap_hi,15.14,True,True,1.75,1.78,13.17,13.17,3.7,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.17% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase
LIFE,EARLY_STRUCTURAL_MATCH,97.4,85.0,85.0,TOO_EARLY_OR_LOOSE,38.64,1h,log_regression,AT_LOWER,0.268,21,22.83,27.33,daily,29.27,100.0,nearest_support_gap_hi,37.68,True,True,2.48,2.55,6.03,6.03,2.1,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 6.03% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger | overhead_gap_too_close
