idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
ed78dd1d37a2da8c,2026-07-27,live_state_lookup,DFNS,BULL_BOUNCE_PENDING,LONG,CONVICTION,100.0,90+,MARKET,6.32,4.93,6.63,278,0.22,2026-07-27T04:14:58,2026-07-27T12:37:00,NOT_EVALUATED,,,,,,,,CHOP,9.102,RISING,MARKET BUY @ ~$7.17 (CONVICTION score 100). Stop $6.82. Anchor: weekly 177tk @ $6.04.
cdd64104b2f0d8d7,2026-07-27,live_state_lookup,KVYO,BEAR_REJECTION_PENDING,SHORT,CONVICTION,100.0,90+,LIMIT,16.2,16.51,15.38,18,2.65,2026-07-27T04:02:17,2026-07-27T10:27:37,NOT_EVALUATED,,,,,,,,HOSTILE,0.095,FALLING,"LIMIT SHORT @ $17.03 (2% rally cap; anchor at $17.33 too far). Stop $22.36. Anchor: daily 493tk bear. CONVICTION 100 — size may step up, still waiting for location."
49c20d5a6cab30b3,2026-07-27,live_state_lookup,AMKR,BULL_BOUNCE_PENDING,LONG,CONVICTION,92.2,90+,MARKET,65.62,63.24,74.27,19,3.63,2026-07-27T04:02:58,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,CHOP,2.063,FALLING,MARKET BUY @ ~$59.36 (CONVICTION score 92). Stop $54.1. Anchor: daily 107tk @ $55.67.
9fb98f99d744ce35,2026-07-27,live_state_lookup,OSS,BULL_BOUNCE_PENDING,LONG,CONVICTION,88.0,80-89,LIMIT,12.83,12.29,14.41,45,2.93,2026-07-27T04:02:50,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,CHOP,0.456,NEUTRAL,LIMIT BUY @ $12.11 (2% pullback cap; anchor at $10.71 too far). Stop $9.93. Anchor: daily 145tk.
bb7a8f8041d88151,2026-07-27,live_state_lookup,CNM,BULL_BOUNCE_PENDING,LONG,CONVICTION,86.6,80-89,STOP,42.75,41.07,48.54,51,3.45,2026-07-27T04:02:23,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,FAVORABLE,0.007,FALLING,"BUY-STOP @ $44.09 (above today's high $44.05). Stop $42.16 (1.5xATR). Score 87, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW."
24a367730f6ea7ba,2026-07-27,live_state_lookup,INTC,BULL_BOUNCE_PENDING,LONG,CONVICTION,85.5,80-89,LIMIT,92.52,83.02,106.86,10,1.51,2026-07-27T06:19:01,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,FAVORABLE,1.641,FALLING,LIMIT BUY @ $92.52 (2% pullback cap; anchor at $85.33 too far). Stop $83.02. Anchor: daily 162tk.
0d272aee1eb34aba,2026-07-27,live_state_lookup,CCI,BEAR_REJECTION_PENDING,SHORT,CONVICTION,84.0,80-89,LIMIT,74.95,76.64,71.2,59,2.22,2026-07-27T07:05:13,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,HOSTILE,0.066,FALLING,LIMIT SHORT @ $74.95 on rally (0.3% above current $74.74). Stop $76.64. Anchor: 15m 132tk bear.
9a1dfe8826baf428,2026-07-27,live_state_lookup,APTV,BULL_BOUNCE_PENDING,LONG,CONVICTION,83.1,80-89,LIMIT,55.42,52.28,62.27,31,2.18,2026-07-27T04:02:21,2026-07-27T13:01:38,NOT_EVALUATED,,,,,,,,FAVORABLE,0.793,RISING,LIMIT BUY @ $55.42 (2% pullback cap; anchor at $52.83 too far). Stop $52.28. Anchor: daily 51tk.
0757a687e85107a1,2026-07-27,live_state_lookup,FCEL,BEAR_REJECTION_PENDING,SHORT,CONVICTION,83.0,80-89,LIMIT,22.54,26.09,21.41,28,0.32,2026-07-27T04:02:53,2026-07-27T12:00:38,NOT_EVALUATED,,,,,,,,FAVORABLE,0.559,RISING,LIMIT SHORT @ $22.54 on rally (1.1% above current $22.30). Stop $26.09. Anchor: daily 343tk bear.
2ca88bc97ffb8486,2026-07-27,live_state_lookup,CNM,BULL_BOUNCE_PENDING,LONG,CONVICTION,82.5,80-89,LIMIT,42.75,41.07,48.54,59,3.46,2026-07-27T04:02:23,2026-07-27T12:57:40,NOT_EVALUATED,,,,,,,,FAVORABLE,0.702,FALLING,LIMIT BUY @ $42.75 (2% pullback cap; anchor at $41.53 too far). Stop $41.07. Anchor: daily 50tk.
00ab2c4fa7872dde,2026-07-27,live_state_lookup,DFNS,BULL_BOUNCE_PENDING,LONG,CONVICTION,82.4,80-89,STOP,6.32,4.93,6.63,86,0.22,2026-07-27T04:14:58,2026-07-27T09:49:25,NOT_EVALUATED,,,,,,,,FAVORABLE,7.42,RISING,"BUY-STOP @ $7.04 (above today's high $7.03). Stop $5.89 (1.5xATR). Score 82, strength=3/4, regime=FAVORABLE. BREAKOUT_FOLLOW."
3f82194ed1a9a115,2026-07-27,live_state_lookup,HCA,BULL_BOUNCE_CONFIRMED,LONG,CONVICTION,81.9,80-89,LIMIT,390.83,367.15,432.46,4,1.76,2026-07-27T09:37:02,2026-07-27T09:36:42,NOT_EVALUATED,,,,,,,,CHOP,0.383,RISING,"Channel: 10m ASC, rails $376.64-$385.93. Recent low $381.43 → now $390.83 (+2.5%)"
932d71e98983c10f,2026-07-27,live_state_lookup,ELF,BULL_BOUNCE_PENDING,LONG,CONVICTION,79.0,70-79,LIMIT,75.68,72.54,88.57,31,4.11,2026-07-27T04:03:01,2026-07-27T12:57:40,NOT_EVALUATED,,,,,,,,FAVORABLE,0.606,RISING,LIMIT BUY @ $75.68 (2% pullback cap; anchor at $73.72 too far). Stop $72.54. Anchor: 15m 146tk.
3c3a441d2ad0a7f8,2026-07-27,live_state_lookup,LYFT,BEAR_REJECTION_PENDING,SHORT,CONVICTION,79.0,70-79,LIMIT,14.21,16.68,13.5,40,0.29,2026-07-27T04:02:03,2026-07-27T07:04:59,NOT_EVALUATED,,,,,,,,FAVORABLE,1.484,FALLING,LIMIT SHORT @ $14.21 on rally (0.1% above current $14.20). Stop $16.68. Anchor: daily 239tk bear.
