ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
VSAT,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,79.22,daily,log_regression,MID,0.489,38,63.67,67.39,weekly,14.93,99.17,nearest_support_gap_hi,79.0,True,False,0.28,0.28,17.43,17.43,2.56,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.43% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
WAY,HIGH_PRIORITY_PRE_TRIGGER,100.0,81.0,81.0,PRE_TRIGGER_COIL,24.04,5m,log_regression,MID,0.575,22,19.9,20.0,weekly,16.81,95.16,nearest_support_gap_hi,24.0,True,False,0.17,0.17,13.03,13.03,4.95,OPTIONS_MISSING,ascending channel/control | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.03% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,mostly_low_timeframe_channel
BVS,EARLY_RECLAIM_TRIGGER,100.0,78.0,78.0,EARLY_RECLAIM_TRIGGER,12.17,daily,log_regression,AT_UPPER,0.719,14,12.01,12.15,weekly,0.16,98.21,nearest_support_gap_hi,12.15,True,True,0.16,0.16,30.59,30.59,9.29,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",mid_high_channel_location | early_trigger_not_chase | near_term_selling_pressure
