ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
DVLT,Long,PULLBACK,T2-LONG,56,0.1569,0.1004,0.2698,0.1911,2.0,0.0565,,0.1569,3.8,APPROACH,1,1,OPEN_ROAD,EXCITED,0.94,,,MEGA,0.23,0.1911,0.1919,0.1904,-0.8,DISCOUNT,DISCOUNT,0,1,0,18.8,D,1m,0.1509,0.1505,0.0,2.5,1.1,4585511.0,1.0,48.5,46.0,8.0,679.52,False,0.026064285714285713,2.17,N/A,,TECH,,NEUTRAL,,0.32,,-2.2,0.32,0.5,1.0,0.0,1.0,0.32,1.046,FAVORABLE,0.1505,0.1569,0.1769,1996,1769,1307,2.38,2.0,1.21,300.4,277.56,231.21,10:30,0.1004,0.2698,PULLBACK_LIMIT,,,
CSGP,Long,BOUNCE,T1-STRONG_LONG,100,31.56,29.585,35.51,,2.0,1.975,,31.56,2.5,CLOSE,4,4,OPEN_ROAD,EXCITED,0.83,,,MEGA,0.02,31.335,31.52,31.15,-1.2,PREMIUM,DISCOUNT,618,2,105,3.7,C,"1d,1h,30m,4h",30.78,30.5,147073496.0,1.0,0.9,0.0,0.0,10.5,29.0,8.0,401.75,False,1.217278571428572,1.62,N/A,,TECH,,NEUTRAL,,0.32,,-2.2,0.32,0.5,0.5,1.0,0.0,0.32,0.796,FAVORABLE,30.5,31.56,31.8756,109,50,43,5.48,2.0,1.59,3324.5,1578.0,1370.65,10:30,29.585,35.51,PULLBACK_LIMIT,,,
GPUS,Long,BOUNCE,T2-LONG,86,0.1883,0.1328,0.2993,0.1953,2.0,0.0555,,0.1883,1.8,CLOSE,2,2,OPEN_ROAD,EXCITED,1.83,,,HIGH,0.11,0.1953,0.1906,0.2,4.9,DISCOUNT,DISCOUNT,0,1,0,4.7,D,"1m,5m",0.185,0.1828,0.0,0.4,0.7,3075718.0,0.0,15.5,57.0,8.0,135.67,False,0.030357142857142853,1.83,N/A,,TECH,,NEUTRAL,,0.32,,-2.2,0.32,0.5,0.0,0.5,0.5,0.32,0.696,FAVORABLE,0.1828,0.1883,0.2083,2000,1801,1324,2.33,2.0,1.21,365.6,339.13,275.79,10:30,0.1328,0.2993,PULLBACK_LIMIT,,,
