ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
EQPT,Long,PULLBACK,T2-LONG,93,11.5,21.35,20.6513,29.39,8.9,HIGH,125.53,0.01,1.4,0.0,25.1,25.4,B,226,,1.6469,0.938,0.875,0.156,0.031,21.29,21.35,21.5635,156,143,109,12.68,11.51,8.58,20.6513,29.39,10:30
BLLN,Long,PULLBACK,T1-STRONG_LONG,100,16.7,80.57,77.6776,128.91,9.5,MED,23.14,0.02,1.6,1.0,19.5,44.8,A,1133,,1.5703,1.0,0.969,0.609,0.188,80.08,80.57,81.3757,41,34,27,20.33,16.71,12.85,77.6776,128.91,10:30
ALMS,Long,PULLBACK,T2-LONG,71,3.2,23.1,22.2033,26.01,7.5,HIGH,84.99,0.01,1.1,0.0,13.7,4.1,B,777,,1.4781,0.75,0.812,0.031,0.031,22.89,23.1,23.331,145,111,88,4.54,3.25,2.38,22.2033,26.01,10:30
NRGV,Long,PULLBACK,T1-STRONG_LONG,97,11.8,3.77,3.589,5.9,5.0,HIGH,140.63,0.04,2.2,1.0,27.0,48.6,B,41,,1.4438,0.969,0.438,0.188,0.5,3.7,3.77,3.8077,900,552,457,19.82,11.77,9.57,3.589,5.9,10:30
OUST,Long,PULLBACK,T1-STRONG_LONG,100,4.5,24.87,23.668,30.26,9.9,HIGH,59.93,0.05,2.4,2.0,27.4,9.6,A,633,,1.3672,0.875,1.0,0.609,0.625,24.4,24.87,25.1187,136,83,68,8.01,4.48,3.54,23.668,30.26,10:30
KSS,Long,PULLBACK,T1-STRONG_LONG,100,4.2,14.75,14.1814,17.16,7.1,HIGH,110.61,0.04,1.8,0.0,18.4,8.1,A,125,,1.2672,0.844,0.688,0.609,0.5,14.62,14.75,14.8975,227,175,139,5.79,4.24,3.16,14.1814,17.16,10:30
ACDC,Long,PULLBACK,T1-STRONG_LONG,100,4.0,6.1,5.7521,7.48,6.7,MED,32.87,0.03,1.1,0.0,15.4,14.4,C,49,,1.2547,0.812,0.656,0.609,0.359,5.93,6.1,6.161,562,287,244,8.71,3.97,3.23,5.7521,7.48,10:30
USAR,Long,PULLBACK,T1-STRONG_LONG,100,6.9,21.4,19.33,35.58,6.3,HIGH,169.39,0.13,2.0,2.0,41.3,55.7,A,792,,1.2344,0.906,0.609,0.609,0.859,20.02,21.4,21.614,144,48,43,22.55,6.85,6.11,19.33,35.58,10:30
SLDP,Long,PULLBACK,T2-LONG,100,3.1,3.22,3.0555,3.731,9.0,HIGH,186.08,0.07,3.3,2.0,23.5,5.4,B,23,,1.1703,0.719,0.906,0.609,0.688,3.15,3.22,3.2522,1058,607,508,6.15,3.11,2.43,3.0555,3.731,10:30
AMSC,Long,PULLBACK,T2-LONG,100,2.8,38.91,36.8309,44.8299,7.2,MED,45.87,0.02,1.6,0.0,16.4,6.9,B,502,,1.1672,0.672,0.719,0.609,0.188,37.97,38.91,39.2991,87,48,40,6.02,2.85,2.24,36.8309,44.8299,10:30
HTFL,Long,PULLBACK,T2-LONG,100,2.4,29.45,28.1785,32.54,7.5,HIGH,64.06,0.02,1.6,0.0,14.1,2.2,C,402,,1.1172,0.594,0.812,0.609,0.188,29.05,29.45,29.7445,114,78,63,4.0,2.43,1.79,28.1785,32.54,10:30
FIVN,Long,BOUNCE,T1-STRONG_LONG,100,3.3,16.49,15.7528,18.94,1.0,HIGH,67.13,0.02,1.3,0.0,18.7,14.9,B,91,,1.0984,0.781,0.125,0.609,0.188,16.24,16.49,16.6549,205,135,110,5.54,3.32,2.53,15.7528,18.94,10:30
RHI,Long,BOUNCE,T1-STRONG_LONG,100,2.8,28.91,27.2182,33.66,0.2,HIGH,89.37,0.02,1.4,0.0,18.6,16.4,A,617,,0.9516,0.672,0.0,0.609,0.188,28.06,28.91,29.1991,118,59,50,6.65,2.81,2.25,27.2182,33.66,10:30
BULL,Long,PULLBACK,T2-LONG,100,2.5,6.66,6.2856,7.58,5.1,MEGA,377.73,0.09,2.8,2.0,22.1,8.0,B,78,,0.9203,0.625,0.469,0.609,0.812,6.48,6.66,6.7266,514,267,226,5.66,2.46,1.94,6.2856,7.58,10:30
ALAB,Long,PULLBACK,T1-STRONG_LONG,100,2.1,191.97,170.6812,236.49,3.4,HIGH,140.02,0.05,2.2,1.0,22.2,23.2,A,9344,,0.8578,0.562,0.344,0.609,0.625,175.96,191.97,193.8897,18,4,4,11.47,2.09,1.84,170.6812,236.49,10:30
ERAS,Long,PULLBACK,T1-STRONG_LONG,89,2.0,21.17,20.4815,22.5469,5.5,MEGA,224.17,0.03,1.6,0.0,32.1,99.9,A,213,,0.8156,0.266,0.531,0.125,0.359,21.115,21.17,21.3817,157,145,111,2.26,2.0,1.29,20.4815,22.5469,10:30
OBE,Long,PULLBACK,T1-STRONG_LONG,100,2.0,10.64,10.2432,11.4336,9.1,HIGH,60.36,0.04,3.1,2.0,28.3,99.9,A,131,,0.7641,0.266,0.938,0.609,0.5,10.56,10.64,10.7464,315,252,198,2.76,2.0,1.37,10.2432,11.4336,10:30
CLOV,Long,PULLBACK,T1-STRONG_LONG,100,2.0,2.21,2.0758,2.4784,7.5,MEGA,406.66,0.03,2.3,1.0,21.0,2.1,C,53,,0.7547,0.266,0.812,0.609,0.359,2.14,2.21,2.2321,1557,745,639,5.27,2.0,1.58,2.0758,2.4784,10:30
METC,Long,BOUNCE,T1-STRONG_LONG,80,2.0,14.93,13.6576,17.4748,2.9,MED,39.2,0.04,1.2,0.0,19.8,4.0,C,328,,0.7406,0.266,0.312,0.062,0.5,14.08,14.93,15.0793,236,78,70,8.04,2.0,1.68,13.6576,17.4748,10:30
PARR,Long,PULLBACK,T1-STRONG_LONG,100,2.0,58.09,55.7265,62.817,5.6,MED,47.54,0.03,1.9,1.0,21.0,99.9,A,1073,,0.6797,0.266,0.562,0.609,0.359,57.45,58.09,58.6709,58,42,33,3.11,2.0,1.41,55.7265,62.817,10:30
PUMP,Long,PULLBACK,T1-STRONG_LONG,100,2.0,14.13,13.5024,15.3852,6.3,HIGH,90.11,0.04,2.3,1.0,10.1,99.9,A,292,,0.6656,0.266,0.609,0.609,0.5,13.92,14.13,14.2713,239,159,130,3.51,2.0,1.45,13.5024,15.3852,10:30
ASTH,Long,BOUNCE,T1-STRONG_LONG,100,2.0,32.55,30.5065,36.637,1.4,MED,44.36,0.01,1.6,1.0,15.2,99.9,A,485,,0.6422,0.266,0.219,0.609,0.031,31.45,32.55,32.8755,105,48,42,5.5,2.0,1.59,30.5065,36.637,10:30
TOVX,Long,BOUNCE,T2-LONG,65,2.0,0.3387,0.2807,0.4547,2.2,MED,45.14,0.6,1.1,1.0,100.8,3.0,D,0,,0.6406,0.266,0.25,0.0,1.0,0.3307,0.3387,0.3587,2000,1724,1282,2.48,2.0,1.23,0.2807,0.4547,10:30
NVTS,Long,PULLBACK,T1-STRONG_LONG,100,2.0,14.19,12.72,17.13,7.4,MEGA,202.35,0.37,3.6,2.0,70.2,99.9,A,986,,0.6203,0.266,0.75,0.609,0.938,13.21,14.19,14.3319,204,68,62,8.0,2.0,1.74,12.72,17.13,10:30
VSH,Long,BOUNCE,T1-STRONG_LONG,100,2.0,26.91,25.1521,30.4258,1.3,HIGH,113.01,0.02,1.7,1.0,19.9,99.9,A,572,,0.6016,0.266,0.188,0.609,0.188,25.93,26.91,27.1791,128,56,49,5.78,2.0,1.6,25.1521,30.4258,10:30
SLNH,Long,BOUNCE,T2-LONG,82,2.0,1.31,1.245,1.44,0.8,HIGH,78.28,0.56,5.5,2.0,70.1,3.1,C,28,,0.5719,0.266,0.094,0.094,0.969,1.295,1.31,1.33,2000,1538,1176,2.9,2.0,1.29,1.245,1.44,10:30
AVAV,Long,PULLBACK,T1-STRONG_LONG,100,2.0,210.07,191.478,247.254,4.2,MED,37.42,0.05,2.4,1.0,19.5,7.0,B,2862,,0.5703,0.266,0.375,0.609,0.625,197.4,210.07,212.1707,16,5,4,8.42,2.0,1.7,191.478,247.254,10:30
