ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
ACHV,EARLY_STRUCTURAL_MATCH,93.2,79.0,79.0,TOO_EARLY_OR_LOOSE,7.5,daily,log_regression,AT_LOWER,0.329,11,5.7,5.73,daily,23.6,96.97,nearest_support_gap_hi,7.27,False,False,3.07,3.16,15.2,15.2,2.0,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.2% from recent high | room back to recent high,too_early_or_loose_for_trigger | overhead_gap_too_close
AVAH,EARLY_STRUCTURAL_MATCH,59.2,77.0,77.0,TOO_EARLY_OR_LOOSE,14.18,daily,log_regression,AT_UPPER,0.678,10,9.05,10.09,daily,28.84,98.7,nearest_support_gap_hi,14.17,True,False,0.07,0.07,0.0,0.0,,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf,mid_high_channel_location | not_pulled_back | too_early_or_loose_for_trigger | room_to_high_unknown | early_positive_momentum
LIFE,EARLY_STRUCTURAL_MATCH,84.8,65.0,65.0,TOO_EARLY_OR_LOOSE,39.72,daily,log_regression,AT_UPPER,0.799,16,22.83,27.33,daily,31.19,100.0,nearest_support_gap_hi,39.42,True,True,0.76,0.76,7.12,7.12,2.37,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.12% from recent high | coiled/controlled short-term momentum,mid_high_channel_location | too_early_or_loose_for_trigger | overhead_gap_too_close
