ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score,gap_tier,stop_source,stop_dist,atr_14,atr_ratio,atr_ok,float_m,float_rotation_pct,borrow_risk
STEX,LONG,ORB-LONG|HOLDING-LONG,1.36,1.45,1.57,1.3,1.41,1.3,1.4593,6.25,13.28,2603569,,1.28,1.45,1.295,1.76,645,6.7375,IN_BAND,PM low,0.155,0.1773,1.46,True,104.27,2.5,N/A
SIDU,LONG,ORB-LONG|HOLDING-LONG,5.37,5.665,6.03,5.0,5.56,5.0,5.5732,4.88,10.64,24246495,,5.12,5.665,5.0,6.995,150,4.3848,IN_BAND,PM low,0.665,0.6092,1.82,True,80.86,30.0,N/A
AIIO,LONG,ORB-LONG,3.21,3.4297,3.48,3.1,3.38,3.1,3.2845,24.42,32.93,5252395,,2.58,3.4297,2.59,5.1091,119,1.4616,STRETCHED,PM low,0.8397,1.363,1.03,True,19.78,26.5,N/A
VCIG,LONG,ORB-LONG,1.655,1.7503,1.8,1.38,1.73,1.53,1.6322,24.44,31.6,4647130,,1.33,1.7503,1.45,2.3509,333,1.1241,STRETCHED,PM low,0.3003,0.14,3.58,True,3.69,126.1,N/A
