ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
INSP,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,68.81,65.37,75.32,76.59,29,1.89,FAVORABLE,68.81,MARKET,20,COMPRESSION,2026-09-25,2026-09-25T04:30:45.445383
ORCL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,140.04,128.55,157.6,,8,1.53,FAVORABLE,140.04,MARKET,20,COMPRESSION,2026-09-25,2026-09-25T04:34:03.455476
WBD,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,30.81,27.81,32.35,,33,0.51,FAVORABLE,30.81,MARKET,2,MINOR,2026-09-25,2026-09-25T04:36:36.661555
ATAI,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,7.33,6.96,7.7,,272,1.0,FAVORABLE,7.33,MARKET,4,MINOR,2026-09-25,2026-09-25T04:38:10.320110
XMTR,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,97.75,94.98,104.32,107.31,36,2.37,FAVORABLE,97.75,MARKET,20,MINOR,2026-09-25,2026-09-25T04:45:03.317084
GPN,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,85.22,80.52,96.95,,21,2.49,FAVORABLE,85.22,MARKET,20,COMPRESSION,2026-09-25,2026-09-25T04:49:54.309901
AMLX,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,29.91,28.41,32.88,,66,1.99,FAVORABLE,29.91,MARKET,20,MINOR,2026-09-25,2026-09-25T04:54:47.247917
KOLD,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,24.5,23.27,26.8,27.83,81,1.88,FAVORABLE,24.5,MARKET,13,VACUUM,2026-09-25,2026-09-25T04:56:19.097716
DASH,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,186.5,172.05,208.94,,6,1.55,FAVORABLE,186.5,MARKET,20,CONVICTION,2026-09-25,2026-09-25T04:59:23.279542
DSGX,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,80.13,75.66,87.0,92.12,22,1.54,FAVORABLE,80.13,MARKET,20,COMPRESSION,2026-09-25,2026-09-25T05:06:40.262207
