date,ticker,phase,consumed_pct,price,target,target_pct,fwd_high_pct,fwd_low_pct,fwd_close_pct,target_hit,stop_hit
2026-04-10,ALOY,CLIMBING,0.5,11.79,18.18,54.2,16.62,-6.19,-3.56,false,true
2026-04-13,ALOY,CLIMBING,0.5,12.85,18.18,41.48,7.0,-17.12,-15.18,false,true
2026-04-14,ALOY,CLIMBING,0.5,12.41,18.18,46.49,6.59,-19.58,-18.69,false,true
2026-04-15,ALOY,CLIMBING,0.5,12.81,18.18,41.92,2.56,-28.88,-26.7,false,true
2026-04-16,ALOY,CLIMBING,0.5,11.69,18.18,55.52,5.9,-27.29,-26.18,false,true
2026-04-17,ALOY,CLIMBING,0.5,11.37,18.18,59.89,-0.44,-27.23,-22.08,false,true
2026-04-20,ALOY,CLIMBING,0.5,10.9,18.18,66.79,-0.83,-24.09,-18.72,false,true
