ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
YYGH,Long,BREAKOUT,T3-LONG_WATCH,34,1.47,1.41,1.6607,,3.2,0.06,False,1.47,0.0,INSIDE,1,1,HIGHWAY,WAITING,0.48,0.5,True,NANO,1.57,1.44,1.32,1.56,18.2,MID,MID,0,0,0,13.0,D,,,,,,,,,,,,,True,0.31598000000000004,0.19,N/A,
GRML,Long,PULLBACK,T3-LONG_WATCH,100,13.8,12.707,15.986,,2.0,1.093,,14.89,7.3,WAITING,2,2,HIGHWAY,EXCITED,1.32,,,NANO,16.07,11.97,11.19,12.75,13.9,PREMIUM,PREMIUM,5302,7,1575,64.5,A,"1h,4h",13.8,13.1,2016919186.0,2.0,3.1,1525084.0,3.0,545.7,27.0,8.0,2.62,True,2.420457142857143,0.45,N/A,
BAX,Long,BOUNCE,T3-LONG_WATCH,84,23.48,22.3876,25.6648,,2.0,1.0924,,23.48,1.1,CLOSE,1,1,OPEN_ROAD,EXCITED,2.03,,,MEGA,0.01,23.485,23.49,23.48,-0.0,FLAT,FLAT,486,7,142,5.2,B,1d,23.21,23.08,152720599.0,1.2,1.3,0.0,0.0,7.7,32.0,8.0,514.41,False,0.7537857142857141,1.45,N/A,
DBRG,Long,BREAKOUT,T3-LONG_WATCH,63,15.98,15.4424,17.0552,,2.0,0.5376,False,15.98,0.0,INSIDE,1,1,HIGHWAY,EXCITED,3.05,0.6,True,HIGH,0.02,15.985,15.99,15.98,-0.1,FLAT,FLAT,133,2,133,99.9,C,,,,,,,,,,,,,True,0.037142857142856985,14.47,N/A,
ATAI,Long,BOUNCE,T3-LONG_WATCH,77,7.35,7.081,7.888,,2.0,0.269,,7.35,0.3,CLOSE,2,2,HIGHWAY,EXCITED,0.53,,,MEGA,0.03,7.3,7.29,7.31,0.3,FLAT,FLAT,490,4,490,99.9,A,"1h,4h",7.325,7.3,15851270.0,0.7,3.5,0.0,1.0,2.8,8.0,7.0,308.41,True,0.07954545454545463,3.38,N/A,
INTC,Long,PULLBACK,T2-LONG,80,114.93,107.1753,134.17,121.605,2.5,7.7547,,127.39,9.8,WAITING,1,1,OPEN_ROAD,EXCITED,1.96,,,MEGA,0.03,121.605,122.6,120.61,-1.6,PREMIUM,DISCOUNT,10885,11,5848,5.3,B,1d,114.93,110.49,85087428603.0,1.1,1.0,1313673.0,0.0,19.8,38.0,8.0,4619.5,False,6.92415,1.12,N/A,
UBXG,Long,BOUNCE,T2-LONG,84,5.03,4.4621,14.06,5.2,15.9,0.5679,,5.03,3.0,CLOSE,1,1,HIGHWAY,EXCITED,1.32,,,UNKNOWN,,5.2,5.04,5.36,6.3,DISCOUNT,DISCOUNT,40,2,1,179.5,C,4h,4.88,4.6014,9400005.0,0.2,0.6,0.0,1.0,195.8,7.0,3.0,,True,,,N/A,
