ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AIIO,3.105,BASING,0.0,0,4,4,3.78,3.38,40,daily,8.86,rel-vol 0.1x · regime FAVORABLE,False,4,3.105,3.0584,3.78,2147,21.74,14.49,False
AKTX,13.69,BASING,0.0,0,5,5,13.85,13.75,10,1h,0.44,rel-vol 16.7x · regime FAVORABLE,False,5,13.69,13.4846,13.85,486,1.17,0.78,False
ALP,0.3672,BASING,0.0,0,5,5,0.406,0.4056,1,15m,10.46,3 bear-built-above · rel-vol 0.4x · regime FAVORABLE,False,5,0.3672,0.3617,0.406,18155,10.57,7.04,False
BB,8.55,BASING,0.0,0,3,3,8.6207,8.6,3,5m,0.58,rel-vol 2.2x · regime FAVORABLE,True,3,8.55,8.4218,8.6207,779,0.83,0.55,False
BIYA,1.5398,BASING,0.0,0,2,2,1.98,1.62,36,daily,5.21,rel-vol 4.7x · regime FAVORABLE,False,2,1.5398,1.5167,1.98,4329,28.59,19.06,False
BMNR,19.44,BASING,0.0,0,5,5,22.16,22.02,15,weekly,13.27,3 bear-built-above · rel-vol 0.7x · regime FAVORABLE,False,5,19.44,19.1484,22.16,342,13.99,9.33,False
CODX,6.22,BASING,0.0,0,4,4,7.05,6.9,15,weekly,10.93,1 bear-built-above · rel-vol 0.8x · regime FAVORABLE,False,5,6.22,6.1267,7.05,1071,13.34,8.9,False
CRML,11.25,BASING,0.0,0,5,5,12.53,12.0,53,weekly,6.67,rel-vol 0.6x · regime FAVORABLE,True,7,11.25,11.0813,12.53,592,11.38,7.59,False
FEMY,0.4724,BASING,0.0,0,5,5,0.5574,0.5308,3,weekly,12.36,rel-vol 12.3x · regime FAVORABLE,False,5,0.4724,0.4653,0.5574,14112,17.99,12.0,False
GCTS,3.6986,BASING,0.0,0,5,5,4.32,4.16,17,daily,12.47,rel-vol 1.5x · regime FAVORABLE,True,5,3.6986,3.6431,4.32,1802,16.8,11.2,False
GDC,0.1088,BASING,0.0,0,4,4,0.1112,0.1091,1,15m,0.28,rel-vol 0.4x · regime FAVORABLE,False,4,0.1088,0.1072,0.1112,61274,2.21,1.47,False
GOVX,3.6507,BASING,0.0,0,5,5,4.62,4.14,49,daily,13.4,5 bear-built-above · rel-vol 3.2x · regime FAVORABLE,False,5,3.6507,3.5959,4.62,1826,26.55,17.7,False
GWRE,140.26,BASING,0.0,0,3,3,155.61,155.56,6,weekly,10.91,1 bear-built-above · rel-vol 1.2x · regime FAVORABLE,False,3,140.26,138.1561,155.61,47,10.94,7.3,False
