ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,news
BURU,Long,FRESH_HOLD,T3-LONG_WATCH,69,0.177,0.1766,0.1807,9.3,0.0004,0.1802,1.8,CLOSE,3,3,"10m,15m,30m",0.177,0.1766,OPEN_ROAD,0,0.6,1.2,1,30.2,53,8,85.86,HIGH,0.16,"-DILUTION [Feb 17 18:46], +CONTRACT [Feb 13 12:45], +ACQUISITION [Mar 20 11:15], -REVERSE_SPLIT [Feb 17 18:46]"
BURU,Short,RESISTANCE,T5-SHORT,54,0.1807,0.1812,0.177,7.4,0.0005,0.1802,0.3,CLOSE,1,1,15m,0.1812,0.1807,OPEN_ROAD,0,0.6,1.2,1,30.2,53,8,85.86,HIGH,0.16,"-DILUTION [Feb 17 18:46], +CONTRACT [Feb 13 12:45], +ACQUISITION [Mar 20 11:15], -REVERSE_SPLIT [Feb 17 18:46]"
JTAI,Short,RESISTANCE,T2-SHORT,80,0.082,0.0827,0.0738,11.7,0.0007,0.0811,1.1,CLOSE,1,1,5m,0.0827,0.082,HIGHWAY,0,0.3,0.4,0,29.6,51,8,114.33,HIGH,0.05,"-DILUTION [Dec 30 15:48], +ACQUISITION [Feb 12 13:30], ~MANAGEMENT [Mar 17 12:30]"
VRAX,Short,RESISTANCE,T5-SHORT,33,0.1756,0.177,0.165,7.6,0.0014,0.174,0.9,CLOSE,1,1,5m,0.177,0.1756,OPEN_ROAD,0,0.3,6.5,1,84.1,32,8,5.5,LOW,0.31,"-DILUTION [Dec 04 21:05], -DELISTING_RISK [Jul 18 20:15], +ANALYST_UPGRADE [Jan 15 17:00], +ACQUISITION [Dec 03 18:53], ~MANAGEMENT [Jul 29 11:35]"
FATE,Short,RESISTANCE,T5-SHORT,18,1.235,1.24,1.2099,5.0,0.005,1.22,1.2,CLOSE,1,1,15m,1.24,1.235,MIXED,0,0.5,0.7,0,15.0,43,8,101.62,HIGH,0.01,-DELISTING_RISK [Apr 02 20:05]
FATE,Long,PULLBACK,T3-LONG_WATCH,12,1.15,1.14,1.225,7.5,0.01,1.22,5.7,APPROACH,1,1,4h,1.15,1.14,OPEN_ROAD,184596,0.5,0.7,0,15.0,43,8,101.62,HIGH,0.01,-DELISTING_RISK [Apr 02 20:05]
AKBA,Short,RESISTANCE,T3-SHORT,80,1.3986,1.41,1.375,2.1,0.0114,1.38,1.3,CLOSE,1,1,1h,1.41,1.3986,HIGHWAY,366300,0.7,0.7,0,12.3,39,8,262.21,MEGA,0.01,-DELISTING_RISK [Apr 02 20:05]
AKBA,Long,FRESH_HOLD,T3-LONG_WATCH,30,1.375,1.37,1.3986,4.7,0.005,1.38,0.4,CLOSE,1,1,15m,1.375,1.37,HIGHWAY,0,0.7,0.7,0,12.3,39,8,262.21,MEGA,0.01,-DELISTING_RISK [Apr 02 20:05]
MIST,Short,RESISTANCE,T3-SHORT,80,1.4,1.405,1.37,6.0,0.005,1.38,1.4,CLOSE,1,1,10m,1.405,1.4,HIGHWAY,180072,0.8,1.3,0,40.0,61,8,14.06,LOW,0.12,"-DELISTING_RISK [Apr 02 12:00], ~MANAGEMENT [Apr 02 12:00]"
MIST,Long,PULLBACK,T3-LONG_WATCH,71,1.3,1.275,1.4,4.0,0.025,1.38,5.8,APPROACH,3,3,"1m,30m,5m",1.3,1.275,OPEN_ROAD,191959,0.8,1.3,0,40.0,61,8,14.06,LOW,0.12,"-DELISTING_RISK [Apr 02 12:00], ~MANAGEMENT [Apr 02 12:00]"
BTQ,Short,RESISTANCE,T5-SHORT,56,2.62,2.63,2.49,13.0,0.01,2.55,2.7,CLOSE,1,1,1m,2.63,2.62,OPEN_ROAD,6988,0.9,1.4,1,36.8,68,8,88.74,HIGH,0.02,"+CONTRACT [Mar 31 11:30], ~MANAGEMENT [Jan 05 12:30]"
BTQ,Long,FRESH_HOLD,T3-LONG_WATCH,41,2.49,2.45,2.62,3.2,0.04,2.55,2.4,CLOSE,2,2,"1h,1m",2.49,2.45,OPEN_ROAD,391631,0.9,1.4,1,36.8,68,8,88.74,HIGH,0.02,"+CONTRACT [Mar 31 11:30], ~MANAGEMENT [Jan 05 12:30]"
ELAB,Long,PULLBACK,T3-LONG_WATCH,88,5.31,5.26,5.84,10.6,0.05,5.72,7.2,WAITING,2,2,"4h,5m",5.31,5.26,MIXED,15263032,2.0,3.2,4,764.2,37,8,1.15,NANO,12.29,"+CONTRACT [Mar 27 20:05], +ACQUISITION [Feb 12 21:30], -REVERSE_SPLIT [Mar 04 22:30], ~SEC_FILING [Mar 30 11:03]"
CYCN,Long,PULLBACK,T2-LONG,86,5.8999,5.88,6.37,23.6,0.0199,6.15,4.1,APPROACH,2,2,"1h,4h",5.8999,5.88,HIGHWAY,7840886,1.0,6.6,1,505.7,39,8,3.49,NANO,1.99,"+CONTRACT [Jan 05 21:01], +ACQUISITION [Apr 02 13:15], +PATENT [Sep 23 20:01]"
CYCN,Short,RESISTANCE,T3-SHORT,80,6.37,6.3899,5.8999,23.6,0.0199,6.15,3.6,APPROACH,1,1,1m,6.3899,6.37,HIGHWAY,65382,1.0,6.6,1,505.7,39,8,3.49,NANO,1.99,"+CONTRACT [Jan 05 21:01], +ACQUISITION [Apr 02 13:15], +PATENT [Sep 23 20:01]"
DEFT,Long,PULLBACK,T2-LONG,74,0.6781,0.5665,0.9221,2.2,0.1116,0.7123,4.8,APPROACH,5,5,"1d,1h,30m,4h,5m",0.6781,0.5665,OPEN_ROAD,1326715533,2.1,4.0,2,69.8,41,8,378.91,MEGA,0.03,"+CONTRACT [Feb 06 12:30], +REVENUE_BEAT [Apr 02 21:00]"
DEFT,Long,FRESH_HOLD,T3-LONG_WATCH,48,0.7069,0.7035,0.9221,63.3,0.0034,0.7123,0.8,CLOSE,1,1,10m,0.7069,0.7035,OPEN_ROAD,0,2.1,4.0,2,69.8,41,8,378.91,MEGA,0.03,"+CONTRACT [Feb 06 12:30], +REVENUE_BEAT [Apr 02 21:00]"
HUBC,Long,PULLBACK,T3-LONG_WATCH,74,0.0835,0.0811,0.0945,4.6,0.0024,0.0888,6.0,APPROACH,4,2,"1m,5m",0.0835,0.0811,OPEN_ROAD,0,0.6,1.0,1,135.1,116,8,0.68,NANO,11.87,"-DELISTING_RISK [Jan 27 13:45], +CONTRACT [Dec 29 13:50], +ACQUISITION [Feb 17 14:15], ~MANAGEMENT [Mar 31 20:30]"
HUBC,Short,RESISTANCE,T3-SHORT,70,0.0945,0.0964,0.086,4.5,0.0019,0.0888,6.4,APPROACH,1,1,1m,0.0964,0.0945,HIGHWAY,0,0.6,1.0,1,135.1,116,8,0.68,NANO,11.87,"-DELISTING_RISK [Jan 27 13:45], +CONTRACT [Dec 29 13:50], +ACQUISITION [Feb 17 14:15], ~MANAGEMENT [Mar 31 20:30]"
ONDS,Short,RESISTANCE,T3-SHORT,80,10.05,10.295,8.28,7.2,0.245,9.6,4.7,APPROACH,1,1,15m,10.295,10.05,HIGHWAY,167747784,0.8,0.7,0,23.8,21,8,378.02,MEGA,0.17,"+CONTRACT [Mar 25 14:52], +ACQUISITION [Apr 02 12:19], +REVENUE_BEAT [Mar 25 19:01]"
FFAI,Short,RESISTANCE,T2-SHORT,80,0.2392,0.2399,0.2371,3.0,0.0007,0.236,1.4,CLOSE,1,1,15m,0.2399,0.2392,HIGHWAY,0,0.6,0.8,0,26.7,36,8,240.3,MEGA,0.06,-DELISTING_RISK [Mar 20 21:00]
QNCX,Long,PULLBACK,T3-LONG_WATCH,24,0.0957,0.0948,0.1,4.8,0.0009,0.099,3.3,APPROACH,2,1,1m,0.0957,0.0948,MIXED,0,0.5,0.6,1,34.6,34,8,49.76,MED,0.15,"+FDA_TRIAL [Jan 29 20:10], +ANALYST_UPGRADE [Dec 16 14:26]"
QNCX,Short,RESISTANCE,T5-SHORT,8,0.1,0.1015,0.0964,2.4,0.0015,0.099,1.0,CLOSE,1,1,1d,0.1015,0.1,MIXED,0,0.5,0.6,1,34.6,34,8,49.76,MED,0.15,"+FDA_TRIAL [Jan 29 20:10], +ANALYST_UPGRADE [Dec 16 14:26]"
RZLV,Short,RESISTANCE,T3-SHORT,80,3.415,3.43,2.899,34.4,0.015,3.11,9.8,WAITING,1,1,1d,3.43,3.415,HIGHWAY,78005662,1.4,2.2,2,41.7,24,8,219.42,MEGA,0.1,+ACQUISITION [Apr 02 12:00]
PSKY,Short,RESISTANCE,T3-SHORT,80,9.62,9.72,9.32,3.0,0.1,9.52,1.1,CLOSE,1,1,1d,9.72,9.62,HIGHWAY,137995480,1.1,1.0,0,12.3,24,8,912.85,MEGA,0.01,"+ANALYST_UPGRADE [Mar 28 11:45], ~MANAGEMENT [Apr 01 11:00]"
SLDE,Short,RESISTANCE,T3-SHORT,80,18.18,18.22,17.79,9.8,0.04,18.0,1.0,CLOSE,1,1,1m,18.22,18.18,HIGHWAY,11200,1.5,1.0,0,6.3,19,8,60.87,HIGH,0.03,"+ANALYST_UPGRADE [Feb 27 13:56], ~MANAGEMENT [Mar 23 20:15]"
TSSI,Long,FRESH_HOLD,T3-LONG_WATCH,25,13.03,12.97,13.39,6.0,0.06,13.32,2.2,CLOSE,2,1,1m,13.03,12.97,MIXED,2700,0.7,0.7,0,26.7,43,8,20.68,MED,0.05,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
TSSI,Short,RESISTANCE,T5-SHORT,8,13.47,13.5,13.03,14.7,0.03,13.32,1.1,CLOSE,1,1,1m,13.5,13.47,MIXED,2850,0.7,0.7,0,26.7,43,8,20.68,MED,0.05,"+ANALYST_UPGRADE [Dec 08 16:08], ~MANAGEMENT [Nov 16 09:14]"
DVLT,Short,RESISTANCE,T2-SHORT,80,0.78,0.7924,0.6593,9.7,0.0124,0.7211,8.2,WAITING,1,1,1d,0.7924,0.78,HIGHWAY,99825311,0.8,0.9,0,32.0,31,8,359.3,MEGA,0.09,"+REVENUE_BEAT [Mar 29 20:53], +ACQUISITION [Mar 21 01:07]"
DVLT,Long,PULLBACK,T3-LONG_WATCH,50,0.6593,0.6431,0.78,7.5,0.0162,0.7211,8.6,WAITING,4,2,"10m,5m",0.6593,0.6431,HIGHWAY,0,0.8,0.9,0,32.0,31,8,359.3,MEGA,0.09,"+REVENUE_BEAT [Mar 29 20:53], +ACQUISITION [Mar 21 01:07]"
AIIO,Short,RESISTANCE,T5-SHORT,51,0.0729,0.0732,0.0695,11.3,0.0003,0.07,4.1,APPROACH,1,1,1m,0.0732,0.0729,OPEN_ROAD,0,1.8,2.1,1,55.6,64,8,185.7,HIGH,0.02,+ACQUISITION [Dec 12 13:03]
SXTP,Short,RESISTANCE,T5-SHORT,21,2.11,2.12,1.84,27.0,0.01,1.86,13.4,WAITING,1,1,1d,2.12,2.11,OPEN_ROAD,264963,0.0,0.1,0,47.0,93,8,2.34,NANO,0.02,-REVERSE_SPLIT [Jan 15 13:01]
NOK,Long,PULLBACK,T3-LONG_WATCH,60,8.08,8.05,9.59,50.3,0.03,8.82,8.4,WAITING,4,4,"1d,1h,30m,4h",8.08,8.05,OPEN_ROAD,237112221,1.6,1.1,0,13.5,28,8,4437.05,MEGA,0.02,+PATENT [Apr 02 20:12]
BLND,Short,RESISTANCE,T3-SHORT,80,2.09,2.1,1.975,11.5,0.01,2.0,4.5,APPROACH,1,1,1d,2.1,2.09,HIGHWAY,9384907,0.6,1.0,0,29.6,45,8,220.39,MEGA,0.01,~MANAGEMENT [Mar 10 20:00]
BLND,Long,FRESH_HOLD,T3-LONG_WATCH,59,1.975,1.96,2.09,7.7,0.015,2.0,1.2,CLOSE,3,2,"1m,5m",1.975,1.96,HIGHWAY,418390,0.6,1.0,0,29.6,45,8,220.39,MEGA,0.01,~MANAGEMENT [Mar 10 20:00]
BLND,Long,PULLBACK,T3-LONG_WATCH,52,1.835,1.785,2.09,5.1,0.05,2.0,8.3,WAITING,6,4,"15m,1h,30m,4h",1.835,1.785,OPEN_ROAD,2362143,0.6,1.0,0,29.6,45,8,220.39,MEGA,0.01,~MANAGEMENT [Mar 10 20:00]
