ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
WEN,35.3,4,FAM#1;Analyst#5;Momentum#9;Consumption#482,"LONG,NA",LONG,100.0,1,124.2,15.3,0.0,18.0,1.0,
AA,17.8,3,Consumption#1;Analyst#5;FAM#169,"LONG,NA",LONG,100.0,1,58.3,7.9,0.0,10.6,1.0,
ABSI,16.8,3,Consumption#4;Analyst#5;FAM#10,"LONG,NA",LONG,100.0,4,6.3,7.3,0.0,10.0,1.0,
BB,15.5,4,Analyst#5;Momentum#8;Consumption#57;FAM#116,"LONG,NA",LONG,100.0,5,46.5,5.2,0.0,7.9,1.0,
RKT,14.1,3,FAM#5;Analyst#5;Consumption#401,"LONG,NA",LONG,100.0,5,137.0,5.7,0.0,8.4,1.0,
FCUV,13.5,3,Momentum#2;FAM#111;Consumption#172,LONG,LONG,100.0,2,95.0,8.0,0.0,8.0,1.0,
RUN,13.3,3,Analyst#5;FAM#6;Consumption#403,"LONG,NA",LONG,100.0,5,138.0,5.2,0.0,7.9,1.0,
WYY,13.0,2,Momentum#1;Consumption#499,LONG,LONG,100.0,1,250.0,9.3,0.0,9.3,1.0,
NEXR,11.3,3,Momentum#3;FAM#110;Consumption#309,LONG,LONG,100.0,3,140.7,6.7,0.0,6.7,1.0,
COMP,10.8,3,Momentum#10;FAM#17;Consumption#117,LONG,LONG,100.0,10,48.0,6.4,0.0,6.4,1.0,
AAOI,10.7,2,Consumption#2;Analyst#5,"LONG,NA",LONG,100.0,2,3.5,4.9,0.0,7.6,1.0,
COUR,10.6,3,Analyst#5;FAM#16;Consumption#118,"LONG,NA",LONG,100.0,5,46.3,3.6,0.0,6.3,1.0,
BLZE,10.6,3,Analyst#5;FAM#18;Consumption#76,"LONG,NA",LONG,100.0,5,33.0,3.6,0.0,6.3,1.0,
SOFI,10.2,2,FAM#3;Consumption#430,LONG,LONG,100.0,3,216.5,7.3,0.0,7.3,1.0,
DFTX,10.1,3,Analyst#5;FAM#19;Consumption#139,"LONG,NA",LONG,100.0,5,54.3,3.3,0.0,6.0,1.0,
PRQR,10.0,3,Momentum#4;FAM#119;Consumption#375,LONG,LONG,100.0,4,166.0,6.0,0.0,6.0,1.0,
ALGT,9.2,3,Analyst#5;Consumption#22;FAM#86,"LONG,NA",LONG,100.0,5,37.7,2.8,0.0,5.5,1.0,
KLAR,9.1,3,Analyst#5;FAM#27;Consumption#253,"LONG,NA",LONG,100.0,5,95.0,2.7,0.0,5.4,1.0,
GTLB,9.1,3,Analyst#5;FAM#28;Consumption#209,"LONG,NA",LONG,100.0,5,80.7,2.8,0.0,5.4,1.0,
SKYQ,8.9,2,FAM#4;Consumption#421,LONG,LONG,100.0,4,212.5,6.3,0.0,6.3,1.0,
GH,8.6,3,Analyst#5;FAM#39;Consumption#199,"LONG,NA",LONG,100.0,5,81.0,2.4,0.0,5.1,1.0,
SAGT,8.6,3,Momentum#6;FAM#114;Consumption#408,LONG,LONG,100.0,6,176.0,5.1,0.0,5.1,1.0,
VRNS,8.4,3,Analyst#5;FAM#37;Consumption#475,"LONG,NA",LONG,100.0,5,172.3,2.3,0.0,5.0,1.0,
ALB,8.4,3,Analyst#5;Consumption#21;FAM#225,"LONG,NA",LONG,100.0,5,83.7,2.3,0.0,5.0,1.0,
PBK,8.2,3,Momentum#7;FAM#112;Consumption#351,LONG,LONG,100.0,7,156.7,4.9,0.0,4.9,1.0,
NTRA,8.1,3,Analyst#5;FAM#47;Consumption#320,"LONG,NA",LONG,100.0,5,124.0,2.1,0.0,4.8,1.0,
FTRE,8.1,3,Analyst#5;FAM#53;Consumption#189,"LONG,NA",LONG,100.0,5,82.3,2.2,0.0,4.8,1.0,
BDC,8.1,3,Analyst#5;Consumption#61;FAM#91,"LONG,NA",LONG,100.0,5,52.3,2.2,0.0,4.8,1.0,
ABVX,8.1,2,Consumption#5;Analyst#5,"LONG,NA",LONG,100.0,5,5.0,3.1,0.0,5.8,1.0,
HNGE,7.9,3,Analyst#5;FAM#60;Consumption#218,"LONG,NA",LONG,100.0,5,94.3,2.0,0.0,4.7,1.0,
IMMX,7.9,3,Analyst#5;FAM#61;Consumption#232,"LONG,NA",LONG,100.0,5,99.3,2.0,0.0,4.7,1.0,
TVTX,7.8,3,Analyst#5;FAM#54;Consumption#455,"LONG,NA",LONG,100.0,5,171.3,2.0,0.0,4.6,1.0,
SNDX,7.7,3,Analyst#5;FAM#58;Consumption#429,"LONG,NA",LONG,100.0,5,164.0,1.9,0.0,4.6,1.0,
WGS,7.5,3,Analyst#5;FAM#67;Consumption#483,"LONG,NA",LONG,100.0,5,185.0,1.8,0.0,4.5,1.0,
CAR,7.5,3,Analyst#5;Consumption#92;FAM#131,"LONG,NA",LONG,100.0,5,76.0,1.8,0.0,4.5,1.0,
DOW,7.3,3,Analyst#5;FAM#128;Consumption#147,"LONG,NA",LONG,100.0,5,93.3,1.6,0.0,4.3,1.0,
RAPP,7.2,3,Analyst#5;FAM#89;Consumption#390,"LONG,NA",LONG,100.0,5,161.3,1.6,0.0,4.3,1.0,
MBUU,7.2,3,Analyst#5;FAM#99;Consumption#282,"LONG,NA",LONG,100.0,5,128.7,1.6,0.0,4.3,1.0,
BKD,7.1,3,Analyst#5;FAM#25;Consumption#70,"LONG,NA,SHORT",SHORT,74.0,5,33.3,0.8,2.4,5.9,1.0,
CBOE,7.1,3,Analyst#5;Consumption#93;FAM#208,"LONG,NA",LONG,100.0,5,102.0,1.6,0.0,4.2,1.0,
CELH,7.0,3,Analyst#5;Consumption#102;FAM#232,"LONG,NA",LONG,100.0,5,113.0,1.5,0.0,4.2,1.0,
ACN,7.0,2,Analyst#5;Consumption#9,"LONG,NA",LONG,100.0,5,7.0,2.3,0.0,5.0,1.0,
SPCX,6.9,3,Analyst#5;FAM#117;Consumption#431,"LONG,NA",LONG,100.0,5,184.3,1.4,0.0,4.1,1.0,
CRWV,6.9,3,Analyst#5;Consumption#127;FAM#235,"LONG,NA",LONG,100.0,5,122.3,1.4,0.0,4.1,1.0,
WLK,6.8,3,Analyst#5;FAM#124;Consumption#490,"LONG,NA",LONG,100.0,5,206.3,1.4,0.0,4.1,1.0,
ESTC,6.8,3,Analyst#5;Consumption#163;FAM#212,"LONG,NA",LONG,100.0,5,126.7,1.4,0.0,4.1,1.0,
EL,6.8,3,Analyst#5;Consumption#156;FAM#233,"LONG,NA",LONG,100.0,5,131.3,1.3,0.0,4.0,1.0,
DKNG,6.8,3,Analyst#5;Consumption#142;FAM#237,"LONG,NA",LONG,100.0,5,128.0,1.4,0.0,4.1,1.0,
PLTR,6.7,3,Analyst#5;FAM#155;Consumption#364,"LONG,NA",LONG,100.0,5,174.7,1.3,0.0,4.0,1.0,
KTOS,6.7,3,Analyst#5;FAM#196;Consumption#255,"LONG,NA",LONG,100.0,5,152.0,1.3,0.0,4.0,1.0,
ADBE,6.7,3,Analyst#5;Consumption#10;FAM#280,"LONG,NA,SHORT",LONG,76.0,5,98.3,2.2,0.7,5.6,1.0,
ADPT,6.7,2,Analyst#5;Consumption#11,"LONG,NA",LONG,100.0,5,8.0,2.1,0.0,4.8,1.0,
RDDT,6.6,3,Analyst#5;FAM#185;Consumption#392,"LONG,NA",LONG,100.0,5,194.0,1.2,0.0,3.9,1.0,
ADSK,6.6,3,Analyst#5;Consumption#12;FAM#246,"LONG,NA,SHORT",LONG,73.0,5,87.7,2.0,0.8,5.5,1.0,
QBTS,6.5,3,Analyst#5;FAM#197;Consumption#385,"LONG,NA",LONG,100.0,5,195.7,1.2,0.0,3.9,1.0,
RGTI,6.5,3,Analyst#5;FAM#202;Consumption#397,"LONG,NA",LONG,100.0,5,201.3,1.2,0.0,3.9,1.0,
RKLB,6.5,3,Analyst#5;FAM#203;Consumption#400,"LONG,NA",LONG,100.0,5,202.7,1.2,0.0,3.9,1.0,
LEU,6.5,3,Analyst#5;FAM#249;Consumption#263,"LONG,NA",LONG,100.0,5,172.3,1.2,0.0,3.9,1.0,
SAIL,6.4,3,Analyst#5;FAM#226;Consumption#409,"LONG,NA",LONG,100.0,5,213.3,1.1,0.0,3.8,1.0,
GDDY,6.3,3,Analyst#5;FAM#33;Consumption#194,"LONG,NA,SHORT",SHORT,81.0,5,77.3,0.5,2.1,5.3,1.0,
ZS,6.3,3,Analyst#5;FAM#255;Consumption#510,"LONG,NA",LONG,100.0,5,256.7,1.1,0.0,3.7,1.0,
TTAN,6.3,3,Analyst#5;FAM#261;Consumption#453,"LONG,NA",LONG,100.0,5,239.7,1.1,0.0,3.8,1.0,
AFRM,6.3,2,Analyst#5;Consumption#15,"LONG,NA",LONG,100.0,5,10.0,1.8,0.0,4.5,1.0,
MASK,6.2,2,Momentum#5;Consumption#279,LONG,LONG,100.0,5,142.0,4.4,0.0,4.4,1.0,
WKSP,6.0,2,FAM#9;Consumption#488,LONG,LONG,100.0,9,248.5,4.3,0.0,4.3,1.0,
FRSH,5.8,2,FAM#11;Consumption#187,LONG,LONG,100.0,11,99.0,4.1,0.0,4.1,1.0,
ALKT,5.8,2,Analyst#5;Consumption#23,"LONG,NA",LONG,100.0,5,14.0,1.5,0.0,4.1,1.0,
ARES,5.4,2,Analyst#5;Consumption#35,"LONG,NA",LONG,100.0,5,20.0,1.2,0.0,3.9,1.0,
UMC,5.3,2,FAM#12;Consumption#463,LONG,LONG,100.0,12,237.5,3.8,0.0,3.8,1.0,
ARX,5.3,2,Analyst#5;Consumption#39,"LONG,NA",LONG,100.0,5,22.0,1.1,0.0,3.8,1.0,
AU,5.2,2,Analyst#5;Consumption#46,"LONG,NA",LONG,100.0,5,25.5,1.0,0.0,3.7,1.0,
AVAV,5.2,2,Analyst#5;Consumption#48,"LONG,NA",LONG,100.0,5,26.5,1.0,0.0,3.7,1.0,
SHOP,5.1,2,FAM#13;Consumption#417,"LONG,SHORT",SHORT,91.0,13,215.0,0.3,3.3,3.7,1.0,
PRAX,5.1,3,Analyst#5;FAM#93;Consumption#371,"LONG,NA,SHORT",SHORT,77.0,5,156.3,0.4,1.2,4.3,1.0,
BBBY,5.0,2,Analyst#5;Consumption#58,"LONG,NA",LONG,100.0,5,31.5,0.9,0.0,3.6,1.0,
BILL,5.0,2,Analyst#5;Consumption#67,"LONG,NA",LONG,100.0,5,36.0,0.9,0.0,3.5,1.0,
ORCL,4.9,3,Analyst#5;FAM#150;Consumption#339,"LONG,NA,SHORT",SHORT,72.0,5,164.7,0.4,1.0,4.0,1.0,
BLSH,4.9,2,Analyst#5;Consumption#74,"LONG,NA",LONG,100.0,5,39.5,0.8,0.0,3.5,1.0,
BLTE,4.9,2,Analyst#5;Consumption#75,"LONG,NA",LONG,100.0,5,40.0,0.8,0.0,3.5,1.0,
BSX,4.9,2,Analyst#5;Consumption#80,"LONG,NA",LONG,100.0,5,42.5,0.8,0.0,3.5,1.0,
ATEC,4.8,2,FAM#26;Consumption#43,LONG,LONG,100.0,26,34.5,3.4,0.0,3.4,1.0,
IT,4.8,3,Analyst#5;FAM#179;Consumption#242,"LONG,NA,SHORT",SHORT,67.0,5,142.0,0.4,0.9,4.0,1.0,
IREN,4.8,3,Analyst#5;FAM#200;Consumption#241,"LONG,NA,SHORT",SHORT,65.0,5,148.7,0.5,0.8,4.0,1.0,
BTDR,4.8,2,Analyst#5;Consumption#82,"LONG,NA",LONG,100.0,5,43.5,0.8,0.0,3.5,1.0,
BWIN,4.8,2,Analyst#5;Consumption#87,"LONG,NA",LONG,100.0,5,46.0,0.8,0.0,3.4,1.0,
OKLO,4.7,3,Analyst#5;FAM#193;Consumption#329,"LONG,NA,SHORT",SHORT,69.0,5,175.7,0.4,0.9,3.9,1.0,
OLN,4.7,3,Analyst#5;FAM#194;Consumption#333,"LONG,NA,SHORT",SHORT,69.0,5,177.3,0.4,0.9,3.9,1.0,
LDOS,4.7,3,Analyst#5;FAM#220;Consumption#261,"LONG,NA,SHORT",SHORT,65.0,5,162.0,0.4,0.8,3.9,1.0,
ACI,4.7,2,Consumption#7;FAM#267,LONG,LONG,100.0,7,137.0,3.4,0.0,3.4,1.0,
CDNL,4.7,2,Analyst#5;Consumption#98,"LONG,NA",LONG,100.0,5,51.5,0.7,0.0,3.4,1.0,
CEG,4.7,2,Analyst#5;Consumption#100,"LONG,NA",LONG,100.0,5,52.5,0.7,0.0,3.4,1.0,
CHWY,4.7,2,Analyst#5;Consumption#109,"LONG,NA",LONG,100.0,5,57.0,0.7,0.0,3.4,1.0,
CLF,4.7,2,Analyst#5;Consumption#111,"LONG,NA",LONG,100.0,5,58.0,0.7,0.0,3.3,1.0,
CLSK,4.7,2,Analyst#5;Consumption#112,"LONG,NA",LONG,100.0,5,58.5,0.7,0.0,3.3,1.0,
COIN,4.7,2,Analyst#5;Consumption#116,"LONG,NA",LONG,100.0,5,60.5,0.6,0.0,3.3,1.0,
WHR,4.6,3,Analyst#5;FAM#213;Consumption#484,"LONG,NA,SHORT",SHORT,72.0,5,234.0,0.3,0.8,3.8,1.0,
PTC,4.6,3,Analyst#5;FAM#248;Consumption#380,"LONG,NA,SHORT",SHORT,68.0,5,211.0,0.4,0.8,3.8,1.0,
NOW,4.6,3,Analyst#5;FAM#263;Consumption#318,"LONG,NA,SHORT",SHORT,65.0,5,195.3,0.4,0.7,3.8,1.0,
CRM,4.6,2,Analyst#5;Consumption#123,"LONG,NA",LONG,100.0,5,64.0,0.6,0.0,3.3,1.0,
