ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
ABT,103.57,105.19,103.18,103.36,BELOW_PDH,RECLAIMED_PDL,True,104.18,102.11,0.705,OR_TOP_THIRD,0.773,False,False,0.773,2.24,74,NEUTRAL,40,AVOID_SHORT
ACM,63.53,64.35,62.47,62.89,BELOW_PDH,ABOVE_PDL,True,63.98,62.79,0.622,OR_MIDDLE,0.561,False,False,0.561,2.98,50,NEUTRAL,50,NEUTRAL
ACN,183.5,179.39,175.4889,177.91,ABOVE_PDH,ABOVE_PDL,True,180.76,178.29,1.0,ABOVE_ORH,0.894,False,False,0.894,2.3,84,AVOID_LONG_CHASE,26,AVOID_SHORT
AENT,6.035,5.72,5.1901,5.51,ABOVE_PDH,ABOVE_PDL,True,7.6199,6.64,0.0,BELOW_ORL,0.0,False,False,0.0,0.61,50,AVOID_LONG,52,AVOID_SHORT_CHASE
AGEN,6.89,7.04,6.66,6.89,BELOW_PDH,ABOVE_PDL,True,7.02,6.7,0.594,OR_MIDDLE,0.594,False,False,0.594,1.64,50,NEUTRAL,50,NEUTRAL
AHMA,1.41,2.1,1.34,1.77,BELOW_PDH,ABOVE_PDL,True,1.8,1.65,0.0,BELOW_ORL,0.0,False,False,0.0,0.31,38,AVOID_LONG,60,AVOID_SHORT_CHASE
ALKT,21.0012,19.14,18.112,19.06,ABOVE_PDH,ABOVE_PDL,True,19.095,18.72,1.0,ABOVE_ORH,1.0,False,False,1.0,6.61,84,AVOID_LONG_CHASE,26,AVOID_SHORT
AMKR,51.65,50.235,48.9109,49.53,ABOVE_PDH,ABOVE_PDL,True,51.2,50.0,1.0,ABOVE_ORH,0.928,False,False,0.928,2.7,84,AVOID_LONG_CHASE,26,AVOID_SHORT
AMOD,2.31,2.09,1.92,2.09,ABOVE_PDH,ABOVE_PDL,True,2.2,2.07,1.0,ABOVE_ORH,1.0,False,False,,,72,AVOID_LONG_CHASE,34,AVOID_SHORT
AMPG,3.4459,3.53,3.332,3.45,REJECTED_PDH,ABOVE_PDL,True,3.5499,3.43,0.133,OR_BOTTOM_THIRD,0.133,False,False,0.133,1.53,38,AVOID_LONG,74,AVOID_SHORT_CHASE
ARE,51.14,50.82,49.24,49.56,ABOVE_PDH,RECLAIMED_PDL,True,50.0152,49.23,1.0,ABOVE_ORH,0.979,False,False,0.979,4.05,96,AVOID_LONG_CHASE,18,AVOID_SHORT
ARES,131.64,133.9,130.21,130.63,REJECTED_PDH,RECLAIMED_PDL,True,134.16,130.2,0.364,OR_MIDDLE,0.364,False,False,0.364,3.34,50,AVOID_LONG,54,AVOID_SHORT
ASAN,8.7212,8.58,8.085,8.56,ABOVE_PDH,ABOVE_PDL,True,8.845,8.5,0.641,OR_MIDDLE,0.614,True,False,0.614,3.54,80,PULLBACK_BUY_ZONE,34,NEUTRAL
AVTR,14.81,14.94,14.595,14.88,REJECTED_PDH,ABOVE_PDL,True,15.045,14.77,0.145,OR_BOTTOM_THIRD,0.319,False,False,0.319,2.35,46,AVOID_LONG,62,NEUTRAL
BAX,23.8,24.375,23.9238,24.18,REJECTED_PDH,BELOW_PDL,True,24.77,24.0,0.0,BELOW_ORL,0.122,False,True,0.122,2.04,0,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
BMNR,24.99,24.6801,23.36,24.2,ABOVE_PDH,ABOVE_PDL,True,26.97,24.28,0.264,OR_BOTTOM_THIRD,0.264,False,False,0.264,0.69,70,CONTINUATION_LONG,42,NEUTRAL
BMY,63.6595,64.92,63.73,63.75,BELOW_PDH,BELOW_PDL,True,64.2,63.36,0.357,OR_MIDDLE,0.419,False,True,0.419,2.64,30,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
BSY,31.09,32.31,30.87,31.0,BELOW_PDH,RECLAIMED_PDL,True,31.18,30.61,0.842,OR_TOP_THIRD,0.722,False,False,0.722,3.9,62,NEUTRAL,48,AVOID_SHORT
BTE,5.036,5.1,4.95,5.04,BELOW_PDH,RECLAIMED_PDL,True,5.005,4.92,1.0,ABOVE_ORH,1.0,False,False,1.0,1.27,84,AVOID_LONG_CHASE,26,AVOID_SHORT
BULL,9.23,9.44,9.16,9.3,REJECTED_PDH,RECLAIMED_PDL,True,9.59,9.19,0.1,OR_BOTTOM_THIRD,0.226,False,True,0.226,1.8,42,AVOID_LONG,84,FIRST_RALLY_SHORT_ZONE
CAL,12.54,12.11,11.29,11.88,ABOVE_PDH,ABOVE_PDL,True,12.49,12.12,1.0,ABOVE_ORH,0.583,True,False,0.583,2.53,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
CCC,6.89,6.8899,6.695,6.85,ABOVE_PDH,ABOVE_PDL,True,6.87,6.7,1.0,ABOVE_ORH,0.655,True,False,0.655,2.12,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
CCTG,0.622,0.6158,0.5803,0.5966,ABOVE_PDH,RECLAIMED_PDL,True,0.6132,0.5801,1.0,ABOVE_ORH,0.841,True,False,,,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
CHTR,145.77,141.26,133.49,140.56,ABOVE_PDH,ABOVE_PDL,True,142.035,139.17,1.0,ABOVE_ORH,0.942,False,False,0.942,4.24,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CMBT,19.48,19.43,19.2,19.38,ABOVE_PDH,RECLAIMED_PDL,True,19.61,19.25,0.639,OR_MIDDLE,0.683,False,False,0.683,2.58,74,CONTINUATION_LONG,34,AVOID_SHORT
CMPS,14.39,15.01,14.0,14.22,BELOW_PDH,ABOVE_PDL,True,14.65,14.13,0.5,OR_MIDDLE,0.5,False,False,0.5,1.55,50,NEUTRAL,50,NEUTRAL
CNH,13.6,13.9,13.365,13.5,REJECTED_PDH,ABOVE_PDL,True,13.975,13.68,0.0,BELOW_ORL,0.153,False,False,0.153,2.42,18,AVOID_LONG,84,AVOID_SHORT_CHASE
CNQ,50.12,52.31,50.52,50.8,BELOW_PDH,BELOW_PDL,True,50.26,49.56,0.8,OR_TOP_THIRD,0.854,False,True,0.854,2.58,42,AVOID_LONG_CHASE,78,FIRST_RALLY_SHORT_ZONE
COMP,10.51,10.565,10.08,10.13,REJECTED_PDH,ABOVE_PDL,True,10.4,10.12,1.0,ABOVE_ORH,0.788,True,False,0.788,2.56,78,PULLBACK_BUY_ZONE,38,AVOID_SHORT
COUR,5.25,5.39,5.22,5.23,BELOW_PDH,RECLAIMED_PDL,True,5.35,5.19,0.375,OR_MIDDLE,0.375,False,False,0.375,3.46,62,NEUTRAL,42,AVOID_SHORT
CRCL,90.9,92.96,89.5,90.32,REJECTED_PDH,ABOVE_PDL,True,95.7996,90.75,0.03,OR_BOTTOM_THIRD,0.134,False,False,0.134,1.18,38,AVOID_LONG,74,AVOID_SHORT_CHASE
CRE,2.84,2.94,2.82,2.85,BELOW_PDH,RECLAIMED_PDL,True,2.92,2.85,0.0,BELOW_ORL,0.429,False,True,,,42,AVOID_LONG,70,FIRST_RALLY_SHORT_ZONE
CRVO,2.63,2.53,2.47,2.48,ABOVE_PDH,ABOVE_PDL,True,2.55,2.5,1.0,ABOVE_ORH,0.931,False,False,0.931,1.01,72,AVOID_LONG_CHASE,34,AVOID_SHORT
CSGP,30.85,30.135,28.7901,29.49,ABOVE_PDH,ABOVE_PDL,True,30.26,29.71,1.0,ABOVE_ORH,1.0,False,False,1.0,1.83,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CTSH,60.05,59.02,57.89,58.32,ABOVE_PDH,ABOVE_PDL,True,59.0,58.06,1.0,ABOVE_ORH,1.0,False,False,1.0,3.27,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CTSO,6.37,6.74,6.25,6.37,BELOW_PDH,ABOVE_PDL,True,6.5,6.5,,BELOW_ORL,0.169,False,False,,,38,AVOID_LONG,60,AVOID_SHORT_CHASE
DLO,15.03,15.095,14.3704,14.92,REJECTED_PDH,ABOVE_PDL,True,15.16,14.9064,0.487,OR_MIDDLE,0.658,False,False,0.658,2.03,38,AVOID_LONG,62,NEUTRAL
EIX,56.15,58.74,56.35,56.75,BELOW_PDH,BELOW_PDL,True,57.67,56.33,0.0,BELOW_ORL,0.221,False,True,0.221,2.9,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
ELF,96.51,98.9,95.55,95.76,BELOW_PDH,RECLAIMED_PDL,True,98.49,94.535,0.499,OR_MIDDLE,0.499,False,False,0.499,2.23,62,NEUTRAL,42,AVOID_SHORT
EQPT,18.02,18.635,17.565,17.62,REJECTED_PDH,ABOVE_PDL,True,18.28,17.79,0.469,OR_MIDDLE,0.24,False,False,0.24,2.27,30,AVOID_LONG,74,NEUTRAL
FCEL,15.9985,16.34,15.49,15.59,REJECTED_PDH,ABOVE_PDL,True,16.55,15.7,0.351,OR_MIDDLE,0.351,False,False,0.351,2.56,38,AVOID_LONG,62,NEUTRAL
