ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
OSRH,Long,T2-LONG,81,BOUNCE,0.46,0.3975,0.585,0.7029,0.8414,0.52,290878398,52.8,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
AIXI,Long,T1-STRONG_LONG,100,PULLBACK,0.85,0.67,1.337,0.9737,1.03,0.89,29613736,14.55,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
AMZN,Long,T1-STRONG_LONG,99,BOUNCE,263.04,247.7283,293.6634,265.06,273.88,256.16,100856006,0.77,WINNING,0.13,False,2026-04-30_1518,2026-04-30_0532
PLUG,Long,T1-STRONG_LONG,100,PULLBACK,3.135,2.9391,3.5268,3.13,3.42,3.04,96179379,-0.16,LOSING,-0.03,False,2026-04-30_1518,2026-04-30_0532
INTC,Long,T1-STRONG_LONG,95,PULLBACK,86.1,82.0523,94.1954,94.48,95.69,91.5,159937451,9.73,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
NOK,Long,T1-STRONG_LONG,94,PULLBACK,11.645,10.9707,12.9936,12.91,12.92,12.11,135940392,10.86,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
ASBP,Long,T3-LONG_WATCH,76,PULLBACK,0.244,0.1799,0.3722,0.2213,0.2348,0.2138,6548644,-9.3,LOSING,-0.35,False,2026-04-30_1518,2026-04-30_0532
INHD,Long,T2-LONG,96,BOUNCE,0.12,0.0319,0.2962,0.0864,0.0886,0.0785,46133973,-28.0,LOSING,-0.38,False,2026-04-30_1518,2026-04-30_0532
FCEL,Long,T3-LONG_WATCH,69,PULLBACK,12.44,12.0397,13.2405,13.0,13.3687,12.0,13761774,4.5,STOPPED,-1.0,False,2026-04-30_1518,2026-04-30_0532
AKAN,Long,T3-LONG_WATCH,93,PULLBACK,24.53,23.6729,26.2443,48.96,54.6442,31.94,16381545,99.59,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
EAT,Long,T1-STRONG_LONG,99,BOUNCE,147.8,121.705,199.99,152.24,154.19,147.41,1510894,3.0,WINNING,0.17,False,2026-04-30_1518,2026-04-30_0532
BRBR,Long,T2-LONG,92,PULLBACK,17.54,15.714,21.192,17.8,17.92,17.07,3370378,1.48,WINNING,0.14,False,2026-04-30_1518,2026-04-30_0532
QCOM,Long,T2-LONG,79,PULLBACK,143.58,132.8803,164.9794,179.58,186.8899,163.56,61072228,25.07,NO_FILL,0.0,False,2026-04-30_1518,2026-04-30_0532
