ticker,side,mode,tier,fem,entry,stop,t1,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,news
SKYQ,Long,PULLBACK,T3-LONG_WATCH,42,4.49,4.475,4.864,24.9,0.015,4.6695,3.8,APPROACH,1,1,1m,4.49,4.475,MIXED,674182,17.2,5.8,1,210.0,37,8,,UNKNOWN,
TURB,Short,RESISTANCE,T3-SHORT,80,3.38,3.3899,3.19,19.2,0.0099,3.32,1.8,CLOSE,1,1,15m,3.3899,3.38,HIGHWAY,1698001,1.2,0.5,0,80.1,55,8,,,
RDW,Short,RESISTANCE,T3-SHORT,80,9.98,10.055,8.75,16.4,0.075,9.305,7.3,WAITING,1,1,30m,10.055,9.98,HIGHWAY,14105931,0.4,0.8,0,27.6,17,8,,,
USEG,Short,RESISTANCE,T5-SHORT,29,1.0,1.03,0.9226,2.6,0.03,0.9232,8.3,WAITING,1,1,1d,1.03,1.0,OPEN_ROAD,12229785,0.3,0.5,0,30.1,30,8,,,
SATL,Long,PULLBACK,T3-LONG_WATCH,58,5.9492,5.9,6.75,16.3,0.0492,6.325,5.9,APPROACH,3,3,"15m,1m,5m",5.9492,5.9,OPEN_ROAD,4547098,0.3,1.2,0,37.8,43,8,,UNKNOWN,
DEFT,Short,RESISTANCE,T3-SHORT,80,0.7261,0.7279,0.7156,5.8,0.0018,0.7183,1.1,CLOSE,1,1,1m,0.7279,0.7261,HIGHWAY,0,0.5,3.8,1,69.8,39,8,,,+CONTRACT
ANNA,Short,RESISTANCE,T3-SHORT,71,10.34,10.4,9.14,20.0,0.06,9.17,12.8,WAITING,1,1,5m,10.4,10.34,HIGHWAY,648834,0.3,0.4,0,63.7,60,8,,,
ANNA,Long,FRESH_HOLD,T3-LONG_WATCH,31,9.14,9.11,10.34,40.0,0.03,9.17,0.3,CLOSE,1,1,1m,9.14,9.11,HIGHWAY,68202,0.3,0.4,0,63.7,60,8,,UNKNOWN,
ANNA,Long,PULLBACK,T3-LONG_WATCH,19,8.8,8.72,10.34,19.2,0.08,9.17,4.0,APPROACH,1,1,1m,8.8,8.72,OPEN_ROAD,983904,0.3,0.4,0,63.7,60,8,,UNKNOWN,
WTI,Short,RESISTANCE,T5-SHORT,45,3.5907,3.5984,3.3,37.8,0.0077,3.355,7.0,WAITING,1,1,1m,3.5984,3.5907,OPEN_ROAD,29358,0.3,0.8,0,27.6,39,8,,,
RBNE,Long,FRESH_HOLD,T3-LONG_WATCH,61,2.28,2.2322,2.39,2.3,0.0478,2.295,0.7,CLOSE,3,3,"1h,30m,4h",2.28,2.2322,OPEN_ROAD,6466107,0.1,0.1,0,46.3,50,8,,UNKNOWN,
RBNE,Short,RESISTANCE,T5-SHORT,35,2.47,2.53,2.28,3.2,0.06,2.295,7.6,WAITING,1,1,1d,2.53,2.47,OPEN_ROAD,32241300,0.1,0.1,0,46.3,50,8,,,
