ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,n_gaps_above,gap_above_conviction,checked_at,scan_date
META,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,608.41,630.31,560.0,549.98,4,2.21,593.4099731445312,601.0,587.0,10870647.0,-0.56,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
ISRG,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,365.02,395.97,346.77,,3,0.59,361.79998779296875,374.70001220703125,360.60101318359375,4079310.0,-0.32,CLOSED,0.1,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
KR,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,59.18,62.13,52.38,,33,2.31,59.189998626708984,60.720001220703125,58.70000076293945,5637536.0,2.02,CLOSED_LOSS,-0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-07-28_1723,2026-07-28
WDAY,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,149.71,163.73,126.98,,7,1.62,159.69000244140625,160.5500030517578,151.05999755859375,7187860.0,7.07,CLOSED_LOSS,-0.71,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
SAIL,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,15.66,17.78,14.88,,47,0.37,15.779999732971191,16.094999313354492,15.100000381469727,2553802.0,1.81,CLOSED_LOSS,-0.06,HOSTILE,LIMIT,17,CONVICTION,2026-07-28_1723,2026-07-28
AMZN,SHORT,CONVICTION,96.0,BEAR_REJECTION_PENDING,236.26,246.07,205.59,209.79,10,3.13,230.86000061035156,233.11000061035156,228.10000610351562,42368131.0,-0.5,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
DIS,SHORT,CONVICTION,94.3,BEAR_REJECTION_PENDING,98.83,111.92,93.89,,7,0.38,98.88999938964844,99.2300033569336,96.98999786376953,9119006.0,2.06,CLOSED_LOSS,-0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
IBM,SHORT,CONVICTION,93.0,BEAR_REJECTION_PENDING,221.54,291.68,210.47,,1,0.16,227.5500030517578,228.97999572753906,215.110107421875,13165173.0,4.77,CLOSED_LOSS,-0.09,HOSTILE,LIMIT,17,CONVICTION,2026-07-28_1723,2026-07-28
ADBE,SHORT,CONVICTION,93.0,BEAR_REJECTION_PENDING,242.97,246.22,206.66,230.39,30,11.19,249.17999267578125,254.05999755859375,241.69459533691406,7889783.0,3.64,STOPPED,-1.0,HOSTILE,LIMIT,18,CONVICTION,2026-07-28_1723,2026-07-28
C,SHORT,CONVICTION,92.2,BEAR_REJECTION_PENDING,135.9,141.41,115.8,121.95,18,3.65,132.47000122070312,132.94000244140625,130.75,6915402.0,-0.58,NO_FILL,0.0,HOSTILE,LIMIT,18,CONVICTION,2026-07-28_1723,2026-07-28
BAX,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,23.75,28.19,22.57,,22,0.27,24.3700008392334,24.75,23.575000762939453,5884277.0,3.97,CLOSED_LOSS,-0.14,HOSTILE,LIMIT,5,COMPRESSION,2026-07-28_1723,2026-07-28
FANG,SHORT,CONVICTION,90.8,BEAR_REJECTION_PENDING,197.08,205.7,183.89,176.27,11,1.53,190.30499267578125,198.58999633789062,190.0500030517578,2490785.0,-3.38,CLOSED,0.79,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
TECK,SHORT,CONVICTION,89.8,BEAR_REJECTION_PENDING,59.62,63.64,52.9,,24,1.67,58.630001068115234,59.279998779296875,57.150001525878906,2340309.0,-0.9,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
WMT,SHORT,CONVICTION,87.7,BEAR_REJECTION_PENDING,114.8,119.59,105.36,102.58,20,1.97,113.0999984741211,116.0250015258789,112.83499908447266,23838807.0,0.49,CLOSED,0.35,HOSTILE,LIMIT,20,COMPRESSION,2026-07-28_1723,2026-07-28
GEHC,SHORT,CONVICTION,87.1,BEAR_REJECTION_PENDING,62.04,63.14,60.21,59.21,90,1.66,64.11000061035156,64.25250244140625,61.400001525878906,7966202.0,4.55,STOPPED,-1.0,HOSTILE,LIMIT,20,COMPRESSION,2026-07-28_1723,2026-07-28
ABT,SHORT,CONVICTION,87.0,BEAR_REJECTION_PENDING,107.34,121.33,101.98,,7,0.38,107.2699966430664,109.26000213623047,105.96499633789062,10176515.0,1.93,CLOSED,0.01,HOSTILE,LIMIT,16,CONVICTION,2026-07-28_1723,2026-07-28
NVEC,SHORT,CONVICTION,86.9,BEAR_REJECTION_PENDING,118.0,120.95,107.36,107.36,33,3.6,116.61000061035156,117.63999938964844,108.67500305175781,287326.0,-0.66,NO_FILL,0.0,HOSTILE,LIMIT,16,CONVICTION,2026-07-28_1723,2026-07-28
PCG,SHORT,CONVICTION,86.6,BEAR_REJECTION_PENDING,17.97,19.35,15.83,,72,1.55,17.780000686645508,18.434999465942383,17.719999313354492,23830402.0,0.74,CLOSED,0.14,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
CNQ,SHORT,CONVICTION,86.6,BEAR_REJECTION_PENDING,44.79,46.67,39.72,38.07,53,2.69,44.189998626708984,45.34989929199219,44.150001525878906,9180017.0,-1.25,CLOSED,0.32,HOSTILE,LIMIT,20,CONVICTION,2026-07-28_1723,2026-07-28
