ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase
CLRB,154.42,56.17,7.2,2.98,2.98,4.4197,32138640,221,145204.7,0.34,False,2.83,4.4197,4.3534,4.5523,1508,99.97,1673.7437,GENESIS,GENESIS
SDOT,148.98,108.11,0.6446,0.337,0.35,0.5388,193438062,1249093,154.86,0.66,True,0.2589,0.5388,0.5307,0.555,12373,100.0,1040.6687,GENESIS,GENESIS
DGXX,84.81,45.82,7.3,4.06,4.205,5.76,42006485,39413,1065.8,0.52,True,3.95,5.76,5.6736,5.9328,1157,99.96,692.755,GENESIS,GENESIS
BDRX,80.13,16.67,5.62,3.19,3.19,3.64,15067193,1827,8246.06,0.19,False,3.12,3.64,3.5854,3.7492,1831,99.97,549.9869,GENESIS,GENESIS
BLZE,50.22,44.4,6.97,6.27,6.5,6.7,2796949,1677,1667.83,0.61,True,4.64,6.7,6.5995,6.901,995,100.0,471.0959,GENESIS,GENESIS
MASK,84.83,35.86,2.68,1.879,2.31,1.97,19355279,12012,1611.3,0.11,False,1.45,1.97,1.9405,2.0291,3384,100.0,436.4361,GENESIS,GENESIS
VRDN,77.81,31.58,25.0,14.51,15.31,18.5,3424896,20519,166.91,0.38,False,14.06,18.5,18.2225,19.055,360,99.9,419.049,GENESIS,GENESIS
CYTK,41.57,22.63,93.51,58.0,67.52,81.0,2871840,1825,1573.61,0.65,True,66.05,81.0,79.785,83.43,82,99.63,398.954,GENESIS,GENESIS
WAI,63.79,-27.59,3.8,1.65,2.61,1.68,2014548,2225,905.21,0.01,False,2.3201,1.68,1.6548,1.7304,3968,99.99,255.9757,GENESIS,GENESIS
VEEE,59.8,-0.58,9.7,5.75,6.2,6.035,2205723,6605,333.92,0.07,False,6.07,6.035,5.9445,6.2161,1104,99.94,233.042,GENESIS,GENESIS
CYAB,60.0,-11.69,1.36,0.7241,1.01,0.7506,16238900,46696,347.75,0.04,False,0.85,0.7506,0.7393,0.7731,8881,99.99,222.6762,GENESIS,GENESIS
SOWG,40.9,-17.61,2.4799,1.38,1.79,1.45,9362541,3005,3115.45,0.06,False,1.76,1.45,1.4283,1.4935,4597,99.98,208.5113,GENESIS,GENESIS
DOCN,21.76,19.47,132.49,102.0,109.88,129.99,950379,16063,59.16,0.92,True,108.81,129.99,128.0402,133.8897,51,99.44,156.7765,GENESIS,GENESIS
TLIH,52.17,8.97,5.6,3.61,3.7,4.01,2958664,136745,21.64,0.2,False,3.68,4.01,3.9498,4.1303,1662,99.97,149.0169,GENESIS,GENESIS
PINS,18.71,17.89,24.75,23.96,23.96,24.58,1629499,23367,69.73,0.78,True,20.85,24.58,24.2113,25.3174,271,99.92,126.0419,GENESIS,GENESIS
SHLS,23.82,15.6,10.24,8.39,8.39,9.56,316336,13765,22.98,0.63,True,8.27,9.56,9.4166,9.8468,697,99.95,111.5355,GENESIS,GENESIS
VBIO,22.49,-1.35,1.28,0.9986,1.05,1.0309,1634600,32196,50.77,0.11,False,1.045,1.0309,1.0154,1.0618,6466,99.99,68.1214,GENESIS,GENESIS
ABCL,15.25,13.59,5.29,4.56,4.56,5.2139,2162437,267974,8.07,0.9,True,4.59,5.2139,5.1357,5.3703,1278,99.95,65.7333,GENESIS,GENESIS
KOPN,12.3,11.19,5.02,4.47,4.47,4.97,1066426,281288,3.79,0.91,True,4.47,4.97,4.8954,5.1191,1341,99.97,40.4437,GENESIS,GENESIS
GRAB,7.18,6.91,3.88,3.73,3.76,3.87,2073833,584738,3.55,0.93,True,3.62,3.87,3.8119,3.9861,1722,99.96,23.3276,GENESIS,GENESIS
CIFR,8.44,2.57,19.4,17.8,18.3,18.35,1470865,361730,4.07,0.34,False,17.89,18.35,18.0748,18.9005,363,99.92,17.1112,GENESIS,GENESIS
CRCL,6.31,4.49,127.07,121.86,126.0,124.9,1782119,519584,3.43,0.58,True,119.53,124.9,123.0265,128.647,53,99.3,15.2587,GENESIS,GENESIS
ELPW,9.96,-0.68,8.06,7.2,7.66,7.28,481266,100821,4.77,0.09,False,7.33,7.28,7.1708,7.4984,915,99.92,15.1374,GENESIS,GENESIS
PDYN,6.9,-7.67,6.97,5.9,6.7,6.02,513909,42625,12.06,0.11,False,6.52,6.02,5.9297,6.2006,1107,99.96,14.7434,GENESIS,GENESIS
PYPL,4.19,-10.14,52.5,45.28,50.39,45.28,3635664,57205,63.55,0.0,False,50.39,45.28,44.6008,46.6384,147,99.84,10.7864,GENESIS,GENESIS
