ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
AAOI,135.2,148.9,128.8,132.81,BELOW_PDH,RECLAIMED_PDL,True,137.23,127.5,0.791,OR_TOP_THIRD,0.791,False,False,0.791,0.79,62,NEUTRAL,48,AVOID_SHORT
ABSI,8.47,9.47,8.9,9.01,BELOW_PDH,BELOW_PDL,True,9.2,8.89,0.0,BELOW_ORL,0.0,False,False,0.0,3.19,18,AVOID_LONG,84,AVOID_SHORT_CHASE
ACM,67.5,76.8499,72.72,73.3,BELOW_PDH,BELOW_PDL,True,69.45,63.67,0.663,OR_TOP_THIRD,0.663,False,False,0.663,2.04,38,NEUTRAL,68,CONTINUATION_SHORT
ADTX,0.0024,0.0028,0.0024,0.0026,BELOW_PDH,TESTING_PDL,True,0.0027,0.0025,0.0,BELOW_ORL,0.0,False,False,0.0,2.92,30,AVOID_LONG,72,AVOID_SHORT_CHASE
AEM,182.0,181.62,174.645,180.48,ABOVE_PDH,ABOVE_PDL,True,183.35,179.26,0.67,OR_TOP_THIRD,0.626,True,False,0.626,2.04,80,PULLBACK_BUY_ZONE,40,NEUTRAL
AHMA,1.7,1.76,1.5929,1.74,BELOW_PDH,ABOVE_PDL,True,1.74,1.69,0.2,OR_BOTTOM_THIRD,0.286,False,False,,,58,RELOAD_ZONE,50,NEUTRAL
AIM,0.2518,0.28,0.26,0.263,BELOW_PDH,BELOW_PDL,True,0.2627,0.2541,0.0,BELOW_ORL,0.347,False,True,0.347,2.26,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
AMKR,54.512,55.99,52.81,52.87,BELOW_PDH,ABOVE_PDL,True,54.46,53.1,1.0,ABOVE_ORH,1.0,False,False,1.0,2.29,72,AVOID_LONG_CHASE,34,AVOID_SHORT
AMPG,6.18,6.2,5.68,5.69,REJECTED_PDH,ABOVE_PDL,True,6.26,5.81,0.822,OR_TOP_THIRD,0.755,True,False,0.755,1.04,56,PULLBACK_BUY_ZONE,60,NEUTRAL
BAX,27.37,27.97,26.78,27.78,REJECTED_PDH,ABOVE_PDL,True,28.015,27.38,0.0,BELOW_ORL,0.0,False,False,0.0,5.16,18,AVOID_LONG,84,AVOID_SHORT_CHASE
BEEM,1.1631,1.15,1.11,1.14,ABOVE_PDH,ABOVE_PDL,True,1.17,1.13,0.828,OR_TOP_THIRD,0.736,True,False,0.736,0.81,80,PULLBACK_BUY_ZONE,40,NEUTRAL
BFLY,9.396,10.05,8.828,9.7,BELOW_PDH,ABOVE_PDL,True,9.7899,9.42,0.0,BELOW_ORL,0.179,False,False,0.179,2.14,30,AVOID_LONG,72,AVOID_SHORT_CHASE
BMNR,18.1101,18.86,18.06,18.1,BELOW_PDH,RECLAIMED_PDL,True,18.465,17.93,0.337,OR_BOTTOM_THIRD,0.572,False,True,0.572,1.38,62,RELOAD_ZONE,60,FIRST_RALLY_SHORT_ZONE
BW,9.2,9.62,8.88,8.88,REJECTED_PDH,ABOVE_PDL,True,12.08,9.65,0.0,BELOW_ORL,0.065,False,False,0.065,0.87,26,AVOID_LONG,72,AVOID_SHORT_CHASE
CAL,14.15,14.93,14.39,14.47,BELOW_PDH,BELOW_PDL,True,14.48,14.175,0.0,BELOW_ORL,0.051,False,False,0.051,2.53,18,AVOID_LONG,84,AVOID_SHORT_CHASE
CALX,39.808,39.5,37.61,38.17,ABOVE_PDH,ABOVE_PDL,True,39.34,38.215,1.0,ABOVE_ORH,1.0,False,False,1.0,2.47,84,AVOID_LONG_CHASE,26,AVOID_SHORT
CAST,1.29,1.31,1.18,1.23,REJECTED_PDH,ABOVE_PDL,True,1.3,1.21,0.889,OR_TOP_THIRD,0.229,False,False,0.229,0.32,38,AVOID_LONG,68,NEUTRAL
CCC,6.79,7.02,6.795,6.97,BELOW_PDH,BELOW_PDL,True,6.98,6.8,0.0,BELOW_ORL,0.255,False,True,0.255,4.05,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
CCTG,0.7351,0.8347,0.677,0.7671,BELOW_PDH,ABOVE_PDL,True,0.7661,0.71,0.447,OR_MIDDLE,0.447,False,False,,,50,NEUTRAL,50,NEUTRAL
CHKP,129.12,132.155,126.9,131.14,BELOW_PDH,ABOVE_PDL,True,130.875,128.32,0.313,OR_BOTTOM_THIRD,0.481,False,False,0.481,2.4,58,RELOAD_ZONE,50,NEUTRAL
CMND,1.5756,1.6699,1.58,1.6,BELOW_PDH,BELOW_PDL,True,1.6,1.54,0.593,OR_MIDDLE,0.297,False,False,,,38,NEUTRAL,62,CONTINUATION_SHORT
CMPS,13.45,13.62,13.07,13.18,REJECTED_PDH,ABOVE_PDL,True,13.69,13.2,0.51,OR_MIDDLE,0.51,False,False,0.51,1.51,38,AVOID_LONG,62,NEUTRAL
CMTL,1.7554,1.79,1.705,1.72,BELOW_PDH,ABOVE_PDL,True,1.7632,1.71,0.853,OR_TOP_THIRD,0.853,False,False,0.853,0.7,50,AVOID_LONG_CHASE,56,NEUTRAL
CNM,46.63,46.9293,45.61,46.3,REJECTED_PDH,ABOVE_PDL,True,46.87,46.18,0.652,OR_TOP_THIRD,0.549,True,False,0.549,4.41,56,PULLBACK_BUY_ZONE,60,NEUTRAL
