ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
YMAT,309.33,50.26,1.58,0.411,0.4141,0.58,58332375,80252,726.87,0.14,False,0.386,0.58,0.5713,0.5974,11494,100.0,1631.0762,1.078,STRONG,GENESIS,GENESIS
LNAI,177.68,72.37,7.9,4.37,5.75,4.904,14575667,1147,12701.0,0.15,False,2.845,4.904,4.8304,5.0511,1359,99.97,1259.9802,1.042,NEUTRAL,GENESIS,GENESIS
QURE,96.15,67.0,52.94,27.5,27.5,45.0738,3452252,6674,517.24,0.69,True,26.99,45.0738,44.3977,46.426,147,99.39,864.7432,1.042,NEUTRAL,GENESIS,GENESIS
CLPT,56.45,36.43,20.87,13.29,13.4,18.2,2582986,33310,77.54,0.65,True,13.34,18.2,17.927,18.746,366,99.92,377.8661,1.09,STRONG,GENESIS,GENESIS
CREG,85.51,7.73,3.84,1.9604,2.74,2.23,4268440,26548,160.78,0.14,False,2.07,2.23,2.1965,2.2969,2989,99.98,364.6194,1.09,STRONG,GENESIS,GENESIS
MCRP,46.15,15.87,3.04,2.26,2.9,2.41,8165632,1248,6542.97,0.19,False,2.08,2.41,2.3739,2.4823,2766,99.99,340.8359,1.09,STRONG,GENESIS,GENESIS
NEOV,38.6,15.8,2.37,1.6482,1.82,1.9801,18835464,19544,963.75,0.46,False,1.71,1.9801,1.9504,2.0395,3366,99.98,317.8233,1.09,STRONG,GENESIS,GENESIS
EZGO,60.94,8.59,2.06,1.24,1.2803,1.39,7446584,52706,141.29,0.18,False,1.28,1.39,1.3691,1.4317,4796,100.0,252.1045,1.018,NEUTRAL,GENESIS,GENESIS
NIVF,155.71,35.71,1.79,0.8618,0.8625,0.95,39395046,6754142,5.83,0.1,False,0.7,0.95,0.9357,0.9785,7017,99.99,229.9298,0.898,WEAK,GENESIS,GENESIS
CRE,117.43,28.44,7.11,3.61,3.7,4.2,6709507,2361527,2.84,0.17,False,3.27,4.2,4.137,4.326,1587,99.98,169.1605,1.054,NEUTRAL,GENESIS,GENESIS
RGNT,47.21,11.48,8.98,5.6,5.6,6.8005,2437865,847423,2.88,0.36,False,6.1,6.8005,6.6985,7.0045,980,99.97,74.5695,0.898,WEAK,GENESIS,GENESIS
MNTS,24.92,16.65,11.63,9.43,9.55,10.86,2063656,567815,3.63,0.65,True,9.31,10.86,10.6971,11.1858,613,99.86,69.1824,1.054,NEUTRAL,GENESIS,GENESIS
ONCO,16.67,-8.85,1.26,0.9601,1.26,0.9844,1272549,29073,43.77,0.08,False,1.08,0.9844,0.9696,1.0139,6772,100.0,48.2219,1.042,NEUTRAL,GENESIS,GENESIS
PTRN,3.03,2.35,19.75,19.12,19.51,19.62,730968,15280,47.84,0.79,True,19.17,19.62,19.3257,20.2086,339,99.77,19.3956,1.018,NEUTRAL,GENESIS,GENESIS
FIG,5.67,4.76,19.0,17.98,18.02,18.835,1002315,303597,3.3,0.84,True,17.98,18.835,18.5525,19.4001,353,99.73,18.1584,1.09,STRONG,GENESIS,GENESIS
FRMI,5.23,2.79,8.2919,7.76,7.92,8.1,565325,244745,2.31,0.64,True,7.88,8.1,7.9785,8.343,823,99.99,11.0058,1.006,NEUTRAL,GENESIS,GENESIS
