ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,news
MYSE,Long,BREAKOUT,T1-STRONG_LONG,100,4.37,-0.01,13.13,,2.0,4.38,False,3.3,0.0,INSIDE,6,6,HIGHWAY,EXCITED,19.8,True,NANO,23.17,3.48,1.44,5.52,283.3,MID,MID,200,5,163,15.2,A,,,,,,,,,,,,
QBTS,Long,BREAKOUT,T2-LONG,100,21.59,20.1857,24.3986,,2.0,1.4043,False,21.52,0.0,INSIDE,2,2,HIGHWAY,EXCITED,3.2,True,MEGA,0.19,21.405,20.81,22.0,5.7,MID,DISCOUNT,1196,8,957,7.0,B,,,,,,,,,,,,
HIMS,Long,PULLBACK,T1-STRONG_LONG,100,25.26,23.959,29.4,,3.2,1.301,,26.99,6.4,APPROACH,7,7,HIGHWAY,EXCITED,,,MEGA,0.3,25.22,24.29,26.15,7.7,PREMIUM,MID,1758,3,36,8.9,B,"10m,15m,1d,1h,30m,4h,5m",25.26,24.7,1042771166.0,3.0,1.7,1.0,45.0,21.0,8.0,207.36,
IONQ,Long,BOUNCE,T3-LONG_WATCH,100,44.68,41.9525,65.4,,7.6,2.7275,,44.68,0.2,CLOSE,2,2,HIGHWAY,EXCITED,,,MEGA,0.13,43.92,43.25,44.59,3.1,PREMIUM,MID,2787,4,2251,46.4,A,"1d,4h",44.59,43.25,8916880750.0,2.8,3.0,3.0,63.0,25.0,8.0,359.97,
RGTI,Long,PULLBACK,T1-STRONG_LONG,100,17.9,16.355,21.58,19.33,2.4,1.545,,19.45,8.0,WAITING,4,4,HIGHWAY,EXCITED,,,MEGA,0.13,19.33,19.11,19.55,2.3,PREMIUM,DISCOUNT,1156,6,607,11.0,A,"1d,1h,30m,4h",17.9,16.87,7298351225.0,2.0,2.2,2.0,41.8,35.0,8.0,326.98,
OPEN,Long,PULLBACK,T1-STRONG_LONG,78,4.95,4.6948,5.4604,,2.0,0.2552,,5.27,6.1,APPROACH,7,7,OPEN_ROAD,EXCITED,,,MEGA,0.06,4.905,4.82,4.99,3.5,PREMIUM,MID,128,7,104,3.4,C,"10m,15m,1d,1h,30m,4h,5m",4.95,4.84,1091623602.0,2.1,1.3,1.0,28.6,27.0,8.0,839.71,
MARA,Long,PULLBACK,T1-STRONG_LONG,87,10.54,10.1559,14.25,,9.7,0.3841,,11.55,8.7,WAITING,1,1,HIGHWAY,EXCITED,,,MEGA,0.13,10.52,10.47,10.57,1.0,PREMIUM,DISCOUNT,268,4,44,23.4,A,4h,10.54,10.47,85664075.0,1.2,1.0,0.0,27.3,16.0,8.0,371.34,
PBM,Long,PULLBACK,T3-LONG_WATCH,100,5.4,4.92,6.95,,3.2,0.48,,5.87,8.0,WAITING,2,2,HIGHWAY,EXCITED,,,NANO,114.33,2.845,2.88,2.81,-2.4,PREMIUM,PREMIUM,421,9,300,18.4,A,"15m,5m",5.4,5.08,186755040.0,19.8,6.6,1.0,302.0,71.0,8.0,0.29,
RMSG,Long,BOUNCE,T3-LONG_WATCH,94,2.55,2.4347,2.8606,,2.7,0.1153,,2.55,1.2,CLOSE,1,1,HIGHWAY,EXCITED,,,NANO,26.32,1.78,1.79,1.77,-1.1,PREMIUM,PREMIUM,581,16,377,12.2,A,1m,2.52,2.51,46713.0,1.6,0.9,1.0,684.2,73.0,8.0,1.71,
RKLB,Long,PULLBACK,T1-STRONG_LONG,75,76.9,71.4502,87.7996,,2.0,5.4498,,82.93,7.3,WAITING,7,7,OPEN_ROAD,EXCITED,,,MEGA,0.06,75.285,73.6,76.97,4.6,PREMIUM,MID,4441,8,2916,2.5,C,"10m,15m,1d,1h,30m,4h,5m",76.9,73.66,19564757331.0,1.8,1.2,0.0,25.9,23.0,8.0,527.8,
RKT,Long,BOUNCE,T3-LONG_WATCH,43,15.76,15.035,17.21,,2.0,0.725,,15.76,1.1,CLOSE,1,1,OPEN_ROAD,EXCITED,,,MEGA,0.04,15.545,15.5,15.59,0.6,PREMIUM,MID,80,3,80,3.4,C,1d,15.59,15.5,311141718.0,1.7,1.2,0.0,9.6,17.0,8.0,950.02,
RDW,Long,PULLBACK,T3-LONG_WATCH,55,10.22,9.6127,11.71,,2.5,0.6073,,11.22,8.9,WAITING,1,1,HIGHWAY,EXCITED,,,HIGH,0.19,10.065,9.91,10.22,3.1,PREMIUM,MID,157,6,109,4.4,B,1d,10.22,9.91,914905387.0,1.8,1.2,0.0,24.7,14.0,8.0,154.76,
WSHP,Long,BOUNCE,T2-LONG,100,14.265,6.4949,29.8053,16.14,2.0,7.7702,,14.265,1.8,CLOSE,1,1,OPEN_ROAD,EXCITED,,,NANO,8.0,16.14,8.22,24.06,192.7,MID,DISCOUNT,952,11,671,3.1,C,1d,14.01,8.9999,5313400089.0,14.1,4.8,1.0,717.3,80.0,8.0,1.33,
QUBT,Long,BREAKOUT,T2-LONG,84,9.44,9.118,10.084,9.5825,2.0,0.322,False,9.44,0.0,INSIDE,1,1,OPEN_ROAD,EXCITED,2.6,True,HIGH,0.12,9.5825,9.4,9.765,3.9,DISCOUNT,DISCOUNT,406,4,291,6.6,B,,,,,,,,,,,,
ORBS,Long,BOUNCE,T3-LONG_WATCH,47,1.24,1.15,1.42,,2.0,0.09,,1.24,1.6,CLOSE,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.07,1.115,1.14,1.09,-4.4,PREMIUM,PREMIUM,6,8,6,13.3,D,"15m,5m",1.22,1.2,6901111.0,1.0,0.9,0.0,57.4,31.0,8.0,375.78,
RIVN,Long,BOUNCE,T3-LONG_WATCH,73,16.89,15.9177,18.8346,,2.0,0.9723,,16.89,1.5,CLOSE,2,2,OPEN_ROAD,EXCITED,,,MEGA,0.03,16.525,16.41,16.64,1.4,PREMIUM,MID,754,3,62,3.2,C,"1d,4h",16.64,16.41,597373039.0,1.1,0.9,0.0,11.7,18.0,8.0,821.09,
FRMI,Long,PULLBACK,T3-LONG_WATCH,49,6.13,5.6551,8.07,,4.1,0.4749,,6.67,8.1,WAITING,1,1,HIGHWAY,EXCITED,,,MEGA,0.06,5.98,5.83,6.13,5.1,PREMIUM,MID,160,5,142,21.0,B,1d,6.13,5.83,531574830.0,1.6,1.2,0.0,44.2,32.0,8.0,282.09,
BULL,Long,PULLBACK,T1-STRONG_LONG,95,6.48,5.6745,8.091,,2.0,0.8055,,6.48,4.6,APPROACH,4,4,OPEN_ROAD,EXCITED,,,MEGA,0.04,6.475,6.47,6.48,0.2,FLAT,FLAT,359,3,79,6.5,B,"1d,1h,30m,4h",6.18,5.85,1911021882.0,1.7,1.9,1.0,37.2,35.0,8.0,379.66,
ABTC,Long,BOUNCE,T1-STRONG_LONG,100,1.13,0.98,1.43,,2.0,0.15,,1.13,1.8,CLOSE,11,6,OPEN_ROAD,EXCITED,,,MEGA,0.05,1.105,1.1,1.11,0.9,PREMIUM,DISCOUNT,56,4,38,10.6,C,"10m,15m,1d,1h,30m,5m",1.11,1.03,38750790.0,1.8,1.8,0.0,25.5,54.0,8.0,322.53,
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,64.21,56.725,79.18,65.48,2.0,7.485,,64.21,2.6,CLOSE,4,4,OPEN_ROAD,EXCITED,,,HIGH,0.1,65.48,63.35,67.61,6.7,DISCOUNT,DISCOUNT,7677,8,1071,16.0,A,"1d,1h,30m,4h",62.53,58.66,8514755318.0,2.1,2.2,2.0,43.0,38.0,8.0,123.73,
TTD,Long,PULLBACK,T1-STRONG_LONG,100,21.43,20.4767,23.82,22.58,2.5,0.9533,,22.76,5.8,APPROACH,4,4,HIGHWAY,EXCITED,,,MEGA,0.03,22.58,22.38,22.78,1.8,PREMIUM,DISCOUNT,294,3,167,4.7,B,"1d,1h,30m,4h",21.43,21.11,239823284.0,1.1,0.9,0.0,17.1,44.0,8.0,422.52,
EVTL,Long,BOUNCE,T3-LONG_WATCH,96,3.34,3.201,3.618,,2.0,0.139,,3.34,0.9,CLOSE,2,2,OPEN_ROAD,EXCITED,,,MED,0.63,2.835,2.66,3.01,13.2,PREMIUM,PREMIUM,271,7,154,5.4,B,"30m,4h",3.31,3.3,8855863.0,4.1,1.8,1.0,58.5,66.0,8.0,23.69,
ATAI,Long,PULLBACK,T1-STRONG_LONG,100,3.87,3.6763,4.27,,2.1,0.1937,,4.09,5.4,APPROACH,6,4,HIGHWAY,EXCITED,,,MEGA,0.05,4.0,4.0,4.0,0.0,FLAT,FLAT,98,10,62,4.4,C,"1d,1h,30m,4h",3.87,3.79,19288583.0,5.1,2.3,1.0,25.3,44.0,8.0,302.85,
BFLY,Long,PULLBACK,T1-STRONG_LONG,100,4.935,4.7239,5.3572,,2.0,0.2111,,5.29,6.7,APPROACH,7,7,HIGHWAY,EXCITED,,,HIGH,0.07,4.905,4.86,4.95,1.9,PREMIUM,MID,395,10,97,99.9,A,"10m,15m,1d,1h,30m,4h,5m",4.935,4.87,146179542.0,3.5,1.8,1.0,38.1,36.0,8.0,186.03,
