date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative,top7_picks,top7_wins,top7_stops,top7_wr,top7_pnl,top7_cum,b60_69_n,b60_69_wr,b60_69_pnl,b70_79_n,b70_79_wr,b70_79_pnl,b80_89_n,b80_89_wr,b80_89_pnl,b90p_n,b90p_wr,b90p_pnl
2026-06-25,304,198,30,57,111,106,15.2,4107.0,-17645.0,7,0,0,0.0,131.0,-3359.0,152,17.9,1679.0,78,20.5,1205.0,40,0.0,345.0,34,8.7,878.0
2026-06-26,109,94,6,42,46,15,6.4,-2637.0,-20282.0,7,0,0,0.0,-28.0,-3387.0,75,9.5,-1576.0,17,0.0,-529.0,12,0.0,-507.0,5,0.0,-25.0
2026-06-29,114,96,17,25,54,18,17.7,1093.0,-19189.0,7,0,3,0.0,-109.0,-3496.0,48,25.7,772.0,40,13.9,76.0,18,17.6,271.0,8,0.0,-26.0
2026-06-30,155,120,18,35,67,35,15.0,162.0,-19027.0,7,2,2,33.3,124.0,-3372.0,73,11.5,-34.0,52,20.9,412.0,20,6.2,-454.0,10,22.2,238.0
2026-07-01,160,126,13,46,67,34,10.3,-2757.0,-21784.0,7,0,2,0.0,-128.0,-3500.0,88,16.4,-308.0,50,5.1,-1444.0,16,0.0,-952.0,6,0.0,-53.0
2026-07-02,146,119,16,41,62,27,13.4,-1594.0,-23378.0,7,0,5,0.0,-534.0,-4034.0,67,8.0,-837.0,55,16.3,-686.0,18,26.7,363.0,6,0.0,-434.0
2026-07-08,115,73,6,31,36,42,8.2,-1597.0,-24975.0,7,0,0,0.0,-1.0,-4035.0,81,7.5,-1650.0,23,7.1,-158.0,8,25.0,261.0,3,0.0,-50.0
2026-07-09,217,134,20,23,91,83,14.9,884.0,-24091.0,7,1,1,20.0,81.0,-3954.0,127,16.4,501.0,64,12.0,398.0,23,20.0,-0.0,3,0.0,-15.0
2026-07-10,109,74,7,21,46,35,9.5,-1298.0,-25389.0,7,1,1,20.0,-43.0,-3997.0,68,12.2,-681.0,33,0.0,-689.0,7,20.0,100.0,1,0.0,-28.0
2026-07-22,250,150,22,67,61,100,14.7,-785.0,-26174.0,7,0,1,0.0,-88.0,-4085.0,161,19.2,-198.0,57,3.6,-662.0,19,8.3,219.0,13,0.0,-144.0
2026-07-23,257,125,19,38,68,132,15.2,1547.0,-24627.0,7,0,0,0.0,11.0,-4074.0,168,12.6,269.0,58,17.9,550.0,22,37.5,717.0,9,0.0,11.0
2026-07-24,275,156,14,54,88,119,9.0,-713.0,-25340.0,7,0,1,0.0,-76.0,-4150.0,167,11.9,-220.0,72,5.7,-36.0,25,0.0,-342.0,11,0.0,-115.0
2026-07-27,285,163,6,108,49,122,3.7,-8830.0,-34170.0,7,0,2,0.0,-244.0,-4394.0,169,6.0,-4622.0,76,0.0,-2582.0,27,0.0,-1187.0,13,0.0,-439.0
2026-07-28,225,146,9,58,79,79,6.2,-2426.0,-36596.0,7,0,0,0.0,-67.0,-4461.0,148,9.6,-1455.0,42,0.0,-294.0,23,0.0,-566.0,12,0.0,-111.0
2026-07-29,335,270,21,94,155,65,7.8,-7960.0,-44556.0,7,0,3,0.0,-388.0,-4849.0,156,7.4,-3984.0,110,7.6,-2021.0,47,13.2,-749.0,22,0.0,-1206.0
2026-07-30,231,157,3,82,72,74,1.9,-8689.0,-53245.0,7,1,1,20.0,-27.0,-4876.0,135,1.1,-4846.0,71,1.9,-3289.0,15,0.0,-534.0,10,16.7,-20.0
2026-07-31,264,185,16,59,110,79,8.6,-4129.0,-57374.0,7,0,0,0.0,-152.0,-5028.0,163,10.9,-2271.0,69,5.8,-1071.0,28,5.3,-631.0,4,0.0,-156.0
2026-08-03,281,184,20,46,118,97,10.9,930.0,-56444.0,7,0,1,0.0,-63.0,-5091.0,145,12.9,1177.0,87,5.5,-485.0,36,18.5,510.0,13,0.0,-272.0
2026-08-04,282,139,19,26,94,143,13.7,1767.0,-54677.0,7,1,0,16.7,214.0,-4877.0,131,20.0,911.0,89,8.9,179.0,48,9.1,239.0,14,8.3,438.0
2026-08-05,297,201,21,48,132,96,10.4,-2131.0,-56808.0,7,0,1,0.0,-150.0,-5027.0,145,12.5,-865.0,100,14.1,-40.0,43,0.0,-1123.0,9,0.0,-103.0
2026-08-06,338,247,18,79,150,91,7.3,-6432.0,-63240.0,7,0,2,0.0,-282.0,-5309.0,155,12.0,-1226.0,113,4.5,-2434.0,60,4.2,-2299.0,10,0.0,-473.0
2026-08-07,358,233,25,67,141,125,10.7,-2263.0,-65503.0,7,2,2,28.6,148.0,-5161.0,167,15.7,-74.0,123,6.7,-1397.0,51,7.3,-1040.0,17,14.3,248.0
2026-08-10,453,329,28,77,224,124,8.5,-3352.0,-68855.0,7,0,0,0.0,68.0,-5093.0,185,9.2,-654.0,165,8.5,-2774.0,70,9.4,-216.0,33,3.6,292.0
2026-08-11,480,286,26,46,214,194,9.1,1053.0,-67802.0,7,1,1,14.3,240.0,-4853.0,215,10.9,1355.0,174,9.1,-143.0,71,6.7,-557.0,20,5.3,398.0
2026-08-12,500,318,40,47,231,182,12.6,1909.0,-65893.0,7,1,1,20.0,19.0,-4834.0,229,16.0,1703.0,176,10.6,228.0,71,10.0,15.0,24,10.0,-37.0
2026-08-13,566,380,40,80,260,186,10.5,-343.0,-66236.0,7,1,1,20.0,71.0,-4763.0,263,11.5,644.0,202,9.8,-1243.0,74,9.4,359.0,27,11.8,-103.0
2026-08-14,616,408,36,72,300,208,8.8,-2374.0,-68610.0,7,0,0,0.0,-66.0,-4829.0,272,10.9,-37.0,222,9.2,-331.0,96,6.4,-1629.0,26,0.0,-377.0
2026-08-17,636,464,26,111,327,172,5.6,-9712.0,-78322.0,7,1,1,16.7,81.0,-4748.0,261,5.4,-2561.0,243,6.5,-3483.0,95,5.1,-3147.0,37,3.0,-521.0
2026-08-18,526,330,19,97,214,196,5.8,-5077.0,-83399.0,7,1,1,14.3,168.0,-4580.0,304,6.2,-1033.0,154,3.0,-3086.0,51,8.1,-995.0,17,12.5,37.0
2026-08-19,516,324,31,120,173,192,9.6,-7149.0,-90548.0,7,0,1,0.0,-114.0,-4694.0,300,12.3,-3170.0,151,5.8,-2919.0,49,8.3,-852.0,16,7.7,-208.0
2026-08-20,487,316,21,91,204,171,6.6,-6596.0,-97144.0,7,0,0,0.0,121.0,-4573.0,269,7.2,-2973.0,153,5.8,-3297.0,49,5.9,-675.0,16,9.1,349.0
2026-08-21,522,315,21,70,224,207,6.7,-2403.0,-99547.0,7,0,0,0.0,-30.0,-4603.0,294,9.1,612.0,169,4.5,-1614.0,45,0.0,-1446.0,14,11.1,45.0
2026-08-24,595,299,15,86,198,296,5.0,675.0,-98872.0,7,0,0,0.0,82.0,-4521.0,311,5.2,-804.0,150,3.6,459.0,87,5.4,391.0,47,7.7,629.0
2026-08-25,719,453,37,105,311,266,8.2,-3561.0,-102433.0,7,1,1,16.7,-57.0,-4578.0,354,12.0,762.0,245,4.6,-3253.0,84,7.4,-573.0,36,5.9,-497.0
2026-08-26,782,527,36,100,391,255,6.8,-3538.0,-105971.0,7,0,1,0.0,-128.0,-4706.0,366,7.7,507.0,285,5.8,-2662.0,97,10.3,-889.0,34,0.0,-494.0
2026-08-27,769,469,30,102,337,300,6.4,-5516.0,-111487.0,7,0,2,0.0,-328.0,-5034.0,372,9.0,-977.0,267,5.2,-3365.0,102,1.6,-930.0,28,8.0,-244.0
2026-08-28,804,573,34,191,348,231,5.9,-17089.0,-128576.0,7,0,2,0.0,-330.0,-5364.0,383,8.0,-7639.0,268,4.1,-5759.0,114,4.6,-2637.0,39,5.3,-1054.0
2026-08-31,846,589,35,108,446,257,5.9,-3872.0,-132448.0,7,1,0,14.3,143.0,-5221.0,360,8.4,1521.0,325,5.1,-3511.0,113,3.4,-1569.0,48,2.5,-313.0
2026-09-01,719,354,29,119,206,365,8.2,2110.0,-130338.0,7,1,0,25.0,244.0,-4977.0,407,9.2,1843.0,175,6.1,-390.0,100,7.0,417.0,37,9.1,240.0
2026-09-02,776,611,25,279,307,165,4.1,-17391.0,-147729.0,7,0,1,0.0,-189.0,-5166.0,412,6.4,-10753.0,220,1.7,-4255.0,109,1.2,-1970.0,35,0.0,-413.0
2026-09-03,750,549,35,231,283,201,6.4,-10429.0,-158158.0,7,1,2,16.7,81.0,-5085.0,386,7.6,-7996.0,209,6.8,-1185.0,100,0.0,-998.0,55,7.1,-250.0
2026-09-04,856,600,28,151,421,256,4.7,-11324.0,-169482.0,7,0,0,0.0,31.0,-5054.0,406,7.9,-1833.0,268,3.5,-5046.0,137,0.9,-4092.0,45,0.0,-353.0
