ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
DXC,BULL_BOUNCE_PENDING,LONG,76.0,10.18,9.4,10.69,,128,0.65,FAVORABLE,0.76,10.05,DEEP_BELOW,-0.3591,15.68,0.025,2.5% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 13.0, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $9.35 anchor - enter on strength above today's high, no pullback | 6.2% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | SPY FAVORABLE | BREAKOUT_FOLLOW: open $9.43 cleared anchor $9.35, 2/4 strength, regime FAVORABLE — buy-stop $10.18, 1.5xATR stop","BUY-STOP @ $10.18 (above today's high $10.16). Stop $9.4 (1.5xATR). Score 76, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-07-27T04:40:49
UPWK,BULL_BOUNCE,LONG,76.7,8.8,8.39,9.5,,243,1.7,FAVORABLE,0.72,8.8,DEEP_BELOW,-0.6147,22.84,0.0184,1.8% (normal),FALLING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 5.7, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""regime_favorable"": 5.0}",ASC channel detected on 15m (score 96) | price at lower rail ($8.74) | anchor: 45m 19tk @ $8.68 | 7 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 15m ASC, rails $8.74-$8.97",2026-07-27T04:40:50
UPWK,CHANNEL_RECLAIM_LONG,LONG,61.0,8.8,8.56,9.24,9.39,422,1.86,FAVORABLE,0.72,8.8,DEEP_BELOW,-0.6147,22.84,0.0184,1.8% (normal),FALLING,False,"{""recent_breakdown"": 10.0, ""reclaim_in_progress"": 16.0, ""ascending_channel"": 10.0, ""anchor_held"": 12.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",recent low $8.65 dipped below rail $8.74 | price $8.80 now back inside channel — reclaim attempt | ASC channel (15m) | anchor: 45m 19tk @ $8.68 held | OBV rising — accumulation underneath reclaim | SPY FAVORABLE,"Channel: 15m ASC, breakdown reclaimed. Validated low $8.65 → now $8.80",2026-07-27T04:40:50
WAY,BULL_BOUNCE_PENDING,LONG,64.4,21.85,21.47,25.23,22.8,261,8.84,FAVORABLE,0.76,22.3,DEEP_BELOW,-0.4623,41.47,0.0113,1.1% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 13.4, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $21.81 (daily 47tk COMPRESSION gap body) | only 1.2% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $21.85 (2% pullback cap; anchor at $21.81 too far). Stop $21.47. Anchor: daily 47tk.,2026-07-27T04:40:49
WAY,BEAR_REJECTION_PENDING,SHORT,62.0,22.75,23.12,20.0,20.66,67,7.31,FAVORABLE,0.76,22.3,DEEP_BELOW,-0.4623,41.47,0.0113,1.1% (normal),RISING,False,"{""structural_anchor_above"": 14.0, ""high_genesis_rank"": 12.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""obv_falling"": 6.0}","PENDING: wait for rally to $22.80 (daily 17tk COMPRESSION bear gap) | only 2.2% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | OBV falling — distribution confirms short thesis | COUNTER-TREND: opposes dominant LONG read (top score 64) - sized to 1/4 risk",LIMIT SHORT @ $22.75 (2% rally cap; anchor at $22.80 too far). Stop $23.12. Anchor: daily 17tk bear.,2026-07-27T04:40:49
GLOB,BULL_BOUNCE,LONG,73.5,31.3,29.34,35.54,35.92,51,2.17,FAVORABLE,0.89,31.3,DEEP_BELOW,-0.6683,94.35,0.0472,4.7% (normal),FALLING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 6.5, ""multiple_touches"": 8.0, ""obv_rising"": 6.0, ""flag_compression"": 4.0, ""regime_favorable"": 5.0}",ASC channel detected on 30m (score 72) | price at lower rail ($30.60) | anchor: daily 40tk @ $30.80 | 3 prior bull-rail touches | OBV rising — accumulation underneath | flag-period volume compressed (textbook) | SPY FAVORABLE,"Channel: 30m ASC, rails $30.60-$32.88",2026-07-27T04:40:49
GLOB,BEAR_REJECTION_PENDING,SHORT,71.8,31.72,34.78,30.13,,8,0.52,FAVORABLE,0.89,31.3,DEEP_BELOW,-0.6683,94.35,0.0472,4.7% (normal),FALLING,False,"{""structural_anchor_above"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 13.8, ""conviction_tier"": 10.0, ""near_rally"": 8.0, ""regime_favorable_hurts_short"": -8.0, ""ascending_channel_headwind"": -10.0, ""obv_rising_against_short"": 0.0}","PENDING: wait for rally to $31.72 (daily 290tk CONVICTION bear gap) | only 1.3% above current — close rally | SPY FAVORABLE — short is countertrend, lower probability | ASC channel active (15m) — short fights rising structure | OBV rising — possible trapped buyers under resistance (neutral) | COUNTER-TREND: opposes dominant LONG read (top score 74) - sized to 1/4 risk",LIMIT SHORT @ $31.72 on rally (1.3% above current $31.30). Stop $34.78. Anchor: daily 290tk bear.,2026-07-27T04:40:49
NET,BULL_BOUNCE_PENDING,LONG,83.3,256.76,246.31,282.08,282.08,9,2.42,FAVORABLE,0.58,262.0,NEAR_HIGH,-0.0997,291.0,0.0051,0.5% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 8.0, ""high_genesis_rank"": 14.3, ""conviction_tier"": 10.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $253.36 (daily 1163tk CONVICTION gap body) | only 1.1% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $256.76 (2% pullback cap; anchor at $253.36 too far). Stop $246.31. Anchor: daily 1163tk.,2026-07-27T04:40:49
VSAT,BULL_BOUNCE,LONG,84.6,71.24,66.05,81.51,,19,1.98,FAVORABLE,0.62,71.2352,BELOW,-0.2343,93.03,0.0131,1.3% (normal),FALLING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""flag_compression"": 4.0, ""regime_favorable"": 5.0}",ASC channel detected on daily (score 67) | price at lower rail ($69.45) | anchor: daily 544tk @ $64.67 | 10 prior bull-rail touches | OBV rising — accumulation underneath | flag-period volume compressed (textbook) | SPY FAVORABLE,"Channel: daily ASC, rails $69.45-$86.65",2026-07-27T04:40:49
VSAT,CHANNEL_RECLAIM_LONG,LONG,61.0,71.24,58.04,74.8,,7,0.27,FAVORABLE,0.62,71.2352,BELOW,-0.2343,93.03,0.0131,1.3% (normal),FALLING,False,"{""recent_breakdown"": 10.0, ""reclaim_in_progress"": 16.0, ""ascending_channel"": 10.0, ""anchor_held"": 12.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",recent low $58.63 dipped below rail $69.45 | price $71.24 now back inside channel — reclaim attempt | ASC channel (daily) | anchor: daily 544tk @ $64.67 held | OBV rising — accumulation underneath reclaim | SPY FAVORABLE,"Channel: daily ASC, breakdown reclaimed. Validated low $58.63 → now $71.24",2026-07-27T04:40:49
