ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
INTC,Long,PULLBACK,T1-STRONG_LONG,76,94.32,88.9296,110.85,101.07,3.1,5.3904,101.65,7.2,WAITING,1,1,1d,94.32,91.68,HIGHWAY,EXCITED,1.06,32829734615,0.7,0.7,1048644,0,21.1,30,8,4541.47,MEGA,0.02,101.07,99.81,102.33,2.5,PREMIUM,DISCOUNT,5214,13,3085,9.1,A,False,7.702135714285716,0.7,N/A,,TECH,SEMIS,NEUTRAL,STRONG,0.72,0.8,7.2,0.8,1.0,1.0,0.375,0.625,0.8,1.6525,FAVORABLE,91.68,94.32,95.2632,36,18,15,6.97,3.07,2.46,3300.48,1697.76,1428.95,10:30,88.9296,110.85,PULLBACK_LIMIT,,,,MID,LIMIT
DNLI,Long,PULLBACK,T2-LONG,64,23.55,22.4555,26.085,25.07,2.3,1.0945,24.83,5.2,APPROACH,1,1,1d,23.55,23.15,MIXED,EXCITED,0.86,59048653,1.0,1.1,0,0,13.8,29,8,152.46,HIGH,0.01,25.07,24.73,25.41,2.7,DISCOUNT,DISCOUNT,789,8,149,5.1,B,False,0.9699142857142855,1.13,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,STRONG,0.52,0.84,1.93,0.84,0.75,0.75,0.0,0.125,0.84,1.552,FAVORABLE,23.15,23.55,23.7855,143,91,75,4.23,2.32,1.73,3310.45,2143.05,1783.91,10:30,22.4555,26.085,PULLBACK_LIMIT,,,,MID,LIMIT
TSHA,Long,PULLBACK,T2-LONG,100,6.56,6.014,7.652,,2.0,0.546,6.56,4.1,APPROACH,2,2,"1d,4h",6.29,6.2,HIGHWAY,EXCITED,1.7,42803441,0.7,0.7,0,0,16.7,17,8,203.4,MEGA,0.01,6.395,6.34,6.45,1.7,PREMIUM,DISCOUNT,152,8,28,99.9,B,True,0.33713571428571426,1.62,N/A,,HEALTHCARE,BIOTECH,NEUTRAL,STRONG,0.52,0.84,1.93,0.84,0.25,0.5,0.875,0.125,0.84,0.7145,FAVORABLE,6.2,6.56,6.6256,537,183,163,7.81,2.0,1.68,3329.4,1200.48,1079.97,10:30,6.014,7.652,PULLBACK_LIMIT,,,,MID,LIMIT
INIO,Long,PULLBACK,T2-LONG,76,27.35,25.1909,31.6682,,2.0,2.1591,27.35,3.5,APPROACH,3,3,"1d,1h,4h",26.4,25.97,OPEN_ROAD,EXCITED,0.62,181281791,0.7,0.7,0,0,20.3,44,8,103.25,HIGH,0.03,26.185,25.97,26.4,1.7,PREMIUM,MID,1661,3,361,6.2,B,False,2.8635785714285715,0.75,N/A,,INDUSTRIAL,,NEUTRAL,,0.4,,2.97,0.4,0.25,0.25,0.375,1.0,0.4,0.4825,FAVORABLE,25.97,27.35,27.6235,128,46,41,7.31,2.0,1.66,3324.16,1258.1,1132.56,10:30,25.1909,31.6682,PULLBACK_LIMIT,,,,MID,LIMIT
TREX,Long,BOUNCE,T1-STRONG_LONG,100,49.17,45.6094,56.2912,,2.0,3.5606,49.17,1.0,CLOSE,6,5,"10m,15m,30m,4h,5m",48.7,47.02,HIGHWAY,EXCITED,0.9,174619502,0.8,1.1,0,0,15.6,33,8,92.74,HIGH,0.02,48.535,48.43,48.64,0.4,FLAT,FLAT,1653,8,681,99.9,A,False,2.178535714285713,1.63,N/A,,MATERIALS,,NEUTRAL,,0.64,,4.82,0.64,0.25,0.0,0.875,0.625,0.64,0.4045,FAVORABLE,47.02,49.17,49.6617,70,28,24,6.57,2.0,1.64,3291.4,1376.76,1191.88,10:30,45.6094,56.2912,PULLBACK_LIMIT,,,,MID,LIMIT
