ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
IBM,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,229.6,weekly,log_regression,OUTSIDE_DOWN,-0.034,29,214.19,217.75,weekly,5.16,99.33,nearest_support_gap_hi,229.46,True,False,0.06,0.06,44.8,44.8,2.09,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback | overhead_gap_too_close
VRNS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,41.51,daily,log_regression,AT_LOWER,0.327,23,35.03,36.35,daily,12.43,99.32,nearest_support_gap_hi,41.5,True,False,0.02,0.02,19.34,19.34,3.59,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.34% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
VEEE,EARLY_RECLAIM_TRIGGER,84.1,100.0,100.0,EARLY_RECLAIM_TRIGGER,13.73,1h,log_regression,AT_LOWER,0.006,9,5.22,12.24,weekly,10.85,100.0,lower,13.5,True,True,1.68,1.7,304.15,304.15,2.26,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | overhead_gap_too_close | near_term_selling_pressure
LIFE,EARLY_RECLAIM_TRIGGER,100.0,96.0,96.0,EARLY_RECLAIM_TRIGGER,19.17,1h,log_regression,AT_LOWER,0.306,8,18.5,18.8,weekly,1.93,100.0,nearest_support_gap_hi,18.8,True,True,1.93,1.97,69.54,69.54,6.94,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | early_positive_momentum
ACHC,EARLY_STRUCTURAL_MATCH,99.8,93.0,93.0,TOO_EARLY_OR_LOOSE,31.0,1h,log_regression,AT_LOWER,-0.005,10,17.39,20.305,daily,34.5,97.62,lower,31.05,True,False,-0.16,-0.16,15.58,15.58,4.84,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.58% from recent high | room back to recent high,too_early_or_loose_for_trigger | near_term_selling_pressure
ROST,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,253.16,daily,log_regression,MID,0.55,58,198.75,213.52,daily,15.66,100.0,nearest_support_gap_hi,252.03,True,True,0.45,0.45,0.0,0.0,,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,not_pulled_back | room_to_high_unknown
BIYA,HIGH_PRIORITY_PRE_TRIGGER,100.0,89.0,89.0,PRE_TRIGGER_COIL,5.53,1h,log_regression,MID,0.434,2,4.17,5.5,daily,0.54,100.0,nearest_support_gap_hi,5.5,True,False,0.54,0.55,352.08,352.08,9.76,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | some bullish shelf support | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
GE,HIGH_PRIORITY_PRE_TRIGGER,100.0,89.0,89.0,PRE_TRIGGER_COIL,363.0,weekly,log_regression,MID,0.455,41,335.3,343.45,weekly,5.39,100.0,nearest_support_gap_hi,362.65,True,False,0.1,0.1,5.5,5.5,2.06,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.5% from recent high | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,overhead_gap_too_close
REAL,EARLY_STRUCTURAL_MATCH,100.0,87.0,87.0,TOO_EARLY_OR_LOOSE,11.71,weekly,log_regression,AT_LOWER,0.256,10,10.68,10.88,daily,7.09,91.3,nearest_support_gap_hi,11.27,True,True,3.76,3.9,14.35,14.35,3.84,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.35% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
NRIX,EARLY_STRUCTURAL_MATCH,89.5,67.0,67.0,TOO_EARLY_OR_LOOSE,24.35,daily,log_regression,AT_UPPER,0.682,13,16.95,17.15,weekly,29.57,100.0,nearest_support_gap_hi,23.65,True,True,2.87,2.96,4.02,4.02,8.83,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf,mid_high_channel_location | shallow_pullback | too_early_or_loose_for_trigger | early_positive_momentum
