date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative
2026-04-01,71,71,25,34,12,0,35.2,42375.0,42375.0
2026-04-02,62,36,5,27,4,26,8.1,-1073.0,41302.0
2026-04-06,6,0,0,0,0,6,0.0,0.0,41302.0
2026-04-07,24,18,0,12,6,6,0.0,-1162.0,40140.0
2026-04-08,16,14,0,6,8,2,0.0,-879.0,39261.0
2026-04-09,5,3,0,3,0,2,0.0,-300.0,38961.0
2026-04-10,1,0,0,0,0,1,0.0,0.0,38961.0
2026-04-13,11,6,0,6,0,5,0.0,-600.0,38361.0
2026-04-14,35,8,0,0,8,27,0.0,-487.0,37874.0
2026-04-15,79,39,0,6,33,40,0.0,19.0,37893.0
2026-04-16,71,18,0,0,18,53,0.0,-234.0,37659.0
2026-04-17,77,26,0,7,19,51,0.0,-793.0,36866.0
2026-04-20,84,51,1,5,45,33,1.2,668.0,37534.0
2026-04-21,73,41,2,9,30,32,2.7,-530.0,37004.0
2026-04-22,57,25,0,3,22,32,0.0,-346.0,36658.0
2026-04-23,87,49,0,0,49,38,0.0,-3039.0,33619.0
2026-04-24,35,30,1,5,24,5,2.9,-156.0,33463.0
2026-04-27,36,25,1,5,19,11,2.8,-249.0,33214.0
2026-04-28,11,10,0,1,9,1,0.0,-85.0,33129.0
2026-04-29,8,3,0,2,1,5,0.0,-227.0,32902.0
2026-04-30,13,7,0,1,6,6,0.0,-132.0,32770.0
2026-05-01,15,10,0,2,8,5,0.0,-135.0,32635.0
2026-05-04,9,6,0,0,6,3,0.0,-112.0,32523.0
2026-05-05,18,10,1,3,6,8,5.6,-202.0,32321.0
2026-05-06,14,8,0,1,7,6,0.0,-55.0,32266.0
2026-05-07,12,8,1,2,5,4,8.3,-150.0,32116.0
2026-05-08,15,8,1,3,4,7,6.7,-57.0,32059.0
2026-05-11,20,16,1,5,10,4,5.0,-440.0,31619.0
2026-05-13,14,12,8,0,4,2,57.1,725.0,32344.0
2026-05-14,18,16,10,1,5,2,55.6,1028.0,33372.0
