ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,n_gaps_above,gap_above_conviction,checked_at,scan_date
NVDA,SHORT,CONVICTION,97.8,BEAR_REJECTION_PENDING,197.31,209.69,176.24,,8,1.7,204.1199951171875,205.16000366210938,195.05999755859375,147419100.0,5.52,CLOSED_LOSS,-0.55,HOSTILE,LIMIT,20,VACUUM,2026-07-16_1725,2026-07-08
SM,SHORT,CONVICTION,92.8,BEAR_REJECTION_PENDING,29.22,31.31,25.39,,47,1.84,29.110000610351562,29.600000381469727,28.299999237060547,6783400.0,0.38,CLOSED,0.05,HOSTILE,LIMIT,18,CONVICTION,2026-07-16_1725,2026-07-08
SXI,SHORT,CONVICTION,90.6,BEAR_REJECTION_PENDING,315.0,321.38,294.1,283.46,15,3.28,301.25,310.1199951171875,300.489990234375,135200.0,-2.94,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
CVLT,SHORT,CONVICTION,87.0,BEAR_REJECTION_PENDING,156.06,175.02,148.26,,5,0.41,146.9199981689453,154.8300018310547,145.80999755859375,790800.0,-3.97,NO_FILL,0.0,HOSTILE,LIMIT,9,CONVICTION,2026-07-16_1725,2026-07-08
NKTR,SHORT,CONVICTION,86.1,BEAR_REJECTION_PENDING,77.32,82.3,68.01,65.44,20,1.87,71.9000015258789,75.7699966430664,71.51000213623047,850500.0,-5.15,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
TTAN,SHORT,CONVICTION,83.7,BEAR_REJECTION_PENDING,81.29,92.03,77.23,,9,0.38,78.01000213623047,79.33999633789062,76.87999725341797,1203500.0,-2.12,NO_FILL,0.0,HOSTILE,LIMIT,17,CONVICTION,2026-07-16_1725,2026-07-08
STRO,SHORT,CONVICTION,83.0,BEAR_REJECTION_PENDING,32.77,34.65,28.7,27.92,53,2.17,31.84000015258789,33.09000015258789,29.690000534057617,424200.0,-0.9,CLOSED,0.49,HOSTILE,LIMIT,8,CONVICTION,2026-07-16_1725,2026-07-08
AXON,SHORT,CONVICTION,82.0,BEAR_REJECTION_PENDING,625.91,636.46,598.5,598.5,9,2.6,599.7999877929688,630.989990234375,595.1400146484375,1171100.0,-4.03,TARGET_HIT,1.5,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
SPCX,SHORT,CONVICTION,81.0,BEAR_REJECTION_PENDING,152.2,163.88,144.59,,8,0.65,148.3000030517578,152.92999267578125,145.1999969482422,60949400.0,-0.62,CLOSED,0.33,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
RHLD,SHORT,CONVICTION,80.2,BEAR_REJECTION_PENDING,143.07,146.3,135.97,132.01,30,2.2,140.75,143.05999755859375,136.30999755859375,122800.0,-1.12,NO_FILL,0.0,HOSTILE,LIMIT,20,VACUUM,2026-07-16_1725,2026-07-08
VKTX,SHORT,CONVICTION,80.2,BEAR_REJECTION_PENDING,40.5,42.36,35.63,36.11,53,2.62,39.959999084472656,42.0,38.84000015258789,3341200.0,-0.99,CLOSED,0.29,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
IONQ,SHORT,CONVICTION,79.9,BEAR_REJECTION_PENDING,43.56,49.11,41.39,,18,0.39,45.08000183105469,46.22999954223633,43.720001220703125,15213700.0,5.55,CLOSED_LOSS,-0.27,HOSTILE,LIMIT,20,COMPRESSION,2026-07-16_1725,2026-07-08
CBRS,SHORT,CONVICTION,79.4,BEAR_REJECTION_PENDING,170.39,177.69,161.87,,13,1.17,181.72000122070312,188.5500030517578,174.41000366210938,3367200.0,6.82,STOPPED,-1.0,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
CTRN,SHORT,CONVICTION,78.8,BEAR_REJECTION_PENDING,58.21,59.42,51.5,51.5,82,5.57,56.2400016784668,57.59000015258789,54.959999084472656,85800.0,-1.47,NO_FILL,0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-07-16_1725,2026-07-08
NFLX,SHORT,CONVICTION,78.0,BEAR_REJECTION_PENDING,78.1,79.11,73.76,75.09,98,4.28,75.58999633789062,76.63999938964844,74.88999938964844,34373500.0,-1.72,NO_FILL,0.0,HOSTILE,LIMIT,19,COMPRESSION,2026-07-16_1725,2026-07-08
INTC,SHORT,CONVICTION,77.8,BEAR_REJECTION_PENDING,106.9,122.81,101.55,,6,0.34,110.23999786376953,110.48999786376953,104.41000366210938,105488100.0,5.19,CLOSED_LOSS,-0.21,HOSTILE,LIMIT,20,CONVICTION,2026-07-16_1725,2026-07-08
NKE,SHORT,CONVICTION,77.7,BEAR_REJECTION_PENDING,43.24,45.43,39.61,,45,1.66,42.88999938964844,43.2599983215332,42.06999969482422,21101500.0,1.18,CLOSED,0.16,HOSTILE,LIMIT,20,COMPRESSION,2026-07-16_1725,2026-07-08
VLN,SHORT,CONVICTION,77.0,BEAR_REJECTION_PENDING,2.04,2.11,1.91,1.76,1418,1.84,2.0399999618530273,2.0450000762939453,1.9500000476837158,1097000.0,0.99,CLOSED,0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-07-16_1725,2026-07-08
TOON,SHORT,CONVICTION,76.4,BEAR_REJECTION_PENDING,0.66,0.69,0.62,0.56,3607,1.53,0.6110000014305115,0.6399999856948853,0.6000000238418579,475400.0,-6.0,NO_FILL,0.0,HOSTILE,LIMIT,20,MINOR,2026-07-16_1725,2026-07-08
GE,SHORT,CONVICTION,75.5,BEAR_REJECTION_PENDING,360.07,365.45,343.45,329.57,18,3.09,356.0299987792969,363.010009765625,354.25,4214900.0,-0.66,CLOSED,0.75,HOSTILE,LIMIT,20,VACUUM,2026-07-16_1725,2026-07-08
