ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
SDOT,189.04,46.6,17.8626,6.71,6.7884,9.06,3217396,15810,203.5,0.21,False,6.18,9.06,8.9241,9.3318,735,99.89,848.5257,1.0,,GENESIS,GENESIS
IVF,108.87,44.35,2.59,1.73,2.01,1.79,21152475,29964,705.92,0.07,False,1.24,1.79,1.7631,1.8437,3724,99.99,468.9245,1.0,,GENESIS,GENESIS
TII,55.61,21.08,3.47,2.65,3.45,2.7,9218694,827,11137.05,0.06,False,2.23,2.7,2.6595,2.781,2469,99.99,321.8531,1.0,,GENESIS,GENESIS
ILLR,136.07,64.25,7.2,4.3,4.3,5.0095,20406861,6861112,2.97,0.24,False,3.05,5.0095,4.9344,5.1598,1330,99.94,211.763,1.0,,GENESIS,GENESIS
SHPH,73.81,23.54,6.57,4.43,5.57,4.67,2952257,113633,25.98,0.11,False,3.78,4.67,4.5999,4.8101,1427,99.96,192.3574,1.0,,GENESIS,GENESIS
SCAG,36.18,10.41,0.8999,0.6,0.6651,0.7296,2036719,231716,8.79,0.43,False,0.6608,0.7296,0.7187,0.7515,9137,100.0,107.0391,1.0,,GENESIS,GENESIS
PBK,39.71,8.94,1.02,0.69,0.728,0.7954,47194819,8898758,5.3,0.32,False,0.7301,0.7954,0.7835,0.8193,8381,99.99,86.8171,1.0,,GENESIS,GENESIS
NIVF,28.9,-15.66,0.772,0.492,0.5995,0.5051,14806779,1185384,12.49,0.05,False,0.5989,0.5051,0.4975,0.5203,13198,99.99,55.7085,1.0,,GENESIS,GENESIS
