pick_id,day,panel,ticker,side,setup,verdict,score,score_band,entry_type,entry,stop,target,rr,auction_long_class,auction_short_class,auction_or_state,auction_or_position,auction_day_position,first_seen,last_seen,trackable,track_skip_reason,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,notes
3013f23538c0ff09,2026-07-31,ATH_LONG,DRH,LONG,APPROACH_RECLAIM,ACTIONABLE_WATCH,75.0,70-79,LIMIT,12.88,12.31,13.24,0.63,,,,,,2026-07-31T18:38:09,2026-07-31T18:38:09,True,,NO_BARS_AFTER_SIGNAL,,,,,,,,Approach/reclaim: hold the current shelf and push back toward the 52w high.
f3c2304855abc00d,2026-07-31,ATH_LONG,GNW,LONG,APPROACH_RECLAIM,ACTIONABLE_WATCH,71.0,70-79,LIMIT,9.94,9.5,10.2,0.59,,,,,,2026-07-31T18:38:09,2026-07-31T18:38:09,True,,NO_BARS_AFTER_SIGNAL,,,,,,,,Approach/reclaim: hold the current shelf and push back toward the 52w high.
c621f5f92689c488,2026-07-31,ATH_LONG,HOPE,LONG,APPROACH_RECLAIM,WATCH_ONLY,61.0,60-69,LIMIT,14.0,13.38,14.22,0.35,,,,,,2026-07-31T18:38:09,2026-07-31T18:38:09,True,,OPEN_LOSS,-0.34,-0.34,-0.34,-0.34,2026-07-31T19:10:00,,13.79,Approach/reclaim: hold the current shelf and push back toward the 52w high.
54846a054daaead8,2026-07-31,ATH_LONG,MCHB,LONG,APPROACH_RECLAIM,WATCH_ONLY,57.0,<60,LIMIT,16.57,15.83,16.88,0.42,,,,,,2026-07-31T18:38:09,2026-07-31T18:38:09,True,,NO_BARS_AFTER_SIGNAL,,,,,,,,Approach/reclaim: hold the current shelf and push back toward the 52w high.
53614c5291141d90,2026-07-31,ATH_LONG,RLJ,LONG,APPROACH_RECLAIM,ACTIONABLE_WATCH,63.0,60-69,LIMIT,12.29,11.74,12.56,0.49,,,,,,2026-07-31T18:38:09,2026-07-31T18:38:09,True,,NO_BARS_AFTER_SIGNAL,,,,,,,,Approach/reclaim: hold the current shelf and push back toward the 52w high.
6d9ab4ce57295546,2026-07-31,MUSTARD_RELOAD,ABEO,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,6.42,5.8823,6.497,0.14,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,TARGET_HIT,0.14,0.15,-0.04,0.13,2026-07-31T16:00:00,2026-07-31T16:53:00,6.489,Mustard reload shelf retest/reclaim candidate.
c171881833001966,2026-07-31,MUSTARD_RELOAD,ABSI,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,7.78,6.8793,7.8734,0.1,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,TARGET_HIT,0.1,0.13,-0.0,0.01,2026-07-31T16:00:00,2026-07-31T16:26:00,7.79,Mustard reload shelf retest/reclaim candidate.
a45089244c2a8b9e,2026-07-31,MUSTARD_RELOAD,ACRS,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,5.2304,5.1431,5.2932,0.72,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,STOPPED,-1.0,-0.35,-1.73,-1.73,2026-07-31T16:00:00,2026-07-31T17:27:00,5.0795,Mustard reload shelf retest/reclaim candidate.
37dab3b5008f9150,2026-07-31,MUSTARD_RELOAD,BAND,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,55.0,<60,LIMIT,39.14,38.402,39.4807,0.46,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.46,0.0,-0.46,-0.46,2026-07-31T16:00:00,,38.8,Mustard reload shelf retest/reclaim candidate.
8214c42e8ab250fe,2026-07-31,MUSTARD_RELOAD,BAX,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,0.0,<60,LIMIT,26.2975,22.3328,26.6131,0.08,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.04,-0.03,-0.06,-0.04,2026-07-31T16:00:00,,26.15,Mustard reload shelf retest/reclaim candidate.
25ff716c5bbaa8c6,2026-07-31,MUSTARD_RELOAD,BMNR,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,72.0,70-79,LIMIT,17.3233,15.603,17.5312,0.12,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.14,0.01,-0.17,-0.14,2026-07-31T16:00:00,,17.0741,Mustard reload shelf retest/reclaim candidate.
f32528a4a731d3f3,2026-07-31,MUSTARD_RELOAD,CAL,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,46.0,<60,LIMIT,12.8557,11.7447,13.0099,0.14,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.01,-0.01,-0.01,-0.01,2026-07-31T16:00:00,,12.84,Mustard reload shelf retest/reclaim candidate.
d2c9e6348b91c92a,2026-07-31,MUSTARD_RELOAD,CCC,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,22.0,<60,LIMIT,6.0922,5.8806,6.1653,0.35,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.01,-0.01,-0.44,-0.01,2026-07-31T16:00:00,,6.09,Mustard reload shelf retest/reclaim candidate.
0cec3e2691d6f2f5,2026-07-31,MUSTARD_RELOAD,CMPS,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,11.3827,11.1969,11.5193,0.74,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,TARGET_HIT,0.74,0.79,-0.28,0.36,2026-07-31T16:00:00,2026-07-31T16:28:00,11.45,Mustard reload shelf retest/reclaim candidate.
5d527bad565911e5,2026-07-31,MUSTARD_RELOAD,CNQ,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,47.6,46.5102,48.1712,0.52,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,TARGET_HIT,0.52,0.64,-0.22,0.28,2026-07-31T16:10:00,2026-07-31T17:42:00,47.91,Mustard reload shelf retest/reclaim candidate.
559b466aa4784f40,2026-07-31,MUSTARD_RELOAD,CORT,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,115.0997,93.0301,116.4809,0.06,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.03,-0.03,-0.03,-0.03,2026-07-31T16:00:00,,114.49,Mustard reload shelf retest/reclaim candidate.
22a19f6dc10669a9,2026-07-31,MUSTARD_RELOAD,ERAS,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,18.1763,17.5725,18.3944,0.36,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.75,-0.04,-0.75,-0.75,2026-07-31T16:00:00,,17.7235,Mustard reload shelf retest/reclaim candidate.
98d4bcc2f90822b0,2026-07-31,MUSTARD_RELOAD,FIS,LONG,MUSTARD_EXHAUSTED,MUSTARD_EXHAUSTED,36.0,<60,LIMIT,44.9347,41.0056,45.4739,0.14,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_WIN,0.1,0.1,-0.04,0.1,2026-07-31T16:01:00,,45.3116,Mustard reload shelf retest/reclaim candidate.
de940e0ae61419c7,2026-07-31,MUSTARD_RELOAD,FROG,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,49.0,<60,LIMIT,79.9596,78.9426,80.7223,0.75,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.17,-0.17,-0.17,-0.17,2026-07-31T16:00:00,,79.79,Mustard reload shelf retest/reclaim candidate.
a21f9dd285b37733,2026-07-31,MUSTARD_RELOAD,GH,LONG,MUSTARD_MIXED_RESEARCH,MUSTARD_MIXED_RESEARCH,49.0,<60,LIMIT,162.825,143.3786,162.9552,0.01,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.04,-0.02,-0.07,-0.04,2026-07-31T16:00:00,,162.0,Mustard reload shelf retest/reclaim candidate.
f48b0de599fd083a,2026-07-31,MUSTARD_RELOAD,INTC,LONG,AVOID_STALLED_RETEST,AVOID_STALLED_RETEST,0.0,<60,LIMIT,90.18,87.7437,91.2622,0.44,,,,,,2026-07-31T16:00,2026-07-31T16:00,True,,OPEN_LOSS,-0.4,0.11,-0.48,-0.4,2026-07-31T16:00:00,,89.2102,Mustard reload shelf retest/reclaim candidate.
