ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
ARKG,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,47.51,43.25,49.89,,23,0.56,CHOP,47.51,MARKET,13,MINOR,2026-08-20,2026-08-20T04:39:22.513976
CRSP,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,59.0,56.05,67.12,67.12,33,2.75,CHOP,59.0,MARKET,12,COMPRESSION,2026-08-20,2026-08-20T04:50:37.900469
FA,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,21.17,23.71,20.11,,39,0.42,CHOP,21.14,LIMIT,20,COMPRESSION,2026-08-20,2026-08-20T04:26:40.304577
SFM,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,81.49,105.07,77.42,,4,0.17,CHOP,80.8,LIMIT,20,COMPRESSION,2026-08-20,2026-08-20T04:46:14.827011
TJX,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,144.5,151.6,132.93,126.42,14,1.63,CHOP,144.45,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:52:08.738221
TEM,LONG,CONVICTION,94.3,BULL_BOUNCE_PENDING,60.83,57.79,68.33,,32,2.47,CHOP,60.83,MARKET,13,COMPRESSION,2026-08-20,2026-08-20T04:41:01.633226
ARCT,LONG,CONVICTION,92.8,BULL_BOUNCE_PENDING,10.15,9.64,11.54,,197,2.74,CHOP,10.15,MARKET,16,CONVICTION,2026-08-20,2026-08-20T04:50:07.504383
ETHU,LONG,CONVICTION,92.7,BULL_BOUNCE_PENDING,22.71,21.57,24.82,25.73,88,1.86,CHOP,22.71,MARKET,6,COMPRESSION,2026-08-20,2026-08-20T04:50:55.565072
AGQ,LONG,CONVICTION,92.5,BULL_BOUNCE_PENDING,83.65,78.57,92.91,95.65,19,1.82,CHOP,83.65,MARKET,20,VACUUM,2026-08-20,2026-08-20T04:41:24.511794
ZSTK,LONG,CONVICTION,91.2,BULL_BOUNCE_PENDING,4.13,3.92,4.52,4.73,484,1.89,CHOP,4.13,MARKET,15,MINOR,2026-08-20,2026-08-20T04:51:47.140125
NESR,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,33.8,32.11,36.79,,59,1.77,CHOP,33.8,MARKET,20,MINOR,2026-08-20,2026-08-20T04:25:31.323958
ATAI,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,7.34,6.97,7.71,,272,1.0,CHOP,7.34,MARKET,0,NONE,2026-08-20,2026-08-20T04:35:38.508566
MRK,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,150.5,136.55,158.03,,7,0.54,CHOP,150.5,MARKET,20,MINOR,2026-08-20,2026-08-20T04:37:33.590327
FSK,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,12.1,13.2,11.49,,91,0.55,CHOP,11.98,LIMIT,20,COMPRESSION,2026-08-20,2026-08-20T04:39:59.397862
ACM,SHORT,CONVICTION,90.5,BEAR_REJECTION_PENDING,65.7,67.39,62.75,60.73,59,1.75,CHOP,65.04,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:50:03.738369
WPM,LONG,CONVICTION,90.0,BULL_BOUNCE_PENDING,146.81,133.37,154.15,,7,0.55,CHOP,146.81,MARKET,19,CONVICTION,2026-08-20,2026-08-20T04:51:41.983119
ANF,SHORT,CONVICTION,89.7,BEAR_REJECTION_PENDING,106.69,108.67,102.51,96.0,50,2.11,CHOP,105.45,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:41:27.328799
MCHP,SHORT,CONVICTION,89.5,BEAR_REJECTION_PENDING,78.19,80.46,65.97,70.73,44,5.38,CHOP,77.58,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:32:57.709969
BSX,SHORT,CONVICTION,88.6,BEAR_REJECTION_PENDING,53.04,57.93,44.6,,20,1.73,CHOP,52.0,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:37:46.276878
FOUR,SHORT,CONVICTION,88.5,BEAR_REJECTION_PENDING,47.45,53.65,45.08,,16,0.38,CHOP,46.9,LIMIT,20,CONVICTION,2026-08-20,2026-08-20T04:42:16.026869
SNDQ,LONG,CONVICTION,88.2,BULL_BOUNCE_PENDING,15.93,11.92,16.73,,24,0.2,CHOP,15.12,STOP,8,MINOR,2026-08-20,2026-08-20T04:40:55.906216
KYMR,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,127.49,122.97,133.86,,22,1.41,CHOP,129.0,STOP,0,NONE,2026-08-20,2026-08-20T04:45:53.709988
ELF,LONG,CONVICTION,87.9,BULL_BOUNCE_PENDING,100.79,95.93,105.83,,20,1.04,CHOP,99.35,STOP,8,MINOR,2026-08-20,2026-08-20T04:25:19.355942
