ticker,side,entry,stop,t1,fem,score,tier,mode,rr,last_px,current_price,spy_regime,_score,_L1,_L2,_L3,source,source_rank,state_asof,state_generated_at,warnings
AIM,LONG,0.2600,0.2300,0.2700,72.30,72.30,CONVICTION,BULL_BOUNCE,0.44,0.2600,0.2600,FAVORABLE,72.30,0.2600,0.2600,0.2600,FAM_STATE_IDEAS_MOO_REBUILD,24,2026-07-16T04:07:58,1784200411877505300,
JRSH,LONG,4.5100,4.2600,5.0500,71.50,71.50,CONVICTION,BULL_BOUNCE,2.15,4.5100,4.5100,FAVORABLE,71.50,4.5100,4.5100,4.5100,FAM_STATE_IDEAS_MOO_REBUILD,27,2026-07-16T04:07:58,1784200411877505300,
