ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,primitives_json,reasons,notes,timestamp
CHSN,BULL_BOUNCE_PENDING,LONG,64.8,0.03,-0.08,0.03,,929,0.01,FAVORABLE,3.83,0.0302,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 11.9, ""moderate_pullback"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $0.03 (daily 1tk COMPRESSION gap) | SPY FAVORABLE,LIMIT BUY @ $0.03 on pullback (5.3% below current $0.03). Stop $-0.08. Anchor: daily 1tk.,2026-05-03T15:22:21
SOBR,BULL_BOUNCE_CONFIRMED,LONG,85.0,0.93,0.49,0.97,,227,0.11,FAVORABLE,18.72,0.9278,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 8.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 20.0}",ASC channel detected on 1h (score 72) | recovered 2.3% from recent low $0.91 | bounce at daily 39tk @ $0.74 (None) | 3 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | staircase: 4 prior distinct rejection(s) below — prev = 15m 2tk @ $0.50,"Channel: 1h ASC, rails $0.52-$0.55. Recent low $0.91 → now $0.93 (+2.3%)",2026-05-03T15:22:23
CREG,BULL_BOUNCE_PENDING,LONG,60.0,0.48,0.34,0.5,,731,0.17,FAVORABLE,0.68,0.5182,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 15.0, ""far_pullback"": -4.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.48 (daily 14tk COMPRESSION gap) | 8.2% below — far pullback, takes time to reach | SPY FAVORABLE",LIMIT BUY @ $0.48 on pullback (8.2% below current $0.52). Stop $0.34. Anchor: daily 14tk.,2026-05-03T15:22:33
CUE,BULL_BOUNCE_PENDING,LONG,63.6,30.53,28.31,34.0,,45,1.56,FAVORABLE,9.49,30.78,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 6.6, ""near_pullback"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $30.53 (1h 36tk MINOR gap) | only 0.8% below current — close pullback | SPY FAVORABLE,LIMIT BUY @ $30.53 on pullback (0.8% below current $30.78). Stop $28.31. Anchor: 1h 36tk.,2026-05-03T15:22:36
LRHC,BULL_BOUNCE,LONG,62.0,1.87,1.22,1.95,,153,0.12,FAVORABLE,6.4,1.87,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 4.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 60) | price at lower rail ($1.84) | anchor: 5m 3tk @ $1.84 | 2 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 5m ASC, rails $1.84-$1.95",2026-05-03T15:22:42
TOVX,BULL_BOUNCE_PENDING,LONG,62.2,0.37,0.35,0.39,,6242,1.15,FAVORABLE,0.24,0.3732,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 5.3, ""near_pullback"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $0.37 (daily 1tk MINOR gap) | only 1.7% below current — close pullback | SPY FAVORABLE,LIMIT BUY @ $0.37 on pullback (1.7% below current $0.37). Stop $0.35. Anchor: daily 1tk.,2026-05-03T15:22:46
SST,BULL_BOUNCE,LONG,84.8,3.79,3.11,4.78,,147,1.46,FAVORABLE,2.86,3.79,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 6.8, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""flag_compression"": 4.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 15m (score 65) | price at lower rail ($3.73) | anchor: 15m 30tk @ $3.35 | 10 prior bull-rail touches | OBV rising — accumulation underneath | flag-period volume compressed (textbook) | SPY FAVORABLE,"Channel: 15m ASC, rails $3.73-$4.78",2026-05-03T15:22:59
SST,BULL_BOUNCE_PENDING,LONG,71.2,3.69,3.39,3.87,,336,0.62,FAVORABLE,2.86,3.79,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 14.2, ""near_pullback"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $3.69 (daily 28tk COMPRESSION gap) | only 2.6% below current — close pullback | SPY FAVORABLE,LIMIT BUY @ $3.69 on pullback (2.6% below current $3.79). Stop $3.39. Anchor: daily 28tk.,2026-05-03T15:22:59
FIVN,BULL_BOUNCE_PENDING,LONG,84.0,20.18,17.11,21.19,,32,0.33,FAVORABLE,5.38,22.19,"{""structural_anchor_below"": 14.0, ""huge_anchor"": 14.0, ""high_genesis_rank"": 15.0, ""conviction_tier"": 10.0, ""far_pullback"": -4.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $20.18 (daily 299tk CONVICTION gap) | 9.1% below — far pullback, takes time to reach | SPY FAVORABLE",LIMIT BUY @ $20.18 on pullback (9.1% below current $22.19). Stop $17.11. Anchor: daily 299tk.,2026-05-03T15:23:04
FIVN,BULL_BOUNCE,LONG,74.0,22.19,18.71,69.36,,28,13.57,FAVORABLE,5.38,22.19,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 1h (score 61) | price at lower rail ($19.00) | anchor: 1h 22tk @ $14.59 | 8 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 1h ASC, rails $19.00-$69.36",2026-05-03T15:23:04
