ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase
CLIK,137.67,78.92,5.3,2.11,2.11,3.99,27940679,2415,11566.77,0.59,True,2.23,3.99,3.9302,4.1097,1670,99.95,1553.0489,GENESIS,GENESIS
HPAI,73.41,42.98,1.71,1.36,1.5,1.4099,15984351,29412,543.45,0.14,False,0.9861,1.4099,1.3888,1.4522,4728,99.99,344.254,GENESIS,GENESIS
GAMB,33.04,20.4,6.0,4.5,4.69,5.43,4021771,1238,3246.85,0.62,True,4.51,5.43,5.3485,5.5929,1227,99.94,336.1815,GENESIS,GENESIS
MWG,41.95,-17.56,2.6,1.46,1.93,1.51,3996788,760,5255.47,0.04,False,1.8316,1.51,1.4873,1.5553,4415,100.0,218.2833,GENESIS,GENESIS
MRAM,48.13,35.2,39.98,32.7565,37.51,36.49,1763334,110782,15.92,0.52,True,26.99,36.49,35.9427,37.5847,182,99.62,184.3766,GENESIS,GENESIS
ZBAO,38.93,-15.35,0.945,0.5662,0.8,0.5758,2724359,903,3015.9,0.03,False,0.6802,0.5758,0.5672,0.5931,11578,100.0,184.3015,GENESIS,GENESIS
KIDZ,35.17,4.16,0.887,0.6433,0.6562,0.6835,28787414,408934,70.4,0.16,False,0.6562,0.6835,0.6732,0.704,9753,99.99,122.8838,GENESIS,GENESIS
PRSO,28.1,9.95,1.27,1.01,1.23,1.09,3413671,59427,57.44,0.31,False,0.9914,1.09,1.0736,1.1227,6116,100.0,114.6403,GENESIS,GENESIS
MNTS,19.23,14.47,6.51,5.52,5.52,6.25,612628,92161,6.65,0.74,True,5.46,6.25,6.1562,6.4375,1066,99.94,68.8699,GENESIS,GENESIS
GCTS,27.65,10.59,2.17,1.78,1.97,1.88,2768406,494197,5.6,0.26,False,1.7,1.88,1.8518,1.9364,3546,100.0,56.9467,GENESIS,GENESIS
MRNA,10.16,6.4,59.87,57.2,57.79,57.83,916233,159528,5.74,0.24,False,54.35,57.83,56.9626,59.5649,115,99.76,20.5407,GENESIS,GENESIS
SATL,13.34,4.62,8.58,7.8,7.83,7.92,582638,181423,3.21,0.15,False,7.57,7.92,7.8012,8.1576,841,99.91,18.9019,GENESIS,GENESIS
SIDU,9.97,5.28,3.75,3.5,3.7,3.59,1313353,461927,2.84,0.36,False,3.41,3.59,3.5361,3.6977,1857,100.0,17.5348,GENESIS,GENESIS
CRCL,8.55,2.24,123.39,108.52,117.68,116.22,3986678,1550434,2.57,0.52,True,113.67,116.22,114.4767,119.7066,57,99.37,16.9232,GENESIS,GENESIS
DXYZ,9.89,6.72,60.0,57.1,57.1,58.27,380747,173038,2.2,0.4,False,54.6,58.27,57.3959,60.0181,114,99.64,15.9817,GENESIS,GENESIS
HIMS,7.89,3.89,30.5,29.11,29.8,29.37,1036040,399587,2.59,0.19,False,28.27,29.37,28.9294,30.2511,226,99.56,10.583,GENESIS,GENESIS
