date,ticker,clock_hour,gap_above_size,gap_above_atr_mult,gap_above_conviction,gap_above_tick_width,gap_above_distance_pct,gap_below_size,gap_below_atr_mult,gap_below_conviction,gap_below_tick_width,gap_below_distance_pct,n_gaps_above,n_gaps_below,setup_fired,side,score,tier,spy_regime,atr_14_daily,obv_state
2026-09-02,SWKS,6.0,0.03,0.01,COMPRESSION,4,989.0,0.82,0.271,COMPRESSION,83,1168.0,23,50,BEAR_REJECTION_PENDING,SHORT,54.0,MARGINAL,HOSTILE,3.0289,RISING
2026-09-02,BTCT,6.0,0.0086,0.018,MINOR,1,686.0,0.0043,0.009,MINOR,1,488.0,12,17,BEAR_REJECTION_PENDING,SHORT,48.0,MARGINAL,HOSTILE,0.4829,RISING
2026-09-02,ELF,6.0,0.085,0.019,MINOR,9,105.0,0.26,0.06,COMPRESSION,27,370.0,24,56,BEAR_REJECTION_PENDING,SHORT,52.0,MARGINAL,HOSTILE,4.3594,NEUTRAL
2026-09-02,SSRM,6.0,0.025,0.014,MINOR,3,26.0,0.865,0.501,COMPRESSION,87,43.0,17,68,BEAR_REJECTION_PENDING,SHORT,68.0,CONVICTION,HOSTILE,1.726,RISING
2026-09-02,CAST,6.0,0.04,0.121,MINOR,5,538.0,0.0131,0.04,MINOR,2,36.0,9,8,BEAR_REJECTION_PENDING,SHORT,52.0,MARGINAL,HOSTILE,0.3304,NEUTRAL
2026-09-02,NESR,6.0,0.0055,0.004,MINOR,1,294.0,0.39,0.261,COMPRESSION,40,44.0,15,39,BEAR_REJECTION_PENDING,SHORT,59.7,MARGINAL,HOSTILE,1.4951,RISING
2026-09-02,MSTR,6.0,1.53,0.175,CONVICTION,154,121.0,2.59,0.296,CONVICTION,260,3.0,57,18,BEAR_REJECTION_PENDING,SHORT,69.1,CONVICTION,HOSTILE,8.7529,RISING
2026-09-02,PURR,6.0,0.455,0.35,COMPRESSION,46,582.0,0.39,0.3,COMPRESSION,40,104.0,20,18,BEAR_REJECTION_PENDING,SHORT,57.8,MARGINAL,HOSTILE,1.301,RISING
2026-09-02,GDYN,6.0,0.04,0.139,COMPRESSION,5,13.0,0.31,1.08,COMPRESSION,32,898.0,9,30,BEAR_REJECTION_PENDING,SHORT,62.3,CONVICTION,HOSTILE,0.287,RISING
2026-09-02,RLAY,6.0,0.23,0.239,COMPRESSION,24,87.0,0.26,0.27,COMPRESSION,26,1219.0,53,18,BEAR_REJECTION_PENDING,SHORT,72.0,CONVICTION,HOSTILE,0.9625,FALLING
