ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
LOOP,116.02,54.71,1.34,0.8715,1.34,0.9597,26521185,594,44623.42,0.19,False,0.6203,0.959691,0.9453,0.9885,6946,99.99,934.7585,1.0,,GENESIS,GENESIS
SGLY,182.89,134.56,8.43,2.91,3.17,6.99,24822798,1823095,13.62,0.74,True,2.98,6.99,6.8852,7.1997,953,99.92,818.3743,1.0,,GENESIS,GENESIS
BTCS,18.25,3.95,1.49,1.25,1.49,1.3098,1167194,6324,184.55,0.25,False,1.26,1.3098,1.2902,1.3491,5089,99.98,85.032,1.0,,GENESIS,GENESIS
PWCM,27.27,6.06,2.1,1.68,1.7,1.75,1874870,344069,5.45,0.17,False,1.65,1.75,1.7237,1.8025,3809,99.99,49.0082,1.0,,GENESIS,GENESIS
BULL,18.63,11.11,10.25,9.52,9.98,9.6,2346249,105252,22.29,0.11,False,8.64,9.6,9.456,9.888,694,99.94,46.6207,1.0,,GENESIS,GENESIS
MSTR,13.19,9.04,118.0,108.61,108.7,113.67,4008517,620220,6.46,0.54,True,104.25,113.67,111.965,117.0801,58,98.89,39.2717,1.0,,GENESIS,GENESIS
SBET,9.46,5.37,7.75,7.3,7.3,7.46,767346,46434,16.53,0.36,False,7.08,7.46,7.3481,7.6838,893,99.93,30.8057,1.0,,GENESIS,GENESIS
PURR,15.97,2.04,10.89,9.51,9.81,9.5816,3037376,284852,10.66,0.05,False,9.39,9.5816,9.4379,9.869,695,99.89,29.6816,1.0,,GENESIS,GENESIS
MARA,7.56,5.7,10.3798,9.84,9.9,10.2002,2474867,556600,4.45,0.67,True,9.65,10.2002,10.0472,10.5062,653,99.91,21.9997,1.0,,GENESIS,GENESIS
BMNR,9.93,7.07,22.25,21.51,21.7,21.67,3591454,609036,5.9,0.22,False,20.24,21.67,21.345,22.3201,307,99.79,19.7335,1.0,,GENESIS,GENESIS
CRCL,9.17,4.72,85.8,81.12,81.76,82.3,1754075,420877,4.17,0.25,False,78.59,82.3,81.0655,84.769,81,99.99,16.7494,1.0,,GENESIS,GENESIS
