ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
POET,Long,T1-STRONG_LONG,100,PULLBACK,14.78,12.59,19.16,14.82,15.33,13.84,50525684,0.27,TARGET_HIT,1.5,True,2026-05-21_1804,2026-05-21_0534
INTC,Long,T1-STRONG_LONG,89,BOUNCE,118.96,107.2626,142.3548,118.5,119.41,113.17,101136417,-0.39,LOSING,-0.04,False,2026-05-21_1804,2026-05-21_0534
PLUG,Long,T2-LONG,60,BOUNCE,3.31,3.1643,3.6013,3.78,3.88,3.25,115383111,14.2,STOPPED,-1.0,True,2026-05-21_1804,2026-05-21_0534
NVDA,Long,T2-LONG,67,PULLBACK,202.91,191.0803,226.5694,219.51,227.3999,217.93,202132659,8.18,NO_FILL,0.0,True,2026-05-21_1804,2026-05-21_0534
GO,Long,T2-LONG,100,BOUNCE,8.13,7.3623,9.6654,8.01,8.16,7.6,3641757,-1.48,TARGET_HIT,1.5,True,2026-05-21_1804,2026-05-21_0534
CRML,Long,T1-STRONG_LONG,77,PULLBACK,10.04,9.506,11.108,11.14,11.545,10.9,11931798,10.96,TARGET_HIT,1.5,True,2026-05-21_1804,2026-05-21_0534
GDDY,Long,T2-LONG,59,BOUNCE,92.24,84.5646,107.5908,91.56,92.41,88.97,1582654,-0.74,LOSING,-0.09,False,2026-05-21_1804,2026-05-21_0534
GOSS,Long,T3-LONG_WATCH,31,PULLBACK,0.1961,0.1402,0.3078,0.2009,0.2399,0.19,36707106,2.45,WINNING,0.09,False,2026-05-21_1804,2026-05-21_0534
HCWB,Long,T3-LONG_WATCH,79,PULLBACK,2.43,2.2747,2.7407,2.58,2.92,1.6001,21054445,6.17,STOPPED,-1.0,True,2026-05-21_1804,2026-05-21_0534
IREN,Long,T1-STRONG_LONG,98,PULLBACK,49.12,46.414,55.15,58.06,58.1,53.2,49987411,18.2,TARGET_HIT,1.5,True,2026-05-21_1804,2026-05-21_0534
ORBS,Long,T3-LONG_WATCH,52,BOUNCE,0.9001,0.8437,1.02,0.91,0.955,0.8588,20282223,1.1,WINNING,0.18,False,2026-05-21_1804,2026-05-21_0534
QUBT,Long,T2-LONG,78,BOUNCE,9.56,8.9628,10.7544,11.41,11.445,10.32,57141504,19.35,STOPPED,-1.0,True,2026-05-21_1804,2026-05-21_0534
QUCY,Long,T3-LONG_WATCH,89,PULLBACK,3.01,2.9003,3.53,3.56,4.87,3.33,46068769,18.27,STOPPED,-1.0,True,2026-05-21_1804,2026-05-21_0534
TE,Long,T3-LONG_WATCH,99,PULLBACK,8.075,6.4025,11.42,8.72,9.43,8.06,79357991,7.99,TARGET_HIT,1.5,True,2026-05-21_1804,2026-05-21_0534
