ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
NOK,Long,BOUNCE,T1-STRONG_LONG,100,10.33,9.5739,11.8422,,2.0,0.7561,10.33,0.1,CLOSE,3,3,"1h,30m,4h",10.32,9.87,HIGHWAY,EXCITED,4077177225.0,2.0,1.4,1.0,10.9,50.0,8.0,4443.8,MEGA,0.03,10.32,9.86,10.78,9.3,MID,DISCOUNT,481,13,325,99.9,A,,,,
QS,Long,PULLBACK,T1-STRONG_LONG,100,7.41,6.8288,9.67,8.485,3.9,0.5812,7.41,4.5,APPROACH,1,1,30m,7.08,7.04,HIGHWAY,EXCITED,8016684.0,7.2,3.1,1.0,40.8,20.0,8.0,482.0,MEGA,0.2,8.485,7.31,9.66,32.1,DISCOUNT,DISCOUNT,250,5,199,30.5,A,,,,
AIXI,Long,PULLBACK,T1-STRONG_LONG,100,0.9996,0.8645,1.3009,,2.2,0.1351,1.08,7.4,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",0.9996,0.9145,HIGHWAY,EXCITED,1581393467.0,0.7,0.3,0.0,87.3,39.0,8.0,28.67,MED,2.39,0.9473,0.8948,0.9998,11.7,PREMIUM,MID,144,12,23,20.5,B,,,,
AUUD,Long,PULLBACK,T2-LONG,100,4.56,4.4135,5.3,,5.1,0.1465,5.06,9.9,WAITING,1,1,5m,4.56,4.55,HIGHWAY,EXCITED,100833.0,19.5,6.5,1.0,165.8,43.0,8.0,0.4,NANO,80.38,5.36,3.87,6.85,77.0,MID,DISCOUNT,144,5,81,4.7,B,,,,
KEEL,Long,PULLBACK,T1-STRONG_LONG,95,3.24,2.9682,3.7836,,2.0,0.2718,3.24,4.0,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",3.11,3.06,OPEN_ROAD,EXCITED,241351823.0,1.9,1.1,0.0,27.7,64.0,8.0,576.58,MEGA,0.09,3.11,3.04,3.18,4.6,PREMIUM,DISCOUNT,213,13,140,2.2,C,,,,
APLD,Long,PULLBACK,T1-STRONG_LONG,100,36.35,31.385,46.28,,2.0,4.965,36.35,4.5,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",34.73,32.5,HIGHWAY,EXCITED,18813183046.0,2.1,1.3,1.0,23.2,36.0,8.0,253.82,MEGA,0.16,33.615,32.43,34.8,7.3,PREMIUM,MID,3306,13,1351,9.2,A,,,,
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,76.46,70.4511,88.4778,,2.0,6.0089,76.46,0.4,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",76.16,72.63,OPEN_ROAD,EXCITED,10892103119.0,2.5,1.7,2.0,29.6,48.0,8.0,123.73,HIGH,0.16,75.07,72.41,77.73,7.3,PREMIUM,MID,9776,9,2092,11.4,A,,,,
TRT,Long,BOUNCE,T3-LONG_WATCH,92,13.78,13.1047,15.1306,,2.0,0.6753,13.78,1.3,CLOSE,1,1,1m,13.6025,13.51,OPEN_ROAD,EXCITED,381321.0,18.9,6.4,1.0,147.7,108.0,8.0,5.02,LOW,4.56,9.63,8.26,11.0,33.2,PREMIUM,PREMIUM,2535,17,2205,2.3,C,,,,
SKLZ,Long,BOUNCE,T3-LONG_WATCH,100,12.45,11.315,15.4,,2.6,1.135,12.45,0.1,CLOSE,2,2,"15m,1m",12.44,11.69,HIGHWAY,EXCITED,219189692.0,17.8,6.0,1.0,515.4,65.0,8.0,9.77,LOW,2.23,3.65,3.68,3.62,-1.6,PREMIUM,PREMIUM,888,15,508,23.7,A,,,,
SHLS,Long,BOUNCE,T1-STRONG_LONG,100,7.78,7.275,8.79,,2.0,0.505,7.78,2.3,CLOSE,6,6,"10m,15m,1d,1h,4h,5m",7.6,7.5,OPEN_ROAD,EXCITED,126048484.0,2.0,1.4,0.0,16.7,30.0,8.0,166.41,HIGH,0.04,7.55,7.5,7.6,1.3,PREMIUM,MID,368,7,129,7.1,B,,,,
ARRY,Long,PULLBACK,T2-LONG,70,8.11,7.4205,9.489,8.12,2.0,0.6895,8.11,4.3,APPROACH,2,2,"1h,30m",7.76,7.65,MIXED,EXCITED,12903281.0,1.5,1.1,0.0,12.0,23.0,8.0,139.05,HIGH,0.03,8.12,8.08,8.16,1.0,MID,DISCOUNT,280,4,116,2.3,C,,,,
ADMA,Long,BOUNCE,T1-STRONG_LONG,70,11.08,10.4663,15.92,,7.9,0.6137,11.08,2.3,CLOSE,1,1,4h,10.83,10.79,HIGHWAY,EXCITED,10540432.0,0.9,0.7,0.0,6.6,23.0,8.0,233.02,MEGA,0.02,10.9,10.95,10.85,-0.9,PREMIUM,DISCOUNT,437,4,60,43.7,A,,,,
AESI,Long,PULLBACK,T1-STRONG_LONG,100,14.72,14.2202,15.7196,15.38,2.0,0.4998,16.11,8.6,WAITING,4,4,"1d,1h,30m,4h",14.72,14.66,HIGHWAY,EXCITED,30823308.0,1.3,0.9,0.0,28.5,43.0,8.0,87.79,HIGH,0.05,15.38,15.43,15.33,-0.6,PREMIUM,DISCOUNT,518,8,389,99.9,A,,,,
EQPT,Long,PULLBACK,T1-STRONG_LONG,100,22.24,20.8647,29.39,,5.2,1.3753,24.53,9.3,WAITING,6,6,"10m,15m,1h,30m,4h,5m",22.24,21.51,HIGHWAY,EXCITED,193407171.0,3.3,1.9,1.0,27.0,21.0,8.0,125.53,HIGH,0.03,21.86,21.48,22.24,3.5,PREMIUM,MID,610,3,610,19.8,B,,,,
NRGV,Long,PULLBACK,T2-LONG,73,4.03,3.8509,5.9,4.445,10.4,0.1791,4.46,9.6,WAITING,1,1,1d,4.03,3.97,HIGHWAY,EXCITED,32483934.0,1.5,1.8,1.0,30.5,34.0,8.0,140.63,HIGH,0.03,4.445,4.41,4.48,1.6,PREMIUM,DISCOUNT,139,13,46,32.3,B,,,,
PCT,Long,PULLBACK,T1-STRONG_LONG,100,6.84,6.596,7.5,7.225,2.7,0.244,7.23,5.4,APPROACH,3,3,"1h,30m,4h",6.84,6.8,HIGHWAY,EXCITED,6764060.0,1.3,1.0,0.0,16.5,25.0,8.0,141.59,HIGH,0.03,7.225,7.18,7.27,1.3,MID,DISCOUNT,68,3,68,3.7,C,,,,
VELO,Long,PULLBACK,T3-LONG_WATCH,87,16.77,15.6946,18.9208,,2.0,1.0754,16.77,3.2,APPROACH,2,2,"1m,5m",16.23,16.18,HIGHWAY,EXCITED,86470.0,1.6,2.7,1.0,59.3,32.0,8.0,7.67,LOW,0.42,14.965,14.96,14.97,0.1,FLAT,FLAT,567,13,318,6.8,B,,,,
INV,Long,PULLBACK,T3-LONG_WATCH,67,6.28,6.0625,6.715,,2.0,0.2175,6.9,9.0,WAITING,1,1,4h,6.28,6.25,HIGHWAY,EXCITED,6752052.0,2.1,1.8,3.0,53.4,24.0,8.0,58.94,HIGH,0.05,5.925,5.91,5.94,0.5,PREMIUM,PREMIUM,120,11,35,99.9,B,,,,
