ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
BYAH,Long,T2-LONG,100,PULLBACK,1.37,1.27,1.6303,1.48,1.9899,1.3703,12490964,8.03,TARGET_HIT,0.82,True,2026-06-15_1822,2026-06-15_0457
SMR,Long,T3-LONG_WATCH,35,BOUNCE,9.89,9.2829,11.35,10.64,11.25,10.4356,36697143,7.58,NO_FILL,0.0,False,2026-06-15_1822,2026-06-15_0457
CHAI,Long,T2-LONG,73,BREAKOUT,1.67,0.44,4.13,1.22,1.73,1.2,4926736,-26.95,CLOSED_LOSS,-0.37,False,2026-06-15_1822,2026-06-15_0457
MTEN,Long,T2-LONG,100,PULLBACK,2.23,1.45,3.79,3.39,5.65,2.7001,36041226,52.02,TARGET_HIT,1.5,True,2026-06-15_1822,2026-06-15_0457
SPCX,Long,T2-LONG,89,PULLBACK,149.34,-41.61,531.24,192.5,193.0,168.35,255823496,28.9,STOPPED,-1.0,True,2026-06-15_1822,2026-06-15_0457
NOK,Long,T2-LONG,70,PULLBACK,13.57,12.998,14.714,14.82,14.92,14.27,131106812,9.21,STOPPED,-1.0,True,2026-06-15_1822,2026-06-15_0457
HKIT,Long,T1-STRONG_LONG,100,PULLBACK,0.5025,0.386,0.7355,0.465,0.5355,0.4486,10871602,-7.46,TARGET_HIT,0.27,True,2026-06-15_1822,2026-06-15_0457
SRXH,Long,T3-LONG_WATCH,33,PULLBACK,0.1334,0.083,0.2342,0.157,0.1673,0.1395,145040393,17.69,NO_FILL,0.0,False,2026-06-15_1822,2026-06-15_0457
HLP,Long,T2-LONG,100,BOUNCE,0.5,0.4099,0.6802,0.5311,0.5788,0.45,27663193,6.22,TARGET_HIT,0.27,True,2026-06-15_1822,2026-06-15_0457
BATL,Long,T2-LONG,89,BOUNCE,1.4,1.26,1.68,1.28,1.31,1.2,9109462,-8.57,STOPPED,-1.0,False,2026-06-15_1822,2026-06-15_0457
